,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinatedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinatedNumberForState
0,2022-09-02,TT,Andaman and Nicobar Islands,,,,10609,129,10463,,,2022-09-02 23:55:29.053233,,,,44439930,527932,43855365,886466255,2127523421
1,2022-09-02,TT,Andhra Pradesh,,,,2337002,14733,2321647,,,2022-09-02 23:55:29.053233,,,,44439930,527932,43855365,886466255,2127523421
2,2022-09-02,TT,Arunachal Pradesh,,,,66701,296,66332,,,2022-09-02 23:55:29.053233,,,,44439930,527932,43855365,886466255,2127523421
3,2022-09-02,TT,Assam,,,,744457,8032,733579,,,2022-09-02 23:55:29.053233,,,,44439930,527932,43855365,886466255,2127523421
4,2022-09-02,TT,Bihar,,,,848412,12295,835300,,,2022-09-02 23:55:29.053233,,,,44439930,527932,43855365,886466255,2127523421
5,2022-09-02,TT,Chandigarh,,,,98856,1181,97409,,,2022-09-02 23:55:29.053233,,,,44439930,527932,43855365,886466255,2127523421
6,2022-09-02,TT,Chhattisgarh,,,,1173856,14112,1158911,,,2022-09-02 23:55:29.053233,,,,44439930,527932,43855365,886466255,2127523421
7,2022-09-02,TT,Dadra and Nagar Haveli and Daman and Diu,,,,11577,4,11570,,,2022-09-02 23:55:29.053233,,,,44439930,527932,43855365,886466255,2127523421
8,2022-09-02,TT,Delhi,,,,1999888,26472,1971795,,,2022-09-02 23:55:29.053233,,,,44439930,527932,43855365,886466255,2127523421
9,2022-09-02,TT,Goa,,,,256224,3963,251622,,,2022-09-02 23:55:29.053233,,,,44439930,527932,43855365,886466255,2127523421
10,2022-09-02,TT,Gujarat,,,,1270448,11013,1257837,,,2022-09-02 23:55:29.053233,,,,44439930,527932,43855365,886466255,2127523421
11,2022-09-02,TT,Haryana,,,,1052344,10684,1040334,,,2022-09-02 23:55:29.053233,,,,44439930,527932,43855365,886466255,2127523421
