,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeOtherNumberForState,cumulativeOtherNumberForDistrict
0,2022-09-04,BR,Araria,,,,16635,140,16484,,2022-09-05 11:55:26.497556,,,,848762,12295,835812,87154543,0,0
1,2022-09-04,BR,Arwal,,,,8407,110,8296,,2022-09-05 11:55:26.497556,,,,848762,12295,835812,87154543,0,0
2,2022-09-04,BR,Aurangabad,,,,21458,79,21378,,2022-09-05 11:55:26.497556,,,,848762,12295,835812,87154543,0,0
3,2022-09-04,BR,Banka,,,,9153,119,9029,,2022-09-05 11:55:26.497556,,,,848762,12295,835812,87154543,0,0
4,2022-09-04,BR,Begusarai,,,,31656,564,31086,,2022-09-05 11:55:26.497556,,,,848762,12295,835812,87154543,0,0
5,2022-09-04,BR,Bhagalpur,,,,30283,364,29874,,2022-09-05 11:55:26.497556,,,,848762,12295,835812,87154543,0,0
6,2022-09-04,BR,Bhojpur,,,,12110,240,11865,,2022-09-05 11:55:26.497556,,,,848762,12295,835812,87154543,0,0
7,2022-09-04,BR,Buxar,,,,10414,221,10192,,2022-09-05 11:55:26.497556,,,,848762,12295,835812,87154543,0,0
8,2022-09-04,BR,Darbhanga,,,,13764,372,13385,,2022-09-05 11:55:26.497556,,,,848762,12295,835812,87154543,0,0
9,2022-09-04,BR,East Champaran,,,,21189,538,20643,,2022-09-05 11:55:26.497556,,,,848762,12295,835812,87154543,0,0
10,2022-09-04,BR,Gaya,,,,37857,374,37469,,2022-09-05 11:55:26.497556,,,,848762,12295,835812,87154543,0,0
11,2022-09-04,BR,Gopalganj,,,,17949,260,17687,,2022-09-05 11:55:26.497556,,,,848762,12295,835812,87154543,0,0
12,2022-09-04,BR,Jamui,,,,11086,120,10965,,2022-09-05 11:55:26.497556,,,,848762,12295,835812,87154543,0,0
13,2022-09-04,BR,Jehanabad,,,,12149,244,11889,,2022-09-05 11:55:26.497556,,,,848762,12295,835812,87154543,0,0
14,2022-09-04,BR,Kaimur,,,,5823,147,5673,,2022-09-05 11:55:26.497556,,,,848762,12295,835812,87154543,0,0
15,2022-09-04,BR,Katihar,,,,20054,269,19783,,2022-09-05 11:55:26.497556,,,,848762,12295,835812,87154543,0,0
16,2022-09-04,BR,Khagaria,,,,11037,166,10861,,2022-09-05 11:55:26.497556,,,,848762,12295,835812,87154543,0,0
17,2022-09-04,BR,Kishanganj,,,,11477,108,11362,,2022-09-05 11:55:26.497556,,,,848762,12295,835812,87154543,0,0
18,2022-09-04,BR,Lakhisarai,,,,8653,103,8548,,2022-09-05 11:55:26.497556,,,,848762,12295,835812,87154543,0,0
19,2022-09-04,BR,Madhepura,,,,15225,115,15100,,2022-09-05 11:55:26.497556,,,,848762,12295,835812,87154543,0,0
20,2022-09-04,BR,Madhubani,,,,20351,390,19958,,2022-09-05 11:55:26.497556,,,,848762,12295,835812,87154543,0,0
21,2022-09-04,BR,Munger,,,,18232,274,17933,,2022-09-05 11:55:26.497556,,,,848762,12295,835812,87154543,0,0
