,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeOtherNumberForState,cumulativeOtherNumberForDistrict
0,2022-09-08,OR,State Pool,,,,,,,,2022-09-09 11:55:24.866092,,,,1329472,9184,1318798,33273387,0,0
1,2022-09-08,OR,Others,,,,,,,,2022-09-09 11:55:24.866092,,,,1329472,9184,1318798,33273387,0,0
2,2022-09-08,OR,Angul,,,,48150,419,47727,,2022-09-09 11:55:24.866092,,,,1329472,9184,1318798,33273387,0,0
3,2022-09-08,OR,Balangir,,,,30026,131,29855,,2022-09-09 11:55:24.866092,,,,1329472,9184,1318798,33273387,0,0
4,2022-09-08,OR,Balasore,,,,49696,364,49305,,2022-09-09 11:55:24.866092,,,,1329472,9184,1318798,33273387,0,0
5,2022-09-08,OR,Bargarh,,,,35486,353,35088,,2022-09-09 11:55:24.866092,,,,1329472,9184,1318798,33273387,0,0
6,2022-09-08,OR,Bhadrak,,,,29809,177,29613,,2022-09-09 11:55:24.866092,,,,1329472,9184,1318798,33273387,0,0
7,2022-09-08,OR,Boudh,,,,15144,113,15022,,2022-09-09 11:55:24.866092,,,,1329472,9184,1318798,33273387,0,0
8,2022-09-08,OR,Cuttack,,,,117278,914,116223,,2022-09-09 11:55:24.866092,,,,1329472,9184,1318798,33273387,0,0
9,2022-09-08,OR,Deogarh,,,,8818,53,8749,,2022-09-09 11:55:24.866092,,,,1329472,9184,1318798,33273387,0,0
10,2022-09-08,OR,Dhenkanal,,,,22444,265,22176,,2022-09-09 11:55:24.866092,,,,1329472,9184,1318798,33273387,0,0
11,2022-09-08,OR,Gajapati,,,,13445,83,13351,,2022-09-09 11:55:24.866092,,,,1329472,9184,1318798,33273387,0,0
12,2022-09-08,OR,Ganjam,,,,36911,513,36385,,2022-09-09 11:55:24.866092,,,,1329472,9184,1318798,33273387,0,0
13,2022-09-08,OR,Jagatsinghpur,,,,32535,344,32155,,2022-09-09 11:55:24.866092,,,,1329472,9184,1318798,33273387,0,0
14,2022-09-08,OR,Jajpur,,,,51074,202,50804,,2022-09-09 11:55:24.866092,,,,1329472,9184,1318798,33273387,0,0
15,2022-09-08,OR,Jharsuguda,,,,29049,182,28859,,2022-09-09 11:55:24.866092,,,,1329472,9184,1318798,33273387,0,0
16,2022-09-08,OR,Kalahandi,,,,29717,220,29452,,2022-09-09 11:55:24.866092,,,,1329472,9184,1318798,33273387,0,0
17,2022-09-08,OR,Kandhamal,,,,13995,96,13893,,2022-09-09 11:55:24.866092,,,,1329472,9184,1318798,33273387,0,0
18,2022-09-08,OR,Kendrapara,,,,28300,276,28006,,2022-09-09 11:55:24.866092,,,,1329472,9184,1318798,33273387,0,0
19,2022-09-08,OR,Kendujhar,,,,24574,195,24365,,2022-09-09 11:55:24.866092,,,,1329472,9184,1318798,33273387,0,0
20,2022-09-08,OR,Khordha,,,,255296,1767,253192,,2022-09-09 11:55:24.866092,,,,1329472,9184,1318798,33273387,0,0
21,2022-09-08,OR,Koraput,,,,24025,84,23928,,2022-09-09 11:55:24.866092,,,,1329472,9184,1318798,33273387,0,0
22,2022-09-08,OR,Malkangiri,,,,12894,48,12841,,2022-09-09 11:55:24.866092,,,,1329472,9184,1318798,33273387,0,0
23,2022-09-08,OR,Mayurbhanj,,,,50639,308,50304,,2022-09-09 11:55:24.866092,,,,1329472,9184,1318798,33273387,0,0
24,2022-09-08,OR,Nabarangapur,,,,28138,93,27977,,2022-09-09 11:55:24.866092,,,,1329472,9184,1318798,33273387,0,0
25,2022-09-08,OR,Nayagarh,,,,29315,228,28994,,2022-09-09 11:55:24.866092,,,,1329472,9184,1318798,33273387,0,0
26,2022-09-08,OR,Nuapada,,,,27406,91,27273,,2022-09-09 11:55:24.866092,,,,1329472,9184,1318798,33273387,0,0
27,2022-09-08,OR,Puri,,,,50711,489,50185,,2022-09-09 11:55:24.866092,,,,1329472,9184,1318798,33273387,0,0
28,2022-09-08,OR,Rayagada,,,,25287,177,25104,,2022-09-09 11:55:24.866092,,,,1329472,9184,1318798,33273387,0,0
29,2022-09-08,OR,Sambalpur,,,,44707,248,44423,,2022-09-09 11:55:24.866092,,,,1329472,9184,1318798,33273387,0,0
30,2022-09-08,OR,Subarnapur,,,,17273,63,17194,,2022-09-09 11:55:24.866092,,,,1329472,9184,1318798,33273387,0,0
31,2022-09-08,OR,Sundargarh,,,,97970,687,97071,,2022-09-09 11:55:24.866092,,,,1329472,9184,1318798,33273387,0,0
32,2022-09-08,OR,Unknown,,,,0,0,0,,2022-09-09 11:55:24.866092,,,,1329472,9184,1318798,33273387,0,0
