,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeOtherNumberForState,cumulativeOtherNumberForDistrict
0,2022-09-12,RJ,Ajmer,,,,51007,452,50486,,2022-09-13 11:55:27.602104,,,,1311325,9629,1300444,20754248,0,0
1,2022-09-12,RJ,Alwar,,,,87147,322,86712,,2022-09-13 11:55:27.602104,,,,1311325,9629,1300444,20754248,0,0
2,2022-09-12,RJ,Banswara,,,,14947,107,14833,,2022-09-13 11:55:27.602104,,,,1311325,9629,1300444,20754248,0,0
3,2022-09-12,RJ,Baran,,,,15356,65,15286,,2022-09-13 11:55:27.602104,,,,1311325,9629,1300444,20754248,0,0
4,2022-09-12,RJ,Barmer,,,,21551,206,21341,,2022-09-13 11:55:27.602104,,,,1311325,9629,1300444,20754248,0,0
5,2022-09-12,RJ,Bharatpur,,,,32584,275,32289,,2022-09-13 11:55:27.602104,,,,1311325,9629,1300444,20754248,0,0
6,2022-09-12,RJ,Bhilwara,,,,38798,162,38616,,2022-09-13 11:55:27.602104,,,,1311325,9629,1300444,20754248,0,0
7,2022-09-12,RJ,Bikaner,,,,51035,594,50404,,2022-09-13 11:55:27.602104,,,,1311325,9629,1300444,20754248,0,0
8,2022-09-12,RJ,BSF Camp,,,,,,,,2022-09-13 11:55:27.602104,,,,1311325,9629,1300444,20754248,0,0
9,2022-09-12,RJ,Bundi,,,,9868,55,9806,,2022-09-13 11:55:27.602104,,,,1311325,9629,1300444,20754248,0,0
10,2022-09-12,RJ,Chittorgarh,,,,30141,140,29951,,2022-09-13 11:55:27.602104,,,,1311325,9629,1300444,20754248,0,0
11,2022-09-12,RJ,Churu,,,,21040,116,20924,,2022-09-13 11:55:27.602104,,,,1311325,9629,1300444,20754248,0,0
12,2022-09-12,RJ,Dausa,,,,16679,86,16510,,2022-09-13 11:55:27.602104,,,,1311325,9629,1300444,20754248,0,0
13,2022-09-12,RJ,Dholpur,,,,14086,49,14027,,2022-09-13 11:55:27.602104,,,,1311325,9629,1300444,20754248,0,0
14,2022-09-12,RJ,Dungarpur,,,,25862,134,25703,,2022-09-13 11:55:27.602104,,,,1311325,9629,1300444,20754248,0,0
15,2022-09-12,RJ,Evacuees,,,,,,,,2022-09-13 11:55:27.602104,,,,1311325,9629,1300444,20754248,0,0
16,2022-09-12,RJ,Ganganagar,,,,28224,161,28060,,2022-09-13 11:55:27.602104,,,,1311325,9629,1300444,20754248,0,0
17,2022-09-12,RJ,Hanumangarh,,,,22619,115,22496,,2022-09-13 11:55:27.602104,,,,1311325,9629,1300444,20754248,0,0
18,2022-09-12,RJ,Italians,,,,,,,,2022-09-13 11:55:27.602104,,,,1311325,9629,1300444,20754248,0,0
19,2022-09-12,RJ,Jaipur,,,,284224,2129,281796,,2022-09-13 11:55:27.602104,,,,1311325,9629,1300444,20754248,0,0
20,2022-09-12,RJ,Jaisalmer,,,,17261,68,17180,,2022-09-13 11:55:27.602104,,,,1311325,9629,1300444,20754248,0,0
21,2022-09-12,RJ,Jalore,,,,10760,78,10679,,2022-09-13 11:55:27.602104,,,,1311325,9629,1300444,20754248,0,0
22,2022-09-12,RJ,Jhalawar,,,,17957,215,17728,,2022-09-13 11:55:27.602104,,,,1311325,9629,1300444,20754248,0,0
23,2022-09-12,RJ,Jhunjhunu,,,,19189,182,18997,,2022-09-13 11:55:27.602104,,,,1311325,9629,1300444,20754248,0,0
24,2022-09-12,RJ,Jodhpur,,,,143482,1164,142207,,2022-09-13 11:55:27.602104,,,,1311325,9629,1300444,20754248,0,0
25,2022-09-12,RJ,Karauli,,,,8990,88,8900,,2022-09-13 11:55:27.602104,,,,1311325,9629,1300444,20754248,0,0
26,2022-09-12,RJ,Kota,,,,70508,478,69985,,2022-09-13 11:55:27.602104,,,,1311325,9629,1300444,20754248,0,0
27,2022-09-12,RJ,Nagaur,,,,24337,201,24097,,2022-09-13 11:55:27.602104,,,,1311325,9629,1300444,20754248,0,0
28,2022-09-12,RJ,Other State,,,,,,,,2022-09-13 11:55:27.602104,,,,1311325,9629,1300444,20754248,0,0
29,2022-09-12,RJ,Pali,,,,36110,299,35773,,2022-09-13 11:55:27.602104,,,,1311325,9629,1300444,20754248,0,0
30,2022-09-12,RJ,Pratapgarh,,,,12297,66,12177,,2022-09-13 11:55:27.602104,,,,1311325,9629,1300444,20754248,0,0
31,2022-09-12,RJ,Rajsamand,,,,23516,178,23302,,2022-09-13 11:55:27.602104,,,,1311325,9629,1300444,20754248,0,0
32,2022-09-12,RJ,Sawai Madhopur,,,,15990,68,15900,,2022-09-13 11:55:27.602104,,,,1311325,9629,1300444,20754248,0,0
33,2022-09-12,RJ,Sikar,,,,38532,369,38110,,2022-09-13 11:55:27.602104,,,,1311325,9629,1300444,20754248,0,0
34,2022-09-12,RJ,Sirohi,,,,17670,89,17562,,2022-09-13 11:55:27.602104,,,,1311325,9629,1300444,20754248,0,0
35,2022-09-12,RJ,Tonk,,,,13358,104,13251,,2022-09-13 11:55:27.602104,,,,1311325,9629,1300444,20754248,0,0
36,2022-09-12,RJ,Udaipur,,,,75863,775,75058,,2022-09-13 11:55:27.602104,,,,1311325,9629,1300444,20754248,0,0
37,2022-09-12,RJ,Unknown,,,,0,0,0,,2022-09-13 11:55:27.602104,,,,1311325,9629,1300444,20754248,0,0
