Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
2022-09-17,MN,Bishnupur,2022-09-17 12:32:06.267643,https://twitter.com/health_manipur,,9979,206,,86100,2022-09-17 12:32:08.185663,2022-09-17 12:32:06.267643,https://twitter.com/health_manipur,,139782,2148,137609,1653444
2022-09-17,MN,Chandel,2022-09-17 12:32:06.267643,https://twitter.com/health_manipur,,2794,43,,37748,2022-09-17 12:32:08.185663,2022-09-17 12:32:06.267643,https://twitter.com/health_manipur,,139782,2148,137609,1653444
2022-09-17,MN,Churachandpur,2022-09-17 12:32:06.267643,https://twitter.com/health_manipur,,11282,169,,138316,2022-09-17 12:32:08.185663,2022-09-17 12:32:06.267643,https://twitter.com/health_manipur,,139782,2148,137609,1653444
2022-09-17,MN,Imphal East,2022-09-17 12:32:06.267643,https://twitter.com/health_manipur,,31030,517,,287546,2022-09-17 12:32:08.185663,2022-09-17 12:32:06.267643,https://twitter.com/health_manipur,,139782,2148,137609,1653444
2022-09-17,MN,Imphal West,2022-09-17 12:32:06.267643,https://twitter.com/health_manipur,,49809,712,,515750,2022-09-17 12:32:08.185663,2022-09-17 12:32:06.267643,https://twitter.com/health_manipur,,139782,2148,137609,1653444
2022-09-17,MN,Jiribam,2022-09-17 12:32:06.267643,https://twitter.com/health_manipur,,1118,7,,46119,2022-09-17 12:32:08.185663,2022-09-17 12:32:06.267643,https://twitter.com/health_manipur,,139782,2148,137609,1653444
2022-09-17,MN,Kakching,2022-09-17 12:32:06.267643,https://twitter.com/health_manipur,,6973,124,,67620,2022-09-17 12:32:08.185663,2022-09-17 12:32:06.267643,https://twitter.com/health_manipur,,139782,2148,137609,1653444
2022-09-17,MN,Kamjong,2022-09-17 12:32:06.267643,https://twitter.com/health_manipur,,1053,5,,15628,2022-09-17 12:32:08.185663,2022-09-17 12:32:06.267643,https://twitter.com/health_manipur,,139782,2148,137609,1653444
2022-09-17,MN,Kangpokpi,2022-09-17 12:32:06.267643,https://twitter.com/health_manipur,,3184,70,,46464,2022-09-17 12:32:08.185663,2022-09-17 12:32:06.267643,https://twitter.com/health_manipur,,139782,2148,137609,1653444
2022-09-17,MN,Noney,2022-09-17 12:32:06.267643,https://twitter.com/health_manipur,,1173,5,,19425,2022-09-17 12:32:08.185663,2022-09-17 12:32:06.267643,https://twitter.com/health_manipur,,139782,2148,137609,1653444
2022-09-17,MN,Pherzawl,2022-09-17 12:32:06.267643,https://twitter.com/health_manipur,,477,0,,8343,2022-09-17 12:32:08.185663,2022-09-17 12:32:06.267643,https://twitter.com/health_manipur,,139782,2148,137609,1653444
2022-09-17,MN,Senapati,2022-09-17 12:32:06.267643,https://twitter.com/health_manipur,,2547,13,,83915,2022-09-17 12:32:08.185663,2022-09-17 12:32:06.267643,https://twitter.com/health_manipur,,139782,2148,137609,1653444
2022-09-17,MN,Tamenglong,2022-09-17 12:32:06.267643,https://twitter.com/health_manipur,,3497,17,,56544,2022-09-17 12:32:08.185663,2022-09-17 12:32:06.267643,https://twitter.com/health_manipur,,139782,2148,137609,1653444
2022-09-17,MN,Tengnoupal,2022-09-17 12:32:06.267643,https://twitter.com/health_manipur,,1210,16,,18259,2022-09-17 12:32:08.185663,2022-09-17 12:32:06.267643,https://twitter.com/health_manipur,,139782,2148,137609,1653444
2022-09-17,MN,Thoubal,2022-09-17 12:32:06.267643,https://twitter.com/health_manipur,,10291,192,,135845,2022-09-17 12:32:08.185663,2022-09-17 12:32:06.267643,https://twitter.com/health_manipur,,139782,2148,137609,1653444
2022-09-17,MN,Ukhrul,2022-09-17 12:32:06.267643,https://twitter.com/health_manipur,,3365,52,,89822,2022-09-17 12:32:08.185663,2022-09-17 12:32:06.267643,https://twitter.com/health_manipur,,139782,2148,137609,1653444
