Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,deltaVaccinated3ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,7DmaVaccinated3ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,7DmaVaccinated3ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,cumulativeOtherNumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeOtherNumberForState,7DmaOtherForState,7DmaOtherForDistrict
2022-09-27,AR,2,0,7,0,128,267,294,46,20.0,0.0,35.0,0.0,523.0,1628.0,2728.0,Anjaw,0,0,0,,1,3,14,0,0.0,0.0,0.0,,6.0,19.0,90.0,21089,,,,1165,3,1142,,14253,11964,2586,0,2022-09-28 11:55:28.897481,1504000,,,There could be a spike in the Delta Values as the last published data at the district level for Arunachal Pradesh is 2022-09-25,66836,296,66524,1269638,957834,815031,103018,0,0.0,0.0
2022-09-27,AR,2,0,7,0,128,267,294,46,20.0,0.0,35.0,0.0,523.0,1628.0,2728.0,Changlang,0,0,0,,3,1,6,0,0.0,0.0,0.0,,30.0,59.0,30.0,147951,,,,4302,22,4247,,111829,93515,5532,0,2022-09-28 11:55:28.897481,1504000,,,There could be a spike in the Delta Values as the last published data at the district level for Arunachal Pradesh is 2022-09-25,66836,296,66524,1269638,957834,815031,103018,0,0.0,0.0
2022-09-27,AR,2,0,7,0,128,267,294,46,20.0,0.0,35.0,0.0,523.0,1628.0,2728.0,East Kameng,0,0,0,,0,0,13,0,0.0,0.0,0.0,,2.0,19.0,75.0,78413,,,,1215,0,1215,,29184,26797,5482,0,2022-09-28 11:55:28.897481,1504000,,,There could be a spike in the Delta Values as the last published data at the district level for Arunachal Pradesh is 2022-09-25,66836,296,66524,1269638,957834,815031,103018,0,0.0,0.0
2022-09-27,AR,2,0,7,0,128,267,294,46,20.0,0.0,35.0,0.0,523.0,1628.0,2728.0,East Siang,0,0,0,,3,15,1,0,0.0,0.0,0.0,,16.0,79.0,18.0,99019,,,,3743,18,3679,,68601,59333,3826,0,2022-09-28 11:55:28.897481,1504000,,,There could be a spike in the Delta Values as the last published data at the district level for Arunachal Pradesh is 2022-09-25,66836,296,66524,1269638,957834,815031,103018,0,0.0,0.0
2022-09-27,AR,2,0,7,0,128,267,294,46,20.0,0.0,35.0,0.0,523.0,1628.0,2728.0,Kamle,0,0,0,,0,0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,22256,,,,599,0,591,,9111,6592,1195,0,2022-09-28 11:55:28.897481,1504000,,,There could be a spike in the Delta Values as the last published data at the district level for Arunachal Pradesh is 2022-09-25,66836,296,66524,1269638,957834,815031,103018,0,0.0,0.0
2022-09-27,AR,2,0,7,0,128,267,294,46,20.0,0.0,35.0,0.0,523.0,1628.0,2728.0,Kra Daadi,0,0,0,,0,0,0,0,0.0,0.0,0.0,,11.0,52.0,28.0,0,,,,273,0,270,,7443,5097,765,0,2022-09-28 11:55:28.897481,1504000,,,There could be a spike in the Delta Values as the last published data at the district level for Arunachal Pradesh is 2022-09-25,66836,296,66524,1269638,957834,815031,103018,0,0.0,0.0
2022-09-27,AR,2,0,7,0,128,267,294,46,20.0,0.0,35.0,0.0,523.0,1628.0,2728.0,Kurung Kumey,0,0,0,,0,0,0,0,0.0,0.0,0.0,,5.0,6.0,41.0,89717,,,,528,1,525,,12642,9425,800,0,2022-09-28 11:55:28.897481,1504000,,,There could be a spike in the Delta Values as the last published data at the district level for Arunachal Pradesh is 2022-09-25,66836,296,66524,1269638,957834,815031,103018,0,0.0,0.0
2022-09-27,AR,2,0,7,0,128,267,294,46,20.0,0.0,35.0,0.0,523.0,1628.0,2728.0,Lepa Rada,0,0,0,,0,0,0,0,0.0,0.0,0.0,,7.0,1.0,146.0,0,,,,1072,3,1053,,15536,13257,2726,0,2022-09-28 11:55:28.897481,1504000,,,There could be a spike in the Delta Values as the last published data at the district level for Arunachal Pradesh is 2022-09-25,66836,296,66524,1269638,957834,815031,103018,0,0.0,0.0
2022-09-27,AR,2,0,7,0,128,267,294,46,20.0,0.0,35.0,0.0,523.0,1628.0,2728.0,Lohit,0,0,0,,1,1,9,0,0.0,0.0,0.0,,15.0,52.0,75.0,145538,,,,3581,29,3515,,40364,36765,4728,0,2022-09-28 11:55:28.897481,1504000,,,There could be a spike in the Delta Values as the last published data at the district level for Arunachal Pradesh is 2022-09-25,66836,296,66524,1269638,957834,815031,103018,0,0.0,0.0
2022-09-27,AR,2,0,7,0,128,267,294,46,20.0,0.0,35.0,0.0,523.0,1628.0,2728.0,Longding,0,0,0,,0,0,0,0,0.0,0.0,0.0,,15.0,47.0,12.0,60000,,,,940,2,934,,27651,16379,1477,0,2022-09-28 11:55:28.897481,1504000,,,There could be a spike in the Delta Values as the last published data at the district level for Arunachal Pradesh is 2022-09-25,66836,296,66524,1269638,957834,815031,103018,0,0.0,0.0
2022-09-27,AR,2,0,7,0,128,267,294,46,20.0,0.0,35.0,0.0,523.0,1628.0,2728.0,Lower Dibang Valley,0,0,0,,0,2,2,0,0.0,0.0,0.0,,2.0,13.0,22.0,53986,,,,2893,13,2863,,40505,32893,2962,0,2022-09-28 11:55:28.897481,1504000,,,There could be a spike in the Delta Values as the last published data at the district level for Arunachal Pradesh is 2022-09-25,66836,296,66524,1269638,957834,815031,103018,0,0.0,0.0
2022-09-27,AR,2,0,7,0,128,267,294,46,20.0,0.0,35.0,0.0,523.0,1628.0,2728.0,Lower Siang,0,0,0,,6,6,2,0,0.0,0.0,0.0,,12.0,15.0,78.0,80597,,,,851,8,837,,19624,13815,3111,0,2022-09-28 11:55:28.897481,1504000,,,There could be a spike in the Delta Values as the last published data at the district level for Arunachal Pradesh is 2022-09-25,66836,296,66524,1269638,957834,815031,103018,0,0.0,0.0
2022-09-27,AR,2,0,7,0,128,267,294,46,20.0,0.0,35.0,0.0,523.0,1628.0,2728.0,Lower Subansiri,0,0,0,,3,6,54,0,0.0,0.0,0.0,,32.0,98.0,253.0,82839,,,,3666,15,3616,,33177,28115,3477,0,2022-09-28 11:55:28.897481,1504000,,,There could be a spike in the Delta Values as the last published data at the district level for Arunachal Pradesh is 2022-09-25,66836,296,66524,1269638,957834,815031,103018,0,0.0,0.0
2022-09-27,AR,2,0,7,0,128,267,294,46,20.0,0.0,35.0,0.0,523.0,1628.0,2728.0,Namsai,0,0,0,,0,0,0,0,0.0,0.0,0.0,,1.0,7.0,14.0,95950,,,,2883,17,2801,,78136,71833,5505,0,2022-09-28 11:55:28.897481,1504000,,,There could be a spike in the Delta Values as the last published data at the district level for Arunachal Pradesh is 2022-09-25,66836,296,66524,1269638,957834,815031,103018,0,0.0,0.0
2022-09-27,AR,2,0,7,0,128,267,294,46,20.0,0.0,35.0,0.0,523.0,1628.0,2728.0,Pakke Kessang,0,0,0,,0,2,2,0,0.0,0.0,0.0,,14.0,7.0,132.0,0,,,,507,0,498,,10150,8588,1681,0,2022-09-28 11:55:28.897481,1504000,,,There could be a spike in the Delta Values as the last published data at the district level for Arunachal Pradesh is 2022-09-25,66836,296,66524,1269638,957834,815031,103018,0,0.0,0.0
2022-09-27,AR,2,0,7,0,128,267,294,46,20.0,0.0,35.0,0.0,523.0,1628.0,2728.0,Papum Pare,0,0,0,,78,150,34,0,0.0,0.0,0.0,,189.0,532.0,578.0,176385,,,,22351,105,22167,,176626,154373,17933,0,2022-09-28 11:55:28.897481,1504000,,,There could be a spike in the Delta Values as the last published data at the district level for Arunachal Pradesh is 2022-09-25,66836,296,66524,1269638,957834,815031,103018,0,0.0,0.0
2022-09-27,AR,2,0,7,0,128,267,294,46,20.0,0.0,35.0,0.0,523.0,1628.0,2728.0,Shi Yomi,0,0,0,,10,18,7,0,0.0,0.0,0.0,,17.0,32.0,123.0,13310,,,,314,0,306,,8144,7187,3058,0,2022-09-28 11:55:28.897481,1504000,,,There could be a spike in the Delta Values as the last published data at the district level for Arunachal Pradesh is 2022-09-25,66836,296,66524,1269638,957834,815031,103018,0,0.0,0.0
2022-09-27,AR,2,0,7,0,128,267,294,46,20.0,0.0,35.0,0.0,523.0,1628.0,2728.0,Siang,0,0,0,,0,0,0,0,0.0,0.0,0.0,,11.0,26.0,7.0,31920,,,,447,3,439,,17114,13001,575,0,2022-09-28 11:55:28.897481,1504000,,,There could be a spike in the Delta Values as the last published data at the district level for Arunachal Pradesh is 2022-09-25,66836,296,66524,1269638,957834,815031,103018,0,0.0,0.0
2022-09-27,AR,2,0,7,0,128,267,294,46,20.0,0.0,35.0,0.0,523.0,1628.0,2728.0,Tawang,0,0,0,,0,0,11,0,0.0,0.0,0.0,,3.0,50.0,116.0,49950,,,,2947,21,2916,,33990,30900,4300,0,2022-09-28 11:55:28.897481,1504000,,,There could be a spike in the Delta Values as the last published data at the district level for Arunachal Pradesh is 2022-09-25,66836,296,66524,1269638,957834,815031,103018,0,0.0,0.0
2022-09-27,AR,2,0,7,0,128,267,294,46,20.0,0.0,35.0,0.0,523.0,1628.0,2728.0,Tirap,0,0,0,,1,9,5,0,0.0,0.0,0.0,,73.0,257.0,33.0,111997,,,,1263,5,1256,,37792,31921,4290,0,2022-09-28 11:55:28.897481,1504000,,,There could be a spike in the Delta Values as the last published data at the district level for Arunachal Pradesh is 2022-09-25,66836,296,66524,1269638,957834,815031,103018,0,0.0,0.0
2022-09-27,AR,2,0,7,0,128,267,294,46,20.0,0.0,35.0,0.0,523.0,1628.0,2728.0,Unknown,2,0,7,,0,0,0,46,20.0,0.0,35.0,,0.0,0.0,0.0,0,,,,1238,0,1696,,0,0,0,0,2022-09-28 11:55:28.897481,1504000,,,There could be a spike in the Delta Values as the last published data at the district level for Arunachal Pradesh is 2022-09-25,66836,296,66524,1269638,957834,815031,103018,0,0.0,0.0
2022-09-27,AR,2,0,7,0,128,267,294,46,20.0,0.0,35.0,0.0,523.0,1628.0,2728.0,Upper Dibang Valley,0,0,0,,0,0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,7948,,,,426,2,412,,4702,3358,477,0,2022-09-28 11:55:28.897481,1504000,,,There could be a spike in the Delta Values as the last published data at the district level for Arunachal Pradesh is 2022-09-25,66836,296,66524,1269638,957834,815031,103018,0,0.0,0.0
2022-09-27,AR,2,0,7,0,128,267,294,46,20.0,0.0,35.0,0.0,523.0,1628.0,2728.0,Upper Siang,0,0,0,,7,3,56,0,0.0,0.0,0.0,,9.0,19.0,88.0,35289,,,,1228,1,1195,,23558,19828,3342,0,2022-09-28 11:55:28.897481,1504000,,,There could be a spike in the Delta Values as the last published data at the district level for Arunachal Pradesh is 2022-09-25,66836,296,66524,1269638,957834,815031,103018,0,0.0,0.0
2022-09-27,AR,2,0,7,0,128,267,294,46,20.0,0.0,35.0,0.0,523.0,1628.0,2728.0,Upper Subansiri,0,0,0,,15,1,25,0,0.0,0.0,0.0,,41.0,67.0,115.0,83205,,,,2026,7,2016,,30045,25450,1737,0,2022-09-28 11:55:28.897481,1504000,,,There could be a spike in the Delta Values as the last published data at the district level for Arunachal Pradesh is 2022-09-25,66836,296,66524,1269638,957834,815031,103018,0,0.0,0.0
2022-09-27,AR,2,0,7,0,128,267,294,46,20.0,0.0,35.0,0.0,523.0,1628.0,2728.0,West Kameng,0,0,0,,0,13,33,0,0.0,0.0,0.0,,6.0,17.0,280.0,87013,,,,4336,15,4307,,66243,57399,13629,0,2022-09-28 11:55:28.897481,1504000,,,There could be a spike in the Delta Values as the last published data at the district level for Arunachal Pradesh is 2022-09-25,66836,296,66524,1269638,957834,815031,103018,0,0.0,0.0
2022-09-27,AR,2,0,7,0,128,267,294,46,20.0,0.0,35.0,0.0,523.0,1628.0,2728.0,West Siang,0,0,0,,0,37,20,0,0.0,0.0,0.0,,6.0,154.0,374.0,112272,,,,2042,6,2028,,41414,37246,7824,0,2022-09-28 11:55:28.897481,1504000,,,There could be a spike in the Delta Values as the last published data at the district level for Arunachal Pradesh is 2022-09-25,66836,296,66524,1269638,957834,815031,103018,0,0.0,0.0
