Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,deltaVaccinated3ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,7DmaVaccinated3ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,7DmaVaccinated3ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,cumulativeOtherNumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeOtherNumberForState,7DmaOtherForState,7DmaOtherForDistrict
2022-09-28,MN,0,0,5,184,625,784,1102,25,11.0,0.0,24.0,1336.0,2058.0,3809.0,4566.0,Bishnupur,0,0,,8,3,48,256,1,0.0,0.0,,30.0,8.0,86.0,464.0,240363,2022-09-28 12:32:06.267643,https://twitter.com/health_manipur,,9980,206,,86159,161206,125727,18416,0,2022-09-28 12:32:08.185663,3103000,2022-09-28 12:32:06.267643,https://twitter.com/health_manipur,,139807,2148,137648,1655698,1643382,1325242,266154,0,0.0,0.0
2022-09-28,MN,0,0,5,184,625,784,1102,25,11.0,0.0,24.0,1336.0,2058.0,3809.0,4566.0,Chandel,0,0,,5,7,60,7,2,2.0,0.0,,25.0,69.0,412.0,223.0,144028,2022-09-28 12:32:06.267643,https://twitter.com/health_manipur,,2796,43,,37784,35073,31075,9583,0,2022-09-28 12:32:08.185663,3103000,2022-09-28 12:32:06.267643,https://twitter.com/health_manipur,,139807,2148,137648,1655698,1643382,1325242,266154,0,0.0,0.0
2022-09-28,MN,0,0,5,184,625,784,1102,25,11.0,0.0,24.0,1336.0,2058.0,3809.0,4566.0,Churachandpur,0,0,,21,96,167,174,3,1.0,0.0,,121.0,322.0,537.0,713.0,271274,2022-09-28 12:32:06.267643,https://twitter.com/health_manipur,,11285,169,,138513,144223,126054,26144,0,2022-09-28 12:32:08.185663,3103000,2022-09-28 12:32:06.267643,https://twitter.com/health_manipur,,139807,2148,137648,1655698,1643382,1325242,266154,0,0.0,0.0
2022-09-28,MN,0,0,5,184,625,784,1102,25,11.0,0.0,24.0,1336.0,2058.0,3809.0,4566.0,Imphal East,0,0,,23,185,243,124,4,0.0,0.0,,177.0,514.0,786.0,588.0,452661,2022-09-28 12:32:06.267643,https://twitter.com/health_manipur,,31034,517,,287842,327963,265144,71082,0,2022-09-28 12:32:08.185663,3103000,2022-09-28 12:32:06.267643,https://twitter.com/health_manipur,,139807,2148,137648,1655698,1643382,1325242,266154,0,0.0,0.0
2022-09-28,MN,0,0,5,184,625,784,1102,25,11.0,0.0,24.0,1336.0,2058.0,3809.0,4566.0,Imphal West,0,0,,33,260,99,109,9,6.0,0.0,,258.0,534.0,1050.0,787.0,514683,2022-09-28 12:32:06.267643,https://twitter.com/health_manipur,,49817,712,,516198,391841,319737,69492,0,2022-09-28 12:32:08.185663,3103000,2022-09-28 12:32:06.267643,https://twitter.com/health_manipur,,139807,2148,137648,1655698,1643382,1325242,266154,0,0.0,0.0
2022-09-28,MN,0,0,5,184,625,784,1102,25,11.0,0.0,24.0,1336.0,2058.0,3809.0,4566.0,Jiribam,0,0,,72,0,1,0,0,0.0,0.0,,496.0,1.0,1.0,24.0,43818,2022-09-28 12:32:06.267643,https://twitter.com/health_manipur,,1118,7,,46938,31289,25114,2782,0,2022-09-28 12:32:08.185663,3103000,2022-09-28 12:32:06.267643,https://twitter.com/health_manipur,,139807,2148,137648,1655698,1643382,1325242,266154,0,0.0,0.0
2022-09-28,MN,0,0,5,184,625,784,1102,25,11.0,0.0,24.0,1336.0,2058.0,3809.0,4566.0,Kakching,0,0,,2,0,6,11,0,1.0,0.0,,21.0,16.0,45.0,47.0,135481,2022-09-28 12:32:06.267643,https://twitter.com/health_manipur,,6976,124,,67657,104519,83585,11744,0,2022-09-28 12:32:08.185663,3103000,2022-09-28 12:32:06.267643,https://twitter.com/health_manipur,,139807,2148,137648,1655698,1643382,1325242,266154,0,0.0,0.0
2022-09-28,MN,0,0,5,184,625,784,1102,25,11.0,0.0,24.0,1336.0,2058.0,3809.0,4566.0,Kamjong,0,0,,0,1,0,5,0,0.0,0.0,,3.0,15.0,38.0,72.0,45616,2022-09-28 12:32:06.267643,https://twitter.com/health_manipur,,1053,5,,15632,15310,12114,1764,0,2022-09-28 12:32:08.185663,3103000,2022-09-28 12:32:06.267643,https://twitter.com/health_manipur,,139807,2148,137648,1655698,1643382,1325242,266154,0,0.0,0.0
2022-09-28,MN,0,0,5,184,625,784,1102,25,11.0,0.0,24.0,1336.0,2058.0,3809.0,4566.0,Kangpokpi,0,0,,3,48,22,81,1,0.0,0.0,,17.0,154.0,181.0,295.0,0,2022-09-28 12:32:06.267643,https://twitter.com/health_manipur,,3184,70,,46493,62764,43972,6071,0,2022-09-28 12:32:08.185663,3103000,2022-09-28 12:32:06.267643,https://twitter.com/health_manipur,,139807,2148,137648,1655698,1643382,1325242,266154,0,0.0,0.0
2022-09-28,MN,0,0,5,184,625,784,1102,25,11.0,0.0,24.0,1336.0,2058.0,3809.0,4566.0,Noney,0,0,,0,0,3,2,0,0.0,0.0,,0.0,6.0,14.0,196.0,0,2022-09-28 12:32:06.267643,https://twitter.com/health_manipur,,1173,5,,19425,22632,16871,3465,0,2022-09-28 12:32:08.185663,3103000,2022-09-28 12:32:06.267643,https://twitter.com/health_manipur,,139807,2148,137648,1655698,1643382,1325242,266154,0,0.0,0.0
