,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeOtherNumberForDistrict,cumulativeOtherNumberForState
1,2022-09-29,PB,Ludhiana,,,,113535,3016,110506,,2022-10-07T14:03:28.517985+05:30,,,"India reports 20,557 cases of COVID-19 infection, 2,603 more deaths as Punjab adds 2,563 old deaths to its tally, Published on : 20 Jul, 2022, 1:33 pm, Business Standard, NetIndian News Network",784548,20504,763875,20748491,0,0
2,2022-09-29,PB,S.A.S. Nagar,,,,101019,1168,99819,,2022-10-07T14:03:28.517985+05:30,,,"India reports 20,557 cases of COVID-19 infection, 2,603 more deaths as Punjab adds 2,563 old deaths to its tally, Published on : 20 Jul, 2022, 1:33 pm, Business Standard, NetIndian News Network",784548,20504,763875,20748491,0,0
3,2022-09-29,PB,Jalandhar,,,,81064,1982,79067,,2022-10-07T14:03:28.517985+05:30,,,"India reports 20,557 cases of COVID-19 infection, 2,603 more deaths as Punjab adds 2,563 old deaths to its tally, Published on : 20 Jul, 2022, 1:33 pm, Business Standard, NetIndian News Network",784548,20504,763875,20748491,0,0
4,2022-09-29,PB,Patiala,,,,64199,1722,62466,,2022-10-07T14:03:28.517985+05:30,,,"India reports 20,557 cases of COVID-19 infection, 2,603 more deaths as Punjab adds 2,563 old deaths to its tally, Published on : 20 Jul, 2022, 1:33 pm, Business Standard, NetIndian News Network",784548,20504,763875,20748491,0,0
5,2022-09-29,PB,Amritsar,,,,60945,1846,59075,,2022-10-07T14:03:28.517985+05:30,,,"India reports 20,557 cases of COVID-19 infection, 2,603 more deaths as Punjab adds 2,563 old deaths to its tally, Published on : 20 Jul, 2022, 1:33 pm, Business Standard, NetIndian News Network",784548,20504,763875,20748491,0,0
6,2022-09-29,PB,Bathinda,,,,52428,1427,50987,,2022-10-07T14:03:28.517985+05:30,,,"India reports 20,557 cases of COVID-19 infection, 2,603 more deaths as Punjab adds 2,563 old deaths to its tally, Published on : 20 Jul, 2022, 1:33 pm, Business Standard, NetIndian News Network",784548,20504,763875,20748491,0,0
7,2022-09-29,PB,Hoshiarpur,,,,42397,1419,40975,,2022-10-07T14:03:28.517985+05:30,,,"India reports 20,557 cases of COVID-19 infection, 2,603 more deaths as Punjab adds 2,563 old deaths to its tally, Published on : 20 Jul, 2022, 1:33 pm, Business Standard, NetIndian News Network",784548,20504,763875,20748491,0,0
8,2022-09-29,PB,Gurdaspur,,,,27272,871,26401,,2022-10-07T14:03:28.517985+05:30,,,"India reports 20,557 cases of COVID-19 infection, 2,603 more deaths as Punjab adds 2,563 old deaths to its tally, Published on : 20 Jul, 2022, 1:33 pm, Business Standard, NetIndian News Network",784548,20504,763875,20748491,0,0
9,2022-09-29,PB,Pathankot,,,,25015,521,24493,,2022-10-07T14:03:28.517985+05:30,,,"India reports 20,557 cases of COVID-19 infection, 2,603 more deaths as Punjab adds 2,563 old deaths to its tally, Published on : 20 Jul, 2022, 1:33 pm, Business Standard, NetIndian News Network",784548,20504,763875,20748491,0,0
10,2022-09-29,PB,Fazilka,,,,23930,621,23297,,2022-10-07T14:03:28.517985+05:30,,,"India reports 20,557 cases of COVID-19 infection, 2,603 more deaths as Punjab adds 2,563 old deaths to its tally, Published on : 20 Jul, 2022, 1:33 pm, Business Standard, NetIndian News Network",784548,20504,763875,20748491,0,0
