Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,deltaVaccinated3ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,7DmaVaccinated3ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,7DmaVaccinated3ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,cumulativeOtherNumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeOtherNumberForState,7DmaOtherForState,7DmaOtherForDistrict
2022-09-30,BR,39.0,0.0,33.0,0.0,5446,21846,53523,603,273.0,2.0,295.0,519030.0,46195.0,182224.0,434594.0,Araria,0.0,0.0,0.0,,45.0,41.0,229.0,2,1.0,0.0,3.0,,1023.0,9536.0,12105.0,2806200,,,,16643,140,16502,,1856037,1605356,260347,0,2022-10-01 14:17:51.154448,119520000,,,,850514,12302,838003,89452177,73331497,67379769,14777335,0,0.0,0.0
2022-09-30,BR,39.0,0.0,33.0,0.0,5446,21846,53523,603,273.0,2.0,295.0,519030.0,46195.0,182224.0,434594.0,Arwal,0.0,0.0,0.0,,20.0,185.0,441.0,3,0.0,0.0,0.0,,195.0,1156.0,3223.0,700843,,,,8416,110,8306,,463884,415823,80002,0,2022-10-01 14:17:51.154448,119520000,,,,850514,12302,838003,89452177,73331497,67379769,14777335,0,0.0,0.0
2022-09-30,BR,39.0,0.0,33.0,0.0,5446,21846,53523,603,273.0,2.0,295.0,519030.0,46195.0,182224.0,434594.0,Aurangabad,0.0,0.0,0.0,,47.0,541.0,410.0,4,1.0,0.0,2.0,,415.0,2886.0,3093.0,2511243,,,,21468,79,21388,,1824207,1557789,299448,0,2022-10-01 14:17:51.154448,119520000,,,,850514,12302,838003,89452177,73331497,67379769,14777335,0,0.0,0.0
2022-09-30,BR,39.0,0.0,33.0,0.0,5446,21846,53523,603,273.0,2.0,295.0,519030.0,46195.0,182224.0,434594.0,Banka,0.0,0.0,0.0,,41.0,113.0,872.0,3,2.0,0.0,1.0,,243.0,1497.0,7056.0,2029339,,,,9162,119,9042,,1372741,1333376,321737,0,2022-10-01 14:17:51.154448,119520000,,,,850514,12302,838003,89452177,73331497,67379769,14777335,0,0.0,0.0
2022-09-30,BR,39.0,0.0,33.0,0.0,5446,21846,53523,603,273.0,2.0,295.0,519030.0,46195.0,182224.0,434594.0,Begusarai,0.0,0.0,0.0,,261.0,208.0,2026.0,6,3.0,0.0,2.0,,2613.0,3621.0,15710.0,2954367,,,,31672,564,31106,,2003569,1846709,437046,0,2022-10-01 14:17:51.154448,119520000,,,,850514,12302,838003,89452177,73331497,67379769,14777335,0,0.0,0.0
2022-09-30,BR,39.0,0.0,33.0,0.0,5446,21846,53523,603,273.0,2.0,295.0,519030.0,46195.0,182224.0,434594.0,Bhagalpur,0.0,0.0,0.0,,115.0,139.0,601.0,43,16.0,1.0,16.0,,528.0,802.0,5850.0,3032226,,,,30418,365,30041,,2054021,1777669,329646,0,2022-10-01 14:17:51.154448,119520000,,,,850514,12302,838003,89452177,73331497,67379769,14777335,0,0.0,0.0
2022-09-30,BR,39.0,0.0,33.0,0.0,5446,21846,53523,603,273.0,2.0,295.0,519030.0,46195.0,182224.0,434594.0,Bhojpur,0.0,0.0,0.0,,43.0,402.0,613.0,13,5.0,0.0,2.0,,435.0,3229.0,2444.0,2720155,,,,12135,240,11891,,1785189,1459543,233003,0,2022-10-01 14:17:51.154448,119520000,,,,850514,12302,838003,89452177,73331497,67379769,14777335,0,0.0,0.0
2022-09-30,BR,39.0,0.0,33.0,0.0,5446,21846,53523,603,273.0,2.0,295.0,519030.0,46195.0,182224.0,434594.0,Buxar,0.0,0.0,0.0,,18.0,312.0,184.0,1,1.0,0.0,0.0,,85.0,2322.0,908.0,1707643,,,,10417,222,10194,,1196819,1112561,211321,0,2022-10-01 14:17:51.154448,119520000,,,,850514,12302,838003,89452177,73331497,67379769,14777335,0,0.0,0.0
2022-09-30,BR,39.0,0.0,33.0,0.0,5446,21846,53523,603,273.0,2.0,295.0,519030.0,46195.0,182224.0,434594.0,Darbhanga,0.0,0.0,0.0,,176.0,494.0,4732.0,4,2.0,0.0,6.0,,911.0,4889.0,36678.0,3921971,,,,13791,372,13418,,2942239,2917505,857555,0,2022-10-01 14:17:51.154448,119520000,,,,850514,12302,838003,89452177,73331497,67379769,14777335,0,0.0,0.0
2022-09-30,BR,39.0,0.0,33.0,0.0,5446,21846,53523,603,273.0,2.0,295.0,519030.0,46195.0,182224.0,434594.0,East Champaran,0.0,0.0,0.0,,542.0,1296.0,2982.0,9,3.0,0.0,2.0,,8245.0,14534.0,30113.0,5082868,,,,21204,538,20664,,3864804,3812338,922895,0,2022-10-01 14:17:51.154448,119520000,,,,850514,12302,838003,89452177,73331497,67379769,14777335,0,0.0,0.0
2022-09-30,BR,39.0,0.0,33.0,0.0,5446,21846,53523,603,273.0,2.0,295.0,519030.0,46195.0,182224.0,434594.0,Gaya,0.0,0.0,0.0,,91.0,492.0,2027.0,13,33.0,0.0,29.0,,463.0,1889.0,12955.0,4379383,,,,37943,374,37545,,3136276,3076050,610306,0,2022-10-01 14:17:51.154448,119520000,,,,850514,12302,838003,89452177,73331497,67379769,14777335,0,0.0,0.0
2022-09-30,BR,39.0,0.0,33.0,0.0,5446,21846,53523,603,273.0,2.0,295.0,519030.0,46195.0,182224.0,434594.0,Gopalganj,0.0,0.0,0.0,,25.0,72.0,204.0,0,1.0,0.0,2.0,,727.0,5498.0,9854.0,2558037,,,,17952,260,17691,,1750625,1630376,295665,0,2022-10-01 14:17:51.154448,119520000,,,,850514,12302,838003,89452177,73331497,67379769,14777335,0,0.0,0.0
2022-09-30,BR,39.0,0.0,33.0,0.0,5446,21846,53523,603,273.0,2.0,295.0,519030.0,46195.0,182224.0,434594.0,Jamui,0.0,0.0,0.0,,11.0,24.0,158.0,0,1.0,0.0,1.0,,51.0,253.0,6657.0,1756078,,,,11088,120,10967,,1168030,1085857,194818,0,2022-10-01 14:17:51.154448,119520000,,,,850514,12302,838003,89452177,73331497,67379769,14777335,0,0.0,0.0
2022-09-30,BR,39.0,0.0,33.0,0.0,5446,21846,53523,603,273.0,2.0,295.0,519030.0,46195.0,182224.0,434594.0,Jehanabad,0.0,0.0,0.0,,35.0,27.0,210.0,23,3.0,0.0,7.0,,289.0,2228.0,2992.0,1124176,,,,12209,245,11961,,745729,655879,134703,0,2022-10-01 14:17:51.154448,119520000,,,,850514,12302,838003,89452177,73331497,67379769,14777335,0,0.0,0.0
2022-09-30,BR,39.0,0.0,33.0,0.0,5446,21846,53523,603,273.0,2.0,295.0,519030.0,46195.0,182224.0,434594.0,Kaimur,0.0,0.0,0.0,,370.0,63.0,1334.0,5,4.0,0.0,1.0,,2719.0,1473.0,12744.0,1626900,,,,5837,147,5686,,1101247,1086916,297297,0,2022-10-01 14:17:51.154448,119520000,,,,850514,12302,838003,89452177,73331497,67379769,14777335,0,0.0,0.0
2022-09-30,BR,39.0,0.0,33.0,0.0,5446,21846,53523,603,273.0,2.0,295.0,519030.0,46195.0,182224.0,434594.0,Katihar,0.0,0.0,0.0,,77.0,321.0,1496.0,3,2.0,0.0,0.0,,748.0,1987.0,7809.0,3068149,,,,20062,269,19791,,2136678,1960643,438076,0,2022-10-01 14:17:51.154448,119520000,,,,850514,12302,838003,89452177,73331497,67379769,14777335,0,0.0,0.0
2022-09-30,BR,39.0,0.0,33.0,0.0,5446,21846,53523,603,273.0,2.0,295.0,519030.0,46195.0,182224.0,434594.0,Khagaria,0.0,0.0,0.0,,64.0,630.0,536.0,23,0.0,0.0,3.0,,710.0,3922.0,6981.0,1657599,,,,11079,166,10913,,1055043,983760,197292,0,2022-10-01 14:17:51.154448,119520000,,,,850514,12302,838003,89452177,73331497,67379769,14777335,0,0.0,0.0
2022-09-30,BR,39.0,0.0,33.0,0.0,5446,21846,53523,603,273.0,2.0,295.0,519030.0,46195.0,182224.0,434594.0,Kishanganj,0.0,0.0,0.0,,30.0,355.0,2187.0,6,1.0,0.0,3.0,,970.0,2562.0,12809.0,1690948,,,,11489,108,11380,,1267458,1202351,306838,0,2022-10-01 14:17:51.154448,119520000,,,,850514,12302,838003,89452177,73331497,67379769,14777335,0,0.0,0.0
2022-09-30,BR,39.0,0.0,33.0,0.0,5446,21846,53523,603,273.0,2.0,295.0,519030.0,46195.0,182224.0,434594.0,Lakhisarai,0.0,0.0,0.0,,2.0,2.0,87.0,4,1.0,0.0,1.0,,91.0,173.0,1901.0,1000717,,,,8660,103,8557,,652875,596532,133895,0,2022-10-01 14:17:51.154448,119520000,,,,850514,12302,838003,89452177,73331497,67379769,14777335,0,0.0,0.0
2022-09-30,BR,39.0,0.0,33.0,0.0,5446,21846,53523,603,273.0,2.0,295.0,519030.0,46195.0,182224.0,434594.0,Madhepura,0.0,0.0,0.0,,105.0,325.0,162.0,2,2.0,0.0,2.0,,367.0,2786.0,4252.0,1994618,,,,15235,115,15119,,1345651,1140412,207760,0,2022-10-01 14:17:51.154448,119520000,,,,850514,12302,838003,89452177,73331497,67379769,14777335,0,0.0,0.0
2022-09-30,BR,39.0,0.0,33.0,0.0,5446,21846,53523,603,273.0,2.0,295.0,519030.0,46195.0,182224.0,434594.0,Madhubani,0.0,0.0,0.0,,106.0,509.0,996.0,7,2.0,0.0,5.0,,822.0,3809.0,7095.0,4476044,,,,20371,390,19979,,2854507,2342371,433800,0,2022-10-01 14:17:51.154448,119520000,,,,850514,12302,838003,89452177,73331497,67379769,14777335,0,0.0,0.0
2022-09-30,BR,39.0,0.0,33.0,0.0,5446,21846,53523,603,273.0,2.0,295.0,519030.0,46195.0,182224.0,434594.0,Munger,0.0,0.0,0.0,,6.0,181.0,318.0,27,18.0,0.0,6.0,,60.0,2108.0,2577.0,1359054,,,,18309,274,18017,,1003776,951209,210103,0,2022-10-01 14:17:51.154448,119520000,,,,850514,12302,838003,89452177,73331497,67379769,14777335,0,0.0,0.0
