Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,deltaVaccinated3ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,7DmaVaccinated3ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,7DmaVaccinated3ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,cumulativeOtherNumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeOtherNumberForState,7DmaOtherForState,7DmaOtherForDistrict
2022-09-30,HP,19,0,43,0,168,481,8320,290,144.0,2.0,176.0,0,1399.0,2777.0,48081.0,Bilaspur,0,0,0,,3,10,2100,0,0.0,0.0,0.0,0.0,33.0,163.0,15971.0,382056,,,,19845,97,19687,,367209,362517,219968,0,2022-10-01 14:17:51.154448,7300000,,,There could be a spike in the Delta Values as the last published data at the district level for Himachal Pradesh is 2022-09-28,312207,4210,307863,,6631457,6297555,2155606,0,0.0,0.0
2022-09-30,HP,19,0,43,0,168,481,8320,290,144.0,2.0,176.0,0,1399.0,2777.0,48081.0,Chamba,0,0,0,,9,35,418,0,0.0,0.0,0.0,0.0,135.0,165.0,2653.0,518844,,,,18144,179,17948,,435503,415870,113229,0,2022-10-01 14:17:51.154448,7300000,,,There could be a spike in the Delta Values as the last published data at the district level for Himachal Pradesh is 2022-09-28,312207,4210,307863,,6631457,6297555,2155606,0,0.0,0.0
2022-09-30,HP,19,0,43,0,168,481,8320,290,144.0,2.0,176.0,0,1399.0,2777.0,48081.0,Hamirpur,0,0,0,,15,37,1493,0,0.0,0.0,0.0,0.0,31.0,71.0,2898.0,454293,,,,25591,333,25182,,433524,416684,195629,0,2022-10-01 14:17:51.154448,7300000,,,There could be a spike in the Delta Values as the last published data at the district level for Himachal Pradesh is 2022-09-28,312207,4210,307863,,6631457,6297555,2155606,0,0.0,0.0
2022-09-30,HP,19,0,43,0,168,481,8320,290,144.0,2.0,176.0,0,1399.0,2777.0,48081.0,Kangra,0,0,0,,34,80,1486,0,0.0,0.0,0.0,0.0,202.0,446.0,13069.0,1507223,,,,70309,1264,68825,,1371634,1330524,549982,0,2022-10-01 14:17:51.154448,7300000,,,There could be a spike in the Delta Values as the last published data at the district level for Himachal Pradesh is 2022-09-28,312207,4210,307863,,6631457,6297555,2155606,0,0.0,0.0
2022-09-30,HP,19,0,43,0,168,481,8320,290,144.0,2.0,176.0,0,1399.0,2777.0,48081.0,Kinnaur,0,0,0,,0,0,0,0,0.0,0.0,0.0,0.0,2.0,1.0,18.0,84298,,,,5061,41,4985,,86576,76173,37270,0,2022-10-01 14:17:51.154448,7300000,,,There could be a spike in the Delta Values as the last published data at the district level for Himachal Pradesh is 2022-09-28,312207,4210,307863,,6631457,6297555,2155606,0,0.0,0.0
2022-09-30,HP,19,0,43,0,168,481,8320,290,144.0,2.0,176.0,0,1399.0,2777.0,48081.0,Kullu,0,0,0,,10,17,105,0,0.0,0.0,0.0,0.0,20.0,48.0,999.0,437474,,,,13196,164,12982,,413077,385351,127716,0,2022-10-01 14:17:51.154448,7300000,,,There could be a spike in the Delta Values as the last published data at the district level for Himachal Pradesh is 2022-09-28,312207,4210,307863,,6631457,6297555,2155606,0,0.0,0.0
2022-09-30,HP,19,0,43,0,168,481,8320,290,144.0,2.0,176.0,0,1399.0,2777.0,48081.0,Lahaul and Spiti,0,0,0,,26,10,253,0,0.0,0.0,0.0,0.0,29.0,12.0,340.0,31528,,,,3496,18,3459,,34370,28057,14024,0,2022-10-01 14:17:51.154448,7300000,,,There could be a spike in the Delta Values as the last published data at the district level for Himachal Pradesh is 2022-09-28,312207,4210,307863,,6631457,6297555,2155606,0,0.0,0.0
2022-09-30,HP,19,0,43,0,168,481,8320,290,144.0,2.0,176.0,0,1399.0,2777.0,48081.0,Mandi,0,0,0,,2,15,439,0,0.0,0.0,0.0,0.0,24.0,139.0,3061.0,999518,,,,42846,512,42226,,895784,849468,276833,0,2022-10-01 14:17:51.154448,7300000,,,There could be a spike in the Delta Values as the last published data at the district level for Himachal Pradesh is 2022-09-28,312207,4210,307863,,6631457,6297555,2155606,0,0.0,0.0
2022-09-30,HP,19,0,43,0,168,481,8320,290,144.0,2.0,176.0,0,1399.0,2777.0,48081.0,Shimla,0,0,0,,32,130,476,0,0.0,0.0,0.0,0.0,266.0,777.0,2920.0,813384,,,,39767,727,38922,,787088,739262,161724,0,2022-10-01 14:17:51.154448,7300000,,,There could be a spike in the Delta Values as the last published data at the district level for Himachal Pradesh is 2022-09-28,312207,4210,307863,,6631457,6297555,2155606,0,0.0,0.0
2022-09-30,HP,19,0,43,0,168,481,8320,290,144.0,2.0,176.0,0,1399.0,2777.0,48081.0,Sirmaur,0,0,0,,20,98,839,0,0.0,0.0,0.0,0.0,201.0,419.0,1324.0,530164,,,,21157,226,20872,,502849,476201,135003,0,2022-10-01 14:17:51.154448,7300000,,,There could be a spike in the Delta Values as the last published data at the district level for Himachal Pradesh is 2022-09-28,312207,4210,307863,,6631457,6297555,2155606,0,0.0,0.0
