,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeOtherNumberForState,cumulativeOtherNumberForDistrict
0,2022-10-11,GJ,Other State,,,,,,,,2022-10-12 11:55:22.053582,,,,1275674,11037,1263905,45419167,0,0
1,2022-10-11,GJ,Ahmedabad,,,,403522,3667,399654,,2022-10-12 11:55:22.053582,,,,1275674,11037,1263905,45419167,0,0
2,2022-10-11,GJ,Amreli,,,,13520,105,13414,,2022-10-12 11:55:22.053582,,,,1275674,11037,1263905,45419167,0,0
3,2022-10-11,GJ,Anand,,,,16028,55,15971,,2022-10-12 11:55:22.053582,,,,1275674,11037,1263905,45419167,0,0
4,2022-10-11,GJ,Aravalli,,,,5984,82,5901,,2022-10-12 11:55:22.053582,,,,1275674,11037,1263905,45419167,0,0
5,2022-10-11,GJ,Banaskantha,,,,19148,167,18968,,2022-10-12 11:55:22.053582,,,,1275674,11037,1263905,45419167,0,0
6,2022-10-11,GJ,Bharuch,,,,17950,153,17795,,2022-10-12 11:55:22.053582,,,,1275674,11037,1263905,45419167,0,0
7,2022-10-11,GJ,Bhavnagar,,,,30443,370,30040,,2022-10-12 11:55:22.053582,,,,1275674,11037,1263905,45419167,0,0
8,2022-10-11,GJ,Botad,,,,2386,48,2338,,2022-10-12 11:55:22.053582,,,,1275674,11037,1263905,45419167,0,0
9,2022-10-11,GJ,Chhota Udaipur,,,,3768,38,3730,,2022-10-12 11:55:22.053582,,,,1275674,11037,1263905,45419167,0,0
10,2022-10-11,GJ,Dahod,,,,11345,46,11298,,2022-10-12 11:55:22.053582,,,,1275674,11037,1263905,45419167,0,0
11,2022-10-11,GJ,Dang,,,,1304,18,1286,,2022-10-12 11:55:22.053582,,,,1275674,11037,1263905,45419167,0,0
12,2022-10-11,GJ,Devbhumi Dwarka,,,,5428,89,5339,,2022-10-12 11:55:22.053582,,,,1275674,11037,1263905,45419167,0,0
13,2022-10-11,GJ,Gandhinagar,,,,37973,232,37684,,2022-10-12 11:55:22.053582,,,,1275674,11037,1263905,45419167,0,0
14,2022-10-11,GJ,Gir Somnath,,,,9879,70,9809,,2022-10-12 11:55:22.053582,,,,1275674,11037,1263905,45419167,0,0
15,2022-10-11,GJ,Jamnagar,,,,42563,523,42034,,2022-10-12 11:55:22.053582,,,,1275674,11037,1263905,45419167,0,0
16,2022-10-11,GJ,Junagadh,,,,22816,272,22543,,2022-10-12 11:55:22.053582,,,,1275674,11037,1263905,45419167,0,0
17,2022-10-11,GJ,Kheda,,,,14932,55,14877,,2022-10-12 11:55:22.053582,,,,1275674,11037,1263905,45419167,0,0
18,2022-10-11,GJ,Kutch,,,,20265,146,20110,,2022-10-12 11:55:22.053582,,,,1275674,11037,1263905,45419167,0,0
19,2022-10-11,GJ,Mahisagar,,,,8907,75,8832,,2022-10-12 11:55:22.053582,,,,1275674,11037,1263905,45419167,0,0
20,2022-10-11,GJ,Mehsana,,,,33308,196,33100,,2022-10-12 11:55:22.053582,,,,1275674,11037,1263905,45419167,0,0
21,2022-10-11,GJ,Morbi,,,,11326,96,11226,,2022-10-12 11:55:22.053582,,,,1275674,11037,1263905,45419167,0,0
22,2022-10-11,GJ,Narmada,,,,6645,15,6630,,2022-10-12 11:55:22.053582,,,,1275674,11037,1263905,45419167,0,0
23,2022-10-11,GJ,Navsari,,,,12787,42,12739,,2022-10-12 11:55:22.053582,,,,1275674,11037,1263905,45419167,0,0
24,2022-10-11,GJ,Panchmahal,,,,13768,83,13684,,2022-10-12 11:55:22.053582,,,,1275674,11037,1263905,45419167,0,0
25,2022-10-11,GJ,Patan,,,,17001,129,16868,,2022-10-12 11:55:22.053582,,,,1275674,11037,1263905,45419167,0,0
26,2022-10-11,GJ,Porbandar,,,,4497,25,4472,,2022-10-12 11:55:22.053582,,,,1275674,11037,1263905,45419167,0,0
27,2022-10-11,GJ,Rajkot,,,,87372,806,86532,,2022-10-12 11:55:22.053582,,,,1275674,11037,1263905,45419167,0,0
28,2022-10-11,GJ,Sabarkantha,,,,12398,164,12229,,2022-10-12 11:55:22.053582,,,,1275674,11037,1263905,45419167,0,0
29,2022-10-11,GJ,Surat,,,,211724,2082,209436,,2022-10-12 11:55:22.053582,,,,1275674,11037,1263905,45419167,0,0
30,2022-10-11,GJ,Surendranagar,,,,10333,139,10193,,2022-10-12 11:55:22.053582,,,,1275674,11037,1263905,45419167,0,0
31,2022-10-11,GJ,Tapi,,,,5958,32,5921,,2022-10-12 11:55:22.053582,,,,1275674,11037,1263905,45419167,0,0
32,2022-10-11,GJ,Vadodara,,,,146207,921,145176,,2022-10-12 11:55:22.053582,,,,1275674,11037,1263905,45419167,0,0
33,2022-10-11,GJ,Valsad,,,,14027,93,13917,,2022-10-12 11:55:22.053582,,,,1275674,11037,1263905,45419167,0,0
34,2022-10-11,GJ,Unknown,,,,162,3,159,,2022-10-12 11:55:22.053582,,,,1275674,11037,1263905,45419167,0,0
