Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,deltaVaccinated3ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,7DmaVaccinated3ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,7DmaVaccinated3ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,cumulativeOtherNumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeOtherNumberForState,7DmaOtherForState,7DmaOtherForDistrict
2022-10-16,OR,77,1,84,0,1139,2191,45152,1199,578.0,2.0,567.0,55027.0,7133.0,19045.0,297875.0,Angul,0,0,0,,29,37,1678,3,1.0,0.0,2.0,,70.0,103.0,4204.0,1271703,,,,48162,419,47742,,1005532,901164,438885,0,2022-10-16 23:55:39.830122,43671000,2022-10-16 23:55:39.831048,,,1335454,9201,1325678,33708205,35242584,32974204,12856568,0,0.0,0.0
2022-10-16,OR,77,1,84,0,1139,2191,45152,1199,578.0,2.0,567.0,55027.0,7133.0,19045.0,297875.0,Balangir,2,0,0,,1,19,1607,24,8.0,0.0,4.0,,34.0,145.0,10056.0,1648574,,,,30176,131,30036,,1359286,1171953,424858,0,2022-10-16 23:55:39.830122,43671000,2022-10-16 23:55:39.831048,,,1335454,9201,1325678,33708205,35242584,32974204,12856568,0,0.0,0.0
2022-10-16,OR,77,1,84,0,1139,2191,45152,1199,578.0,2.0,567.0,55027.0,7133.0,19045.0,297875.0,Balasore,0,0,10,,150,153,7353,69,36.0,0.0,30.0,,581.0,1000.0,40994.0,2317419,,,,49918,365,49512,,1902383,1873074,803507,0,2022-10-16 23:55:39.830122,43671000,2022-10-16 23:55:39.831048,,,1335454,9201,1325678,33708205,35242584,32974204,12856568,0,0.0,0.0
2022-10-16,OR,77,1,84,0,1139,2191,45152,1199,578.0,2.0,567.0,55027.0,7133.0,19045.0,297875.0,Bargarh,3,0,4,,4,0,1036,18,15.0,0.0,12.0,,74.0,68.0,6728.0,1478833,,,,35614,353,35240,,1193458,1045021,294714,0,2022-10-16 23:55:39.830122,43671000,2022-10-16 23:55:39.831048,,,1335454,9201,1325678,33708205,35242584,32974204,12856568,0,0.0,0.0
2022-10-16,OR,77,1,84,0,1139,2191,45152,1199,578.0,2.0,567.0,55027.0,7133.0,19045.0,297875.0,Bhadrak,0,0,0,,5,11,1982,10,2.0,0.0,9.0,,365.0,595.0,16035.0,1506522,,,,29851,177,29667,,1372835,1297554,596138,0,2022-10-16 23:55:39.830122,43671000,2022-10-16 23:55:39.831048,,,1335454,9201,1325678,33708205,35242584,32974204,12856568,0,0.0,0.0
2022-10-16,OR,77,1,84,0,1139,2191,45152,1199,578.0,2.0,567.0,55027.0,7133.0,19045.0,297875.0,Boudh,0,0,0,,327,233,3246,13,0.0,0.0,12.0,,1154.0,1854.0,13706.0,439917,,,,15174,113,15061,,350891,316188,111304,0,2022-10-16 23:55:39.830122,43671000,2022-10-16 23:55:39.831048,,,1335454,9201,1325678,33708205,35242584,32974204,12856568,0,0.0,0.0
2022-10-16,OR,77,1,84,0,1139,2191,45152,1199,578.0,2.0,567.0,55027.0,7133.0,19045.0,297875.0,Cuttack,5,0,2,,1,1,628,141,57.0,0.0,56.0,,73.0,99.0,3822.0,2618708,,,,117960,915,116987,,1941279,1772254,625655,0,2022-10-16 23:55:39.830122,43671000,2022-10-16 23:55:39.831048,,,1335454,9201,1325678,33708205,35242584,32974204,12856568,0,0.0,0.0
2022-10-16,OR,77,1,84,0,1139,2191,45152,1199,578.0,2.0,567.0,55027.0,7133.0,19045.0,297875.0,Deogarh,3,0,0,,3,33,420,12,6.0,0.0,15.0,,27.0,316.0,3106.0,312164,,,,8886,53,8827,,292425,268867,127236,0,2022-10-16 23:55:39.830122,43671000,2022-10-16 23:55:39.831048,,,1335454,9201,1325678,33708205,35242584,32974204,12856568,0,0.0,0.0
2022-10-16,OR,77,1,84,0,1139,2191,45152,1199,578.0,2.0,567.0,55027.0,7133.0,19045.0,297875.0,Dhenkanal,0,0,1,,3,8,564,2,0.0,0.0,1.0,,35.0,91.0,4190.0,1192948,,,,22463,265,22198,,995026,908356,347655,0,2022-10-16 23:55:39.830122,43671000,2022-10-16 23:55:39.831048,,,1335454,9201,1325678,33708205,35242584,32974204,12856568,0,0.0,0.0
2022-10-16,OR,77,1,84,0,1139,2191,45152,1199,578.0,2.0,567.0,55027.0,7133.0,19045.0,297875.0,Gajapati,0,0,0,,16,78,925,30,0.0,0.0,14.0,,710.0,703.0,11672.0,575880,,,,13506,83,13422,,451699,439675,172061,0,2022-10-16 23:55:39.830122,43671000,2022-10-16 23:55:39.831048,,,1335454,9201,1325678,33708205,35242584,32974204,12856568,0,0.0,0.0
