,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeOtherNumberForDistrict,cumulativeOtherNumberForState
0,2022-10-18,TN,Ariyalur,,,,20259,267,19985,,2022-10-26T14:22:07.940647+05:30,,,,3589537,38048,3547463,69648365,0,0
1,2022-10-18,TN,Chengalpattu,,,,253177,2661,250317,,2022-10-26T14:22:07.940647+05:30,,,,3589537,38048,3547463,69648365,0,0
2,2022-10-18,TN,Chennai,,,,792004,9070,780836,,2022-10-26T14:22:07.940647+05:30,,,,3589537,38048,3547463,69648365,0,0
3,2022-10-18,TN,Coimbatore,,,,340821,2618,338008,,2022-10-26T14:22:07.940647+05:30,,,,3589537,38048,3547463,69648365,0,0
4,2022-10-18,TN,Cuddalore,,,,75939,896,74988,,2022-10-26T14:22:07.940647+05:30,,,,3589537,38048,3547463,69648365,0,0
5,2022-10-18,TN,Dharmapuri,,,,36848,283,36555,,2022-10-26T14:22:07.940647+05:30,,,,3589537,38048,3547463,69648365,0,0
6,2022-10-18,TN,Dindigul,,,,39181,665,38472,,2022-10-26T14:22:07.940647+05:30,,,,3589537,38048,3547463,69648365,0,0
7,2022-10-18,TN,Erode,,,,136500,734,135668,,2022-10-26T14:22:07.940647+05:30,,,,3589537,38048,3547463,69648365,0,0
8,2022-10-18,TN,Kallakurichi,,,,36947,215,36728,,2022-10-26T14:22:07.940647+05:30,,,,3589537,38048,3547463,69648365,0,0
9,2022-10-18,TN,Kancheepuram,,,,98309,1303,96991,,2022-10-26T14:22:07.940647+05:30,,,,3589537,38048,3547463,69648365,0,0
10,2022-10-18,TN,Kanyakumari,,,,90363,1086,89155,,2022-10-26T14:22:07.940647+05:30,,,,3589537,38048,3547463,69648365,0,0
11,2022-10-18,TN,Karur,,,,30277,372,29888,,2022-10-26T14:22:07.940647+05:30,,,,3589537,38048,3547463,69648365,0,0
12,2022-10-18,TN,Krishnagiri,,,,62547,372,62052,,2022-10-26T14:22:07.940647+05:30,,,,3589537,38048,3547463,69648365,0,0
13,2022-10-18,TN,Madurai,,,,93272,1236,91970,,2022-10-26T14:22:07.940647+05:30,,,,3589537,38048,3547463,69648365,0,0
14,2022-10-18,TN,Mayiladuthurai,,,,27446,330,27061,,2022-10-26T14:22:07.940647+05:30,,,,3589537,38048,3547463,69648365,0,0
15,2022-10-18,TN,Nagapattinam,,,,26055,375,25651,,2022-10-26T14:22:07.940647+05:30,,,,3589537,38048,3547463,69648365,0,0
16,2022-10-18,TN,Namakkal,,,,69793,534,69233,,2022-10-26T14:22:07.940647+05:30,,,,3589537,38048,3547463,69648365,0,0
17,2022-10-18,TN,Nilgiris,,,,42922,226,42672,,2022-10-26T14:22:07.940647+05:30,,,,3589537,38048,3547463,69648365,0,0
18,2022-10-18,TN,Perambalur,,,,14954,249,14661,,2022-10-26T14:22:07.940647+05:30,,,,3589537,38048,3547463,69648365,0,0
19,2022-10-18,TN,Pudukkottai,,,,35292,426,34837,,2022-10-26T14:22:07.940647+05:30,,,,3589537,38048,3547463,69648365,0,0
20,2022-10-18,TN,Ramanathapuram,,,,25013,369,24628,,2022-10-26T14:22:07.940647+05:30,,,,3589537,38048,3547463,69648365,0,0
21,2022-10-18,TN,Ranipet,,,,56668,787,55879,,2022-10-26T14:22:07.940647+05:30,,,,3589537,38048,3547463,69648365,0,0
22,2022-10-18,TN,Salem,,,,131819,1764,129967,,2022-10-26T14:22:07.940647+05:30,,,,3589537,38048,3547463,69648365,0,0
23,2022-10-18,TN,Sivaganga,,,,25209,219,24940,,2022-10-26T14:22:07.940647+05:30,,,,3589537,38048,3547463,69648365,0,0
24,2022-10-18,TN,Tenkasi,,,,33975,490,33458,,2022-10-26T14:22:07.940647+05:30,,,,3589537,38048,3547463,69648365,0,0
25,2022-10-18,TN,Thanjavur,,,,93591,1041,92521,,2022-10-26T14:22:07.940647+05:30,,,,3589537,38048,3547463,69648365,0,0
26,2022-10-18,TN,Theni,,,,51862,533,51312,,2022-10-26T14:22:07.940647+05:30,,,,3589537,38048,3547463,69648365,0,0
27,2022-10-18,TN,Tirupathur,,,,36094,633,35457,,2022-10-26T14:22:07.940647+05:30,,,,3589537,38048,3547463,69648365,0,0
28,2022-10-18,TN,Thiruvallur,,,,153640,1942,151668,,2022-10-26T14:22:07.940647+05:30,,,,3589537,38048,3547463,69648365,0,0
29,2022-10-18,TN,Tiruvannamalai,,,,68445,685,67736,,2022-10-26T14:22:07.940647+05:30,,,,3589537,38048,3547463,69648365,0,0
30,2022-10-18,TN,Thiruvarur,,,,49001,473,48507,,2022-10-26T14:22:07.940647+05:30,,,,3589537,38048,3547463,69648365,0,0
31,2022-10-18,TN,Thoothukkudi,,,,67390,448,66883,,2022-10-26T14:22:07.940647+05:30,,,,3589537,38048,3547463,69648365,0,0
32,2022-10-18,TN,Tirunelveli,,,,66205,445,65666,,2022-10-26T14:22:07.940647+05:30,,,,3589537,38048,3547463,69648365,0,0
33,2022-10-18,TN,Tiruppur,,,,132221,1053,131138,,2022-10-26T14:22:07.940647+05:30,,,,3589537,38048,3547463,69648365,0,0
34,2022-10-18,TN,Tiruchirappalli,,,,98249,1161,96985,,2022-10-26T14:22:07.940647+05:30,,,,3589537,38048,3547463,69648365,0,0
35,2022-10-18,TN,Vellore,,,,58156,1163,56951,,2022-10-26T14:22:07.940647+05:30,,,,3589537,38048,3547463,69648365,0,0
36,2022-10-18,TN,Viluppuram,,,,56458,367,56035,,2022-10-26T14:22:07.940647+05:30,,,,3589537,38048,3547463,69648365,0,0
37,2022-10-18,TN,Virudhunagar,,,,59636,555,59012,,2022-10-26T14:22:07.940647+05:30,,,,3589537,38048,3547463,69648365,0,0
