Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,deltaVaccinated3ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,7DmaVaccinated3ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,7DmaVaccinated3ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,cumulativeOtherNumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeOtherNumberForState,7DmaOtherForState,7DmaOtherForDistrict
2022-10-20,JK,2.0,0.0,6.0,0.0,1307,119,3455,60,21.0,0.0,37.0,35586.0,1814.0,867.0,28159.0,Anantnag,0.0,0.0,0.0,,0.0,3.0,217.0,0,0.0,0.0,0.0,,7.0,7.0,2909.0,1070144,,,,23344.0,219.0,23125.0,,913380,934016,86359,0,2022-10-21 11:55:23.774073,13203000,,,,479256,4785,474446,26742350,11368341,11762409,1540929,0,0.0,0.0
2022-10-20,JK,2.0,0.0,6.0,0.0,1307,119,3455,60,21.0,0.0,37.0,35586.0,1814.0,867.0,28159.0,Bandipora,0.0,0.0,0.0,,0.0,21.0,60.0,1,0.0,0.0,0.0,,9.0,506.0,1299.0,385099,,,,14144.0,119.0,14025.0,,357620,369901,38969,0,2022-10-21 11:55:23.774073,13203000,,,,479256,4785,474446,26742350,11368341,11762409,1540929,0,0.0,0.0
2022-10-20,JK,2.0,0.0,6.0,0.0,1307,119,3455,60,21.0,0.0,37.0,35586.0,1814.0,867.0,28159.0,Baramulla,0.0,0.0,0.0,,1291.0,0.0,53.0,2,2.0,0.0,2.0,,1471.0,0.0,878.0,1015503,,,,41563.0,304.0,41257.0,,918460,956946,90765,0,2022-10-21 11:55:23.774073,13203000,,,,479256,4785,474446,26742350,11368341,11762409,1540929,0,0.0,0.0
2022-10-20,JK,2.0,0.0,6.0,0.0,1307,119,3455,60,21.0,0.0,37.0,35586.0,1814.0,867.0,28159.0,Budgam,0.0,0.0,0.0,,0.0,0.0,0.0,2,6.0,0.0,3.0,,0.0,2.0,830.0,735753,,,,36690.0,237.0,36450.0,,691990,723708,61610,0,2022-10-21 11:55:23.774073,13203000,,,,479256,4785,474446,26742350,11368341,11762409,1540929,0,0.0,0.0
2022-10-20,JK,2.0,0.0,6.0,0.0,1307,119,3455,60,21.0,0.0,37.0,35586.0,1814.0,867.0,28159.0,Doda,0.0,0.0,0.0,,0.0,0.0,6.0,0,0.0,0.0,3.0,,0.0,0.0,1487.0,409576,,,,11867.0,144.0,11722.0,,380436,378507,49788,0,2022-10-21 11:55:23.774073,13203000,,,,479256,4785,474446,26742350,11368341,11762409,1540929,0,0.0,0.0
2022-10-20,JK,2.0,0.0,6.0,0.0,1307,119,3455,60,21.0,0.0,37.0,35586.0,1814.0,867.0,28159.0,Ganderbal,0.0,0.0,0.0,,0.0,0.0,0.0,0,0.0,0.0,0.0,,0.0,0.0,169.0,297003,,,,14027.0,86.0,13941.0,,269574,272027,33924,0,2022-10-21 11:55:23.774073,13203000,,,,479256,4785,474446,26742350,11368341,11762409,1540929,0,0.0,0.0
2022-10-20,JK,2.0,0.0,6.0,0.0,1307,119,3455,60,21.0,0.0,37.0,35586.0,1814.0,867.0,28159.0,Jammu,0.0,0.0,0.0,,9.0,9.0,118.0,15,11.0,0.0,15.0,,60.0,67.0,1267.0,1526406,,,,81234.0,1236.0,79991.0,,1438986,1463476,275699,0,2022-10-21 11:55:23.774073,13203000,,,,479256,4785,474446,26742350,11368341,11762409,1540929,0,0.0,0.0
2022-10-20,JK,2.0,0.0,6.0,0.0,1307,119,3455,60,21.0,0.0,37.0,35586.0,1814.0,867.0,28159.0,Kathua,0.0,0.0,0.0,,0.0,1.0,242.0,1,0.0,0.0,0.0,,4.0,19.0,913.0,615711,,,,11800.0,170.0,11630.0,,591540,601669,79160,0,2022-10-21 11:55:23.774073,13203000,,,,479256,4785,474446,26742350,11368341,11762409,1540929,0,0.0,0.0
2022-10-20,JK,2.0,0.0,6.0,0.0,1307,119,3455,60,21.0,0.0,37.0,35586.0,1814.0,867.0,28159.0,Kishtwar,0.0,0.0,0.0,,4.0,1.0,12.0,0,1.0,0.0,1.0,,7.0,15.0,814.0,230696,,,,6221.0,46.0,6175.0,,192693,195513,29444,0,2022-10-21 11:55:23.774073,13203000,,,,479256,4785,474446,26742350,11368341,11762409,1540929,0,0.0,0.0
2022-10-20,JK,2.0,0.0,6.0,0.0,1307,119,3455,60,21.0,0.0,37.0,35586.0,1814.0,867.0,28159.0,Kulgam,0.0,0.0,0.0,,0.0,0.0,337.0,7,0.0,0.0,3.0,,3.0,1.0,1838.0,422786,,,,16939.0,121.0,16818.0,,463156,515173,69205,0,2022-10-21 11:55:23.774073,13203000,,,,479256,4785,474446,26742350,11368341,11762409,1540929,0,0.0,0.0
2022-10-20,JK,2.0,0.0,6.0,0.0,1307,119,3455,60,21.0,0.0,37.0,35586.0,1814.0,867.0,28159.0,Kupwara,0.0,0.0,0.0,,1.0,0.0,16.0,0,1.0,0.0,1.0,,2.0,2.0,259.0,875564,,,,23088.0,174.0,22913.0,,797574,810763,54302,0,2022-10-21 11:55:23.774073,13203000,,,,479256,4785,474446,26742350,11368341,11762409,1540929,0,0.0,0.0
2022-10-20,JK,2.0,0.0,6.0,0.0,1307,119,3455,60,21.0,0.0,37.0,35586.0,1814.0,867.0,28159.0,Mirpur,,,,,,,,0,,,,,0.0,0.0,0.0,0,,,,,,,,0,0,0,0,2022-10-21 11:55:23.774073,13203000,,,,479256,4785,474446,26742350,11368341,11762409,1540929,0,0.0,0.0
