Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState
2022-10-21,BR,Araria,2022-10-21 22:55:00+05:30,https://twitter.com/BiharHealthDept,,16646,140,16505,,2022-10-21 22:55:37.542499,2022-10-21 22:55:00+05:30,https://twitter.com/BiharHealthDept,,851014,12302,838555,91023814
2022-10-21,BR,Arwal,2022-10-21 22:55:00+05:30,https://twitter.com/BiharHealthDept,,8416,110,8306,,2022-10-21 22:55:37.542499,2022-10-21 22:55:00+05:30,https://twitter.com/BiharHealthDept,,851014,12302,838555,91023814
2022-10-21,BR,Aurangabad,2022-10-21 22:55:00+05:30,https://twitter.com/BiharHealthDept,,21474,79,21393,,2022-10-21 22:55:37.542499,2022-10-21 22:55:00+05:30,https://twitter.com/BiharHealthDept,,851014,12302,838555,91023814
2022-10-21,BR,Banka,2022-10-21 22:55:00+05:30,https://twitter.com/BiharHealthDept,,9164,119,9045,,2022-10-21 22:55:37.542499,2022-10-21 22:55:00+05:30,https://twitter.com/BiharHealthDept,,851014,12302,838555,91023814
2022-10-21,BR,Begusarai,2022-10-21 22:55:00+05:30,https://twitter.com/BiharHealthDept,,31683,564,31115,,2022-10-21 22:55:37.542499,2022-10-21 22:55:00+05:30,https://twitter.com/BiharHealthDept,,851014,12302,838555,91023814
2022-10-21,BR,Bhagalpur,2022-10-21 22:55:00+05:30,https://twitter.com/BiharHealthDept,,30447,365,30075,,2022-10-21 22:55:37.542499,2022-10-21 22:55:00+05:30,https://twitter.com/BiharHealthDept,,851014,12302,838555,91023814
2022-10-21,BR,Bhojpur,2022-10-21 22:55:00+05:30,https://twitter.com/BiharHealthDept,,12140,240,11898,,2022-10-21 22:55:37.542499,2022-10-21 22:55:00+05:30,https://twitter.com/BiharHealthDept,,851014,12302,838555,91023814
2022-10-21,BR,Buxar,2022-10-21 22:55:00+05:30,https://twitter.com/BiharHealthDept,,10418,222,10196,,2022-10-21 22:55:37.542499,2022-10-21 22:55:00+05:30,https://twitter.com/BiharHealthDept,,851014,12302,838555,91023814
2022-10-21,BR,Darbhanga,2022-10-21 22:55:00+05:30,https://twitter.com/BiharHealthDept,,13801,372,13425,,2022-10-21 22:55:37.542499,2022-10-21 22:55:00+05:30,https://twitter.com/BiharHealthDept,,851014,12302,838555,91023814
2022-10-21,BR,Gaya,2022-10-21 22:55:00+05:30,https://twitter.com/BiharHealthDept,,37981,374,37599,,2022-10-21 22:55:37.542499,2022-10-21 22:55:00+05:30,https://twitter.com/BiharHealthDept,,851014,12302,838555,91023814
