,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeOtherNumberForDistrict,cumulativeOtherNumberForState
0,2022-10-25,KA,Bagalkote,,,0.0 cases were recorded as Deaths due to Non Covid Reasons,41193.0,369.0,40820.0,,2022-10-26T15:53:24.098868+05:30,,,42.0 cases were recorded as Deaths due to Non Covid Reasons,4068111.0,40254.0,4025673.0,69383229,0.0,42.0
1,2022-10-25,KA,Ballari,,,2.0 cases were recorded as Deaths due to Non Covid Reasons,117324.0,1787.0,115483.0,,2022-10-26T15:53:24.098868+05:30,,,42.0 cases were recorded as Deaths due to Non Covid Reasons,4068111.0,40254.0,4025673.0,69383229,2.0,42.0
2,2022-10-25,KA,Belagavi,,,2.0 cases were recorded as Deaths due to Non Covid Reasons,101777.0,1006.0,100757.0,,2022-10-26T15:53:24.098868+05:30,,,42.0 cases were recorded as Deaths due to Non Covid Reasons,4068111.0,40254.0,4025673.0,69383229,2.0,42.0
3,2022-10-25,KA,Bengaluru Rural,,,0.0 cases were recorded as Deaths due to Non Covid Reasons,80347.0,910.0,79428.0,,2022-10-26T15:53:24.098868+05:30,,,42.0 cases were recorded as Deaths due to Non Covid Reasons,4068111.0,40254.0,4025673.0,69383229,0.0,42.0
4,2022-10-25,KA,Bengaluru Urban,,,1.0 cases were recorded as Deaths due to Non Covid Reasons,1874057.0,16989.0,1855228.0,,2022-10-26T15:53:24.098868+05:30,,,42.0 cases were recorded as Deaths due to Non Covid Reasons,4068111.0,40254.0,4025673.0,69383229,1.0,42.0
5,2022-10-25,KA,Bidar,,,4.0 cases were recorded as Deaths due to Non Covid Reasons,30047.0,420.0,29622.0,,2022-10-26T15:53:24.098868+05:30,,,42.0 cases were recorded as Deaths due to Non Covid Reasons,4068111.0,40254.0,4025673.0,69383229,4.0,42.0
6,2022-10-25,KA,Chamarajanagara,,,11.0 cases were recorded as Deaths due to Non Covid Reasons,44356.0,528.0,43812.0,,2022-10-26T15:53:24.098868+05:30,,,42.0 cases were recorded as Deaths due to Non Covid Reasons,4068111.0,40254.0,4025673.0,69383229,11.0,42.0
7,2022-10-25,KA,Chikkaballapura,,,1.0 cases were recorded as Deaths due to Non Covid Reasons,56153.0,462.0,55679.0,,2022-10-26T15:53:24.098868+05:30,,,42.0 cases were recorded as Deaths due to Non Covid Reasons,4068111.0,40254.0,4025673.0,69383229,1.0,42.0
8,2022-10-25,KA,Chikkamagaluru,,,0.0 cases were recorded as Deaths due to Non Covid Reasons,58074.0,407.0,57664.0,,2022-10-26T15:53:24.098868+05:30,,,42.0 cases were recorded as Deaths due to Non Covid Reasons,4068111.0,40254.0,4025673.0,69383229,0.0,42.0
9,2022-10-25,KA,Chitradurga,,,0.0 cases were recorded as Deaths due to Non Covid Reasons,46566.0,241.0,46322.0,,2022-10-26T15:53:24.098868+05:30,,,42.0 cases were recorded as Deaths due to Non Covid Reasons,4068111.0,40254.0,4025673.0,69383229,0.0,42.0
10,2022-10-25,KA,Dakshina Kannada,,,10.0 cases were recorded as Deaths due to Non Covid Reasons,137147.0,1851.0,135265.0,,2022-10-26T15:53:24.098868+05:30,,,42.0 cases were recorded as Deaths due to Non Covid Reasons,4068111.0,40254.0,4025673.0,69383229,10.0,42.0
11,2022-10-25,KA,Davanagere,,,0.0 cases were recorded as Deaths due to Non Covid Reasons,58159.0,628.0,57528.0,,2022-10-26T15:53:24.098868+05:30,,,42.0 cases were recorded as Deaths due to Non Covid Reasons,4068111.0,40254.0,4025673.0,69383229,0.0,42.0
12,2022-10-25,KA,Dharwad,,,7.0 cases were recorded as Deaths due to Non Covid Reasons,86254.0,1408.0,84829.0,,2022-10-26T15:53:24.098868+05:30,,,42.0 cases were recorded as Deaths due to Non Covid Reasons,4068111.0,40254.0,4025673.0,69383229,7.0,42.0
13,2022-10-25,KA,Gadag,,,0.0 cases were recorded as Deaths due to Non Covid Reasons,30693.0,339.0,30353.0,,2022-10-26T15:53:24.098868+05:30,,,42.0 cases were recorded as Deaths due to Non Covid Reasons,4068111.0,40254.0,4025673.0,69383229,0.0,42.0
