,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeOtherNumberForState,cumulativeOtherNumberForDistrict
0,2022-10-28,TN,Railway Quarantine,,,,,,,,2022-10-29 11:55:25.575177,,,,3591571,38048,3551409,69659031,0,0
1,2022-10-28,TN,Airport Quarantine,,,,,,,,2022-10-29 11:55:25.575177,,,,3591571,38048,3551409,69659031,0,0
2,2022-10-28,TN,Other State,,,,,,,,2022-10-29 11:55:25.575177,,,,3591571,38048,3551409,69659031,0,0
3,2022-10-28,TN,Ariyalur,,,,20259,267,19985,,2022-10-29 11:55:25.575177,,,,3591571,38048,3551409,69659031,0,0
4,2022-10-28,TN,Chengalpattu,,,,253200,2661,250350,,2022-10-29 11:55:25.575177,,,,3591571,38048,3551409,69659031,0,0
5,2022-10-28,TN,Chennai,,,,792066,9070,780990,,2022-10-29 11:55:25.575177,,,,3591571,38048,3551409,69659031,0,0
6,2022-10-28,TN,Coimbatore,,,,340837,2618,338040,,2022-10-29 11:55:25.575177,,,,3591571,38048,3551409,69659031,0,0
7,2022-10-28,TN,Cuddalore,,,,75943,896,74994,,2022-10-29 11:55:25.575177,,,,3591571,38048,3551409,69659031,0,0
8,2022-10-28,TN,Dharmapuri,,,,36849,283,36556,,2022-10-29 11:55:25.575177,,,,3591571,38048,3551409,69659031,0,0
9,2022-10-28,TN,Dindigul,,,,39188,665,38477,,2022-10-29 11:55:25.575177,,,,3591571,38048,3551409,69659031,0,0
10,2022-10-28,TN,Erode,,,,136503,734,135680,,2022-10-29 11:55:25.575177,,,,3591571,38048,3551409,69659031,0,0
11,2022-10-28,TN,Kallakurichi,,,,36949,215,36728,,2022-10-29 11:55:25.575177,,,,3591571,38048,3551409,69659031,0,0
12,2022-10-28,TN,Kancheepuram,,,,98319,1303,96998,,2022-10-29 11:55:25.575177,,,,3591571,38048,3551409,69659031,0,0
13,2022-10-28,TN,Kanyakumari,,,,90371,1086,89180,,2022-10-29 11:55:25.575177,,,,3591571,38048,3551409,69659031,0,0
14,2022-10-28,TN,Karur,,,,30278,372,29889,,2022-10-29 11:55:25.575177,,,,3591571,38048,3551409,69659031,0,0
15,2022-10-28,TN,Krishnagiri,,,,62557,372,62070,,2022-10-29 11:55:25.575177,,,,3591571,38048,3551409,69659031,0,0
