Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,deltaVaccinated3ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,7DmaVaccinated3ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,7DmaVaccinated3ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,cumulativeOtherNumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeOtherNumberForState,7DmaOtherForState,7DmaOtherForDistrict
2022-11-08,CT,9,0,22,0,67,208,1048,172,95.0,1.0,151.0,,961.0,6344.0,10624.0,Balod,0,0,0,,0,0,0,17,0.0,0.0,0.0,,1.0,1.0,8.0,826165,,,,30605,417,30177,,687897,608109,257116,0,2022-11-09 20:04:42.379207,28724000,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",1177645,14144,1163398,,21260098,20290840,7417540,0,0.0,0.0
2022-11-08,CT,9,0,22,0,67,208,1048,172,95.0,1.0,151.0,,961.0,6344.0,10624.0,Baloda Bazar,0,0,0,,0,0,0,11,0.0,0.0,0.0,,2.0,3.0,1.0,1305343,,,,46264,500,45758,,1001008,844615,148949,0,2022-11-09 20:04:42.379207,28724000,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",1177645,14144,1163398,,21260098,20290840,7417540,0,0.0,0.0
2022-11-08,CT,9,0,22,0,67,208,1048,172,95.0,1.0,151.0,,961.0,6344.0,10624.0,Balrampur,0,0,0,,0,0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,598855,,,,22844,122,22722,,666339,676140,346328,0,2022-11-09 20:04:42.379207,28724000,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",1177645,14144,1163398,,21260098,20290840,7417540,0,0.0,0.0
2022-11-08,CT,9,0,22,0,67,208,1048,172,95.0,1.0,151.0,,961.0,6344.0,10624.0,Bametara,0,0,0,,1,1,28,1,0.0,0.0,0.0,,53.0,277.0,353.0,197035,,,,22719,249,22458,,656991,559446,168192,0,2022-11-09 20:04:42.379207,28724000,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",1177645,14144,1163398,,21260098,20290840,7417540,0,0.0,0.0
2022-11-08,CT,9,0,22,0,67,208,1048,172,95.0,1.0,151.0,,961.0,6344.0,10624.0,Bastar,0,0,0,,1,2,0,3,0.0,0.0,0.0,,27.0,75.0,392.0,1302253,,,,24683,201,24479,,650176,712057,385677,0,2022-11-09 20:04:42.379207,28724000,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",1177645,14144,1163398,,21260098,20290840,7417540,0,0.0,0.0
2022-11-08,CT,9,0,22,0,67,208,1048,172,95.0,1.0,151.0,,961.0,6344.0,10624.0,Bijapur,0,0,0,,1,60,0,0,0.0,0.0,0.0,,64.0,170.0,108.0,229832,,,,9885,58,9827,,150819,108197,25782,0,2022-11-09 20:04:42.379207,28724000,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",1177645,14144,1163398,,21260098,20290840,7417540,0,0.0,0.0
2022-11-08,CT,9,0,22,0,67,208,1048,172,95.0,1.0,151.0,,961.0,6344.0,10624.0,Bilaspur,0,0,0,,12,18,10,8,0.0,0.0,0.0,,96.0,287.0,336.0,1961922,,,,77373,1243,76118,,1403781,1397724,414862,0,2022-11-09 20:04:42.379207,28724000,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",1177645,14144,1163398,,21260098,20290840,7417540,0,0.0,0.0
2022-11-08,CT,9,0,22,0,67,208,1048,172,95.0,1.0,151.0,,961.0,6344.0,10624.0,Dakshin Bastar Dantewada,0,0,0,,0,0,0,0,0.0,0.0,0.0,,1.0,20.0,1618.0,533638,,,,12262,29,12233,,220573,242556,65961,0,2022-11-09 20:04:42.379207,28724000,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",1177645,14144,1163398,,21260098,20290840,7417540,0,0.0,0.0
2022-11-08,CT,9,0,22,0,67,208,1048,172,95.0,1.0,151.0,,961.0,6344.0,10624.0,Dhamtari,0,0,0,,0,0,0,13,0.0,0.0,0.0,,21.0,23.0,240.0,799199,,,,32647,566,32075,,663180,640458,228093,0,2022-11-09 20:04:42.379207,28724000,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",1177645,14144,1163398,,21260098,20290840,7417540,0,0.0,0.0
2022-11-08,CT,9,0,22,0,67,208,1048,172,95.0,1.0,151.0,,961.0,6344.0,10624.0,Durg,0,0,0,,6,21,40,27,0.0,0.0,0.0,,92.0,333.0,537.0,3343079,,,,119792,1911,117854,,1393627,1341798,339742,0,2022-11-09 20:04:42.379207,28724000,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",1177645,14144,1163398,,21260098,20290840,7417540,0,0.0,0.0
2022-11-08,CT,9,0,22,0,67,208,1048,172,95.0,1.0,151.0,,961.0,6344.0,10624.0,Gariaband,0,0,0,,0,49,450,1,0.0,0.0,0.0,,20.0,1207.0,2786.0,597653,,,,20757,197,20558,,480717,421964,135106,0,2022-11-09 20:04:42.379207,28724000,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",1177645,14144,1163398,,21260098,20290840,7417540,0,0.0,0.0
2022-11-08,CT,9,0,22,0,67,208,1048,172,95.0,1.0,151.0,,961.0,6344.0,10624.0,Gaurela Pendra Marwahi,0,0,0,,0,0,1,0,0.0,0.0,0.0,,105.0,258.0,92.0,0,,,,13558,149,13409,,252767,185110,34147,0,2022-11-09 20:04:42.379207,28724000,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",1177645,14144,1163398,,21260098,20290840,7417540,0,0.0,0.0
