,District,cumulativeConfirmedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeDeceasedNumberForDistrict,Date,State/UTCode,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,last_updated,cumulativeTestedNumberForState,tested_last_updated_state,deltaTestedForState,cumulativeVaccinatedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeVaccinatedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,tested_source_state,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaVaccinated3ForState,deltaVaccinated2ForState,deltaVaccinated1ForState,deltaVaccinatedForState,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,deltaVaccinatedForDistrict,deltaConfirmedForDistrict,deltaRecoveredForDistrict,deltaDeceasedForDistrict,7DmaTestedForState,delta21_14confirmedForState,statePopulation,StateName,districtPopulation
0,Andaman and Nicobar Islands,10740,10611,129,2022-11-11,TT,44664810,530520,44121538,2022-11-12 06:22:51.818648,902551893,2022-11-10 00:00:00,165486,2197780582,1026943470,950401914,220435198,990654,347587,353084,289983,https://www.icmr.gov.in/,842,6,1271,97339,33593,9293,140225,0,1,2,3,0,0,0,,,1332900000,Andaman and Nicobar Islands,397000
1,Andhra Pradesh,2339011,2324209,14733,2022-11-11,TT,44664810,530520,44121538,2022-11-12 06:22:51.818648,902551893,2022-11-10 00:00:00,165486,2197780582,1026943470,950401914,220435198,110490390,44700296,47570468,18219626,https://www.icmr.gov.in/,842,6,1271,97339,33593,9293,140225,52,59,2774,2885,5,22,0,,,1332900000,Andhra Pradesh,52221000
2,Arunachal Pradesh,66885,66587,296,2022-11-11,TT,44664810,530520,44121538,2022-11-12 06:22:51.818648,902551893,2022-11-10 00:00:00,165486,2197780582,1026943470,950401914,220435198,1895795,959199,818534,118062,https://www.icmr.gov.in/,842,6,1271,97339,33593,9293,140225,45,50,310,405,1,3,0,,,1332900000,Arunachal Pradesh,1504000
3,Assam,746089,735523,8035,2022-11-11,TT,44664810,530520,44121538,2022-11-12 06:22:51.818648,902551893,2022-11-10 00:00:00,165486,2197780582,1026943470,950401914,220435198,50207500,24805623,22098612,3303265,https://www.icmr.gov.in/,842,6,1271,97339,33593,9293,140225,289,1341,1713,3343,10,31,0,,,1332900000,Assam,34293000
4,Bihar,851282,838920,12302,2022-11-11,TT,44664810,530520,44121538,2022-11-12 06:22:51.818648,902551893,2022-11-10 00:00:00,165486,2197780582,1026943470,950401914,220435198,156920035,73429197,67789402,15701436,https://www.icmr.gov.in/,842,6,1271,97339,33593,9293,140225,1887,7770,19592,29249,2,12,0,,,1332900000,Bihar,119520000
5,Chandigarh,99319,98131,1181,2022-11-11,TT,44664810,530520,44121538,2022-11-12 06:22:51.818648,902551893,2022-11-10 00:00:00,165486,2197780582,1026943470,950401914,220435198,2279737,1184721,984702,110314,https://www.icmr.gov.in/,842,6,1271,97339,33593,9293,140225,10,23,11,44,1,7,0,,,1332900000,Chandigarh,1179000
6,Chhattisgarh,1177659,1163443,14144,2022-11-11,TT,44664810,530520,44121538,2022-11-12 06:22:51.818648,902551893,2022-11-10 00:00:00,165486,2197780582,1026943470,950401914,220435198,48975680,21260382,20292460,7422838,https://www.icmr.gov.in/,842,6,1271,97339,33593,9293,140225,131,1064,2673,3868,6,19,0,,,1332900000,Chhattisgarh,28724000
7,Dadra and Nagar Haveli and Daman and Diu,11591,11585,4,2022-11-11,TT,44664810,530520,44121538,2022-11-12 06:22:51.818648,902551893,2022-11-10 00:00:00,165486,2197780582,1026943470,950401914,220435198,1577427,782165,636673,158589,https://www.icmr.gov.in/,842,6,1271,97339,33593,9293,140225,23,19,49,91,0,0,0,,,1332900000,Dadra and Nagar Haveli and Daman and Diu,959000
8,Delhi,2006680,1979960,26513,2022-11-11,TT,44664810,530520,44121538,2022-11-12 06:22:51.818648,902551893,2022-11-10 00:00:00,165486,2197780582,1026943470,950401914,220435198,37328206,18288072,15700655,3339479,https://www.icmr.gov.in/,842,6,1271,97339,33593,9293,140225,112,301,1019,1432,36,57,0,,,1332900000,Delhi,19814000
9,Goa,258893,254801,4013,2022-11-11,TT,44664810,530520,44121538,2022-11-12 06:22:51.818648,902551893,2022-11-10 00:00:00,165486,2197780582,1026943470,950401914,220435198,2871617,1439731,1295096,136790,https://www.icmr.gov.in/,842,6,1271,97339,33593,9293,140225,9,39,70,118,9,21,0,,,1332900000,Goa,1540000
10,Gujarat,1277162,1265737,11040,2022-11-11,TT,44664810,530520,44121538,2022-11-12 06:22:51.818648,902551893,2022-11-10 00:00:00,165486,2197780582,1026943470,950401914,220435198,127537710,54379333,53987199,19171178,https://www.icmr.gov.in/,842,6,1271,97339,33593,9293,140225,163,739,8588,9490,35,40,0,,,1332900000,Gujarat,67936000
11,Haryana,1056371,1045534,10712,2022-11-11,TT,44664810,530520,44121538,2022-11-12 06:22:51.818648,902551893,2022-11-10 00:00:00,165486,2197780582,1026943470,950401914,220435198,45426048,23669452,19819038,1937558,https://www.icmr.gov.in/,842,6,1271,97339,33593,9293,140225,69,220,409,698,17,19,0,,,1332900000,Haryana,28672000
12,Himachal Pradesh,312502,308254,4211,2022-11-11,TT,44664810,530520,44121538,2022-11-12 06:22:51.818648,902551893,2022-11-10 00:00:00,165486,2197780582,1026943470,950401914,220435198,15194259,6643521,6314507,2236231,https://www.icmr.gov.in/,842,6,1271,97339,33593,9293,140225,56,250,3096,3402,7,5,0,,,1332900000,Himachal Pradesh,7300000
13,Jammu and Kashmir,479316,474513,4785,2022-11-11,TT,44664810,530520,44121538,2022-11-12 06:22:51.818648,902551893,2022-11-10 00:00:00,165486,2197780582,1026943470,950401914,220435198,24705809,11370190,11763032,1572587,https://www.icmr.gov.in/,842,6,1271,97339,33593,9293,140225,30,44,1359,1433,2,4,0,,,1332900000,Jammu and Kashmir,13203000
14,Jharkhand,442555,437198,5331,2022-11-11,TT,44664810,530520,44121538,2022-11-12 06:22:51.818648,902551893,2022-11-10 00:00:00,165486,2197780582,1026943470,950401914,220435198,43468069,23907763,17663452,1896854,https://www.icmr.gov.in/,842,6,1271,97339,33593,9293,140225,1366,2162,3445,6973,1,1,0,,,1332900000,Jharkhand,37403000
15,Karnataka,4070198,4028055,40300,2022-11-11,TT,44664810,530520,44121538,2022-11-12 06:22:51.818648,902551893,2022-11-10 00:00:00,165486,2197780582,1026943470,950401914,220435198,120613677,55147351,55271287,10195039,https://www.icmr.gov.in/,842,6,1271,97339,33593,9293,140225,1009,5087,7422,13518,102,87,0,,,1332900000,Karnataka,65798000
16,Kerala,6823897,6749997,71427,2022-11-11,TT,44664810,530520,44121538,2022-11-12 06:22:51.818648,902551893,2022-11-10 00:00:00,165486,2197780582,1026943470,950401914,220435198,57441063,29144123,25249481,3047459,https://www.icmr.gov.in/,842,6,1271,97339,33593,9293,140225,85,553,1024,1662,195,233,5,,,1332900000,Kerala,35125000
17,Ladakh,29395,29163,231,2022-11-11,TT,44664810,530520,44121538,2022-11-12 06:22:51.818648,902551893,2022-11-10 00:00:00,165486,2197780582,1026943470,950401914,220435198,562061,238225,203610,120226,https://www.icmr.gov.in/,842,6,1271,97339,33593,9293,140225,0,14,107,121,0,0,0,,,1332900000,Ladakh,293000
18,Lakshadweep,11415,11363,52,2022-11-11,TT,44664810,530520,44121538,2022-11-12 06:22:51.818648,902551893,2022-11-10 00:00:00,165486,2197780582,1026943470,950401914,220435198,143804,61802,60444,21558,https://www.icmr.gov.in/,842,6,1271,97339,33593,9293,140225,0,11,134,145,0,0,0,,,1332900000,Lakshadweep,68000
19,Maharashtra,8133981,7984359,148398,2022-11-11,TT,44664810,530520,44121538,2022-11-12 06:22:51.818648,902551893,2022-11-10 00:00:00,165486,2197780582,1026943470,950401914,220435198,177508184,91627406,76499648,9381130,https://www.icmr.gov.in/,842,6,1271,97339,33593,9293,140225,251,1287,2107,3645,169,265,0,,,1332900000,Maharashtra,122153000
20,Manipur,139898,137738,2149,2022-11-11,TT,44664810,530520,44121538,2022-11-12 06:22:51.818648,902551893,2022-11-10 00:00:00,165486,2197780582,1026943470,950401914,220435198,3258671,1647844,1334881,275946,https://www.icmr.gov.in/,842,6,1271,97339,33593,9293,140225,49,85,196,330,1,0,0,,,1332900000,Manipur,3103000
