Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,deltaVaccinated3ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,7DmaVaccinated3ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,7DmaVaccinated3ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,cumulativeOtherNumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeOtherNumberForState,7DmaOtherForState,7DmaOtherForDistrict
2022-12-10,KL,54,3,84,0,28,141,120,789,536.0,24.0,710.0,0.0,258.0,868.0,1282.0,Alappuzha,0.0,0.0,0.0,,0,4,0,0.0,0.0,0.0,0.0,,8.0,23.0,43.0,2121943,,,,409884.0,5269.0,404228.0,,1739897,1629696,266192,0,2022-12-11 13:55:24.504666,35125000,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",6827107,71524,6754163,49030651,29146176,25257540,3063958,0,0.0,0.0
2022-12-10,KL,54,3,84,0,28,141,120,789,536.0,24.0,710.0,0.0,258.0,868.0,1282.0,Ernakulam,0.0,0.0,0.0,,4,23,30,0.0,0.0,0.0,0.0,,38.0,176.0,485.0,3279860,,,,938985.0,8517.0,927971.0,,3315496,2851979,368018,0,2022-12-11 13:55:24.504666,35125000,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",6827107,71524,6754163,49030651,29146176,25257540,3063958,0,0.0,0.0
2022-12-10,KL,54,3,84,0,28,141,120,789,536.0,24.0,710.0,0.0,258.0,868.0,1282.0,Idukki,0.0,0.0,0.0,,1,1,3,0.0,0.0,0.0,0.0,,1.0,5.0,7.0,1107453,,,,215366.0,1551.0,213533.0,,962695,814249,74352,0,2022-12-11 13:55:24.504666,35125000,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",6827107,71524,6754163,49030651,29146176,25257540,3063958,0,0.0,0.0
2022-12-10,KL,54,3,84,0,28,141,120,789,536.0,24.0,710.0,0.0,258.0,868.0,1282.0,Kannur,0.0,0.0,0.0,,3,6,4,0.0,0.0,0.0,0.0,,13.0,35.0,76.0,2525637,,,,352489.0,4477.0,347937.0,,2174461,1933367,208580,0,2022-12-11 13:55:24.504666,35125000,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",6827107,71524,6754163,49030651,29146176,25257540,3063958,0,0.0,0.0
2022-12-10,KL,54,3,84,0,28,141,120,789,536.0,24.0,710.0,0.0,258.0,868.0,1282.0,Kasaragod,0.0,0.0,0.0,,0,5,5,0.0,0.0,0.0,0.0,,3.0,14.0,38.0,1302600,,,,168164.0,1400.0,166706.0,,1060335,893420,63969,0,2022-12-11 13:55:24.504666,35125000,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",6827107,71524,6754163,49030651,29146176,25257540,3063958,0,0.0,0.0
2022-12-10,KL,54,3,84,0,28,141,120,789,536.0,24.0,710.0,0.0,258.0,868.0,1282.0,Kollam,0.0,0.0,0.0,,3,3,9,0.0,0.0,0.0,0.0,,39.0,111.0,88.0,2629703,,,,527683.0,6638.0,520800.0,,2233647,1953847,234869,0,2022-12-11 13:55:24.504666,35125000,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",6827107,71524,6754163,49030651,29146176,25257540,3063958,0,0.0,0.0
2022-12-10,KL,54,3,84,0,28,141,120,789,536.0,24.0,710.0,0.0,258.0,868.0,1282.0,Kottayam,0.0,0.0,0.0,,0,9,12,0.0,0.0,0.0,0.0,,12.0,49.0,71.0,1979384,,,,473510.0,4660.0,467879.0,,1681828,1495782,198914,0,2022-12-11 13:55:24.504666,35125000,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",6827107,71524,6754163,49030651,29146176,25257540,3063958,0,0.0,0.0
2022-12-10,KL,54,3,84,0,28,141,120,789,536.0,24.0,710.0,0.0,258.0,868.0,1282.0,Kozhikode,0.0,0.0,0.0,,4,18,10,0.0,0.0,0.0,0.0,,20.0,76.0,56.0,3089543,,,,684156.0,6467.0,677545.0,,2703487,2250392,201520,0,2022-12-11 13:55:24.504666,35125000,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",6827107,71524,6754163,49030651,29146176,25257540,3063958,0,0.0,0.0
2022-12-10,KL,54,3,84,0,28,141,120,789,536.0,24.0,710.0,0.0,258.0,868.0,1282.0,Malappuram,0.0,0.0,0.0,,3,17,2,0.0,0.0,0.0,0.0,,32.0,98.0,34.0,4110956,,,,651196.0,6474.0,644382.0,,3466115,2727135,189696,0,2022-12-11 13:55:24.504666,35125000,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",6827107,71524,6754163,49030651,29146176,25257540,3063958,0,0.0,0.0
2022-12-10,KL,54,3,84,0,28,141,120,789,536.0,24.0,710.0,0.0,258.0,868.0,1282.0,Other State,,,,,0,0,0,,,,,,0.0,0.0,0.0,0,,,,,,,,0,0,0,0,2022-12-11 13:55:24.504666,35125000,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",6827107,71524,6754163,49030651,29146176,25257540,3063958,0,0.0,0.0
