Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,deltaVaccinated3ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,7DmaVaccinated3ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,7DmaVaccinated3ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,cumulativeOtherNumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeOtherNumberForState,7DmaOtherForState,7DmaOtherForDistrict
2022-12-12,KA,12,0,51,0,3,5,15,337,151.0,3.0,382.0,0.0,408.0,2709.0,11508.0,Bagalkote,0,0,0,,0,0,0,0,0.0,0.0,0.0,,1.0,0.0,99.0,1890826,,,,41198.0,369.0,40825.0,,1598196,1583717,208226,0,2022-12-13 11:55:31.323840,65798000,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",4071558,40306,4029864,69414797,55151869,55303279,10301323,0,0.0,0.0
2022-12-12,KA,12,0,51,0,3,5,15,337,151.0,3.0,382.0,0.0,408.0,2709.0,11508.0,Ballari,0,0,0,,0,0,0,0,0.0,0.0,0.0,,26.0,47.0,857.0,2532383,,,,117343.0,1787.0,115520.0,,2380846,2409153,518011,0,2022-12-13 11:55:31.323840,65798000,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",4071558,40306,4029864,69414797,55151869,55303279,10301323,0,0.0,0.0
2022-12-12,KA,12,0,51,0,3,5,15,337,151.0,3.0,382.0,0.0,408.0,2709.0,11508.0,Belagavi,0,0,0,,1,1,0,0,0.0,0.0,0.0,,24.0,455.0,525.0,4778439,,,,101786.0,1006.0,100764.0,,4065702,4135854,716601,0,2022-12-13 11:55:31.323840,65798000,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",4071558,40306,4029864,69414797,55151869,55303279,10301323,0,0.0,0.0
2022-12-12,KA,12,0,51,0,3,5,15,337,151.0,3.0,382.0,0.0,408.0,2709.0,11508.0,Bengaluru Rural,0,0,0,,0,0,0,0,0.0,0.0,0.0,,1.0,2.0,3.0,987257,,,,80351.0,911.0,79436.0,,920130,956393,204931,0,2022-12-13 11:55:31.323840,65798000,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",4071558,40306,4029864,69414797,55151869,55303279,10301323,0,0.0,0.0
2022-12-12,KA,12,0,51,0,3,5,15,337,151.0,3.0,382.0,0.0,408.0,2709.0,11508.0,Bengaluru Urban,0,0,0,,2,2,15,0,0.0,0.0,0.0,,216.0,497.0,927.0,9588910,,,,1874696.0,16989.0,1855841.0,,11200073,10964231,1641849,0,2022-12-13 11:55:31.323840,65798000,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",4071558,40306,4029864,69414797,55151869,55303279,10301323,0,0.0,0.0
2022-12-12,KA,12,0,51,0,3,5,15,337,151.0,3.0,382.0,0.0,408.0,2709.0,11508.0,Bidar,0,0,0,,0,0,0,0,0.0,0.0,0.0,,6.0,6.0,182.0,1700018,,,,30048.0,420.0,29623.0,,1423410,1462125,195059,0,2022-12-13 11:55:31.323840,65798000,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",4071558,40306,4029864,69414797,55151869,55303279,10301323,0,0.0,0.0
2022-12-12,KA,12,0,51,0,3,5,15,337,151.0,3.0,382.0,0.0,408.0,2709.0,11508.0,Chamarajanagara,0,0,0,,0,0,0,0,0.0,0.0,0.0,,1.0,0.0,548.0,1020962,,,,44359.0,528.0,43817.0,,857249,853126,201508,0,2022-12-13 11:55:31.323840,65798000,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",4071558,40306,4029864,69414797,55151869,55303279,10301323,0,0.0,0.0
2022-12-12,KA,12,0,51,0,3,5,15,337,151.0,3.0,382.0,0.0,408.0,2709.0,11508.0,Chikkaballapura,0,0,0,,0,0,0,0,0.0,0.0,0.0,,4.0,0.0,16.0,1254377,,,,56161.0,462.0,55688.0,,1088594,1093315,275843,0,2022-12-13 11:55:31.323840,65798000,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",4071558,40306,4029864,69414797,55151869,55303279,10301323,0,0.0,0.0
2022-12-12,KA,12,0,51,0,3,5,15,337,151.0,3.0,382.0,0.0,408.0,2709.0,11508.0,Chikkamagaluru,0,0,0,,0,0,0,0,0.0,0.0,0.0,,0.0,43.0,31.0,1137753,,,,58076.0,407.0,57664.0,,896343,912975,204292,0,2022-12-13 11:55:31.323840,65798000,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",4071558,40306,4029864,69414797,55151869,55303279,10301323,0,0.0,0.0
2022-12-12,KA,12,0,51,0,3,5,15,337,151.0,3.0,382.0,0.0,408.0,2709.0,11508.0,Chitradurga,0,0,0,,0,0,0,0,0.0,0.0,0.0,,2.0,72.0,203.0,1660378,,,,46571.0,242.0,46324.0,,1421535,1427881,303800,0,2022-12-13 11:55:31.323840,65798000,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",4071558,40306,4029864,69414797,55151869,55303279,10301323,0,0.0,0.0
