Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,deltaVaccinated3ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,7DmaVaccinated3ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,7DmaVaccinated3ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,cumulativeOtherNumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeOtherNumberForState,7DmaOtherForState,7DmaOtherForDistrict
2022-12-14,RJ,5,0,3,0,-114,469,603,70,42.0,0.0,29.0,0.0,1939.0,11163.0,13769.0,Ajmer,0.0,0.0,0.0,,2,-23,-46,0.0,0.0,0.0,0.0,,24.0,232.0,569.0,2584913,,,,51251.0,452.0,50843.0,,2170904,2040111,246232,0,2022-12-15 11:55:27.450178,77264000,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",1315331,9653,1305602,21127029,57012381,50882647,7320708,0,0.0,0.0
2022-12-14,RJ,5,0,3,0,-114,469,603,70,42.0,0.0,29.0,0.0,1939.0,11163.0,13769.0,Alwar,0.0,0.0,0.0,,2,-96,-44,0.0,0.0,0.0,0.0,,23.0,644.0,964.0,3671999,,,,87425.0,323.0,87080.0,,3190029,3121503,891226,0,2022-12-15 11:55:27.450178,77264000,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",1315331,9653,1305602,21127029,57012381,50882647,7320708,0,0.0,0.0
2022-12-14,RJ,5,0,3,0,-114,469,603,70,42.0,0.0,29.0,0.0,1939.0,11163.0,13769.0,BSF Camp,,,,,0,0,0,,,,,,0.0,0.0,0.0,0,,,,,,,,0,0,0,0,2022-12-15 11:55:27.450178,77264000,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",1315331,9653,1305602,21127029,57012381,50882647,7320708,0,0.0,0.0
2022-12-14,RJ,5,0,3,0,-114,469,603,70,42.0,0.0,29.0,0.0,1939.0,11163.0,13769.0,Banswara,0.0,0.0,0.0,,0,0,0,0.0,0.0,0.0,0.0,,0.0,7.0,25.0,1798194,,,,14971.0,107.0,14864.0,,1422555,1285187,161461,0,2022-12-15 11:55:27.450178,77264000,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",1315331,9653,1305602,21127029,57012381,50882647,7320708,0,0.0,0.0
2022-12-14,RJ,5,0,3,0,-114,469,603,70,42.0,0.0,29.0,0.0,1939.0,11163.0,13769.0,Baran,0.0,0.0,0.0,,-1,-17,-96,0.0,0.0,0.0,0.0,,3.0,98.0,186.0,1223921,,,,15376.0,66.0,15308.0,,1026359,965798,124309,0,2022-12-15 11:55:27.450178,77264000,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",1315331,9653,1305602,21127029,57012381,50882647,7320708,0,0.0,0.0
2022-12-14,RJ,5,0,3,0,-114,469,603,70,42.0,0.0,29.0,0.0,1939.0,11163.0,13769.0,Barmer,0.0,0.0,0.0,,-10,-94,-91,0.0,0.0,0.0,0.0,,38.0,310.0,651.0,2604453,,,,21552.0,206.0,21345.0,,1997051,1702900,194510,0,2022-12-15 11:55:27.450178,77264000,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",1315331,9653,1305602,21127029,57012381,50882647,7320708,0,0.0,0.0
2022-12-14,RJ,5,0,3,0,-114,469,603,70,42.0,0.0,29.0,0.0,1939.0,11163.0,13769.0,Bharatpur,0.0,0.0,0.0,,14,248,-57,0.0,0.0,0.0,0.0,,72.0,805.0,398.0,2549121,,,,32603.0,275.0,32328.0,,1959391,1589055,214587,0,2022-12-15 11:55:27.450178,77264000,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",1315331,9653,1305602,21127029,57012381,50882647,7320708,0,0.0,0.0
2022-12-14,RJ,5,0,3,0,-114,469,603,70,42.0,0.0,29.0,0.0,1939.0,11163.0,13769.0,Bhilwara,0.0,0.0,0.0,,0,-19,7,0.0,0.0,0.0,0.0,,12.0,67.0,111.0,2410459,,,,38838.0,162.0,38678.0,,1979709,1816901,190262,0,2022-12-15 11:55:27.450178,77264000,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",1315331,9653,1305602,21127029,57012381,50882647,7320708,0,0.0,0.0
2022-12-14,RJ,5,0,3,0,-114,469,603,70,42.0,0.0,29.0,0.0,1939.0,11163.0,13769.0,Bikaner,0.0,0.0,0.0,,-218,-7,261,0.0,0.0,0.0,0.0,,842.0,278.0,760.0,2367745,,,,51105.0,596.0,50507.0,,1926406,1791080,275651,0,2022-12-15 11:55:27.450178,77264000,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",1315331,9653,1305602,21127029,57012381,50882647,7320708,0,0.0,0.0
2022-12-14,RJ,5,0,3,0,-114,469,603,70,42.0,0.0,29.0,0.0,1939.0,11163.0,13769.0,Bundi,0.0,0.0,0.0,,0,-23,-44,0.0,0.0,0.0,0.0,,2.0,61.0,134.0,1113725,,,,9893.0,55.0,9837.0,,994505,1005958,139112,0,2022-12-15 11:55:27.450178,77264000,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",1315331,9653,1305602,21127029,57012381,50882647,7320708,0,0.0,0.0
2022-12-14,RJ,5,0,3,0,-114,469,603,70,42.0,0.0,29.0,0.0,1939.0,11163.0,13769.0,Chittorgarh,0.0,0.0,0.0,,-1,102,-83,0.0,0.0,0.0,0.0,,3.0,312.0,368.0,1544392,,,,30225.0,140.0,30074.0,,1303484,1264777,180494,0,2022-12-15 11:55:27.450178,77264000,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",1315331,9653,1305602,21127029,57012381,50882647,7320708,0,0.0,0.0
