Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,deltaVaccinated3ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,7DmaVaccinated3ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,7DmaVaccinated3ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,cumulativeOtherNumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeOtherNumberForState,7DmaOtherForState,7DmaOtherForDistrict
2022-12-29,UT,5,0,7,0,58,87,355,22,18.0,0.0,20.0,0.0,453.0,599.0,5407.0,Almora,0,0,0,,0,0,16,0,0.0,0.0,0.0,,7.0,13.0,177.0,621927,,,,17157,200,15896,,451604,416128,96879,0,2022-12-30 11:55:23.713480,11141000,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",449384,7751,441607,10173807.0,9115333,8723328,2213548,0,0.0,0.0
2022-12-29,UT,5,0,7,0,58,87,355,22,18.0,0.0,20.0,0.0,453.0,599.0,5407.0,Bageshwar,0,0,0,,1,4,18,0,0.0,0.0,0.0,,2.0,8.0,81.0,259840,,,,7932,61,7737,,216009,200923,65483,0,2022-12-30 11:55:23.713480,11141000,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",449384,7751,441607,10173807.0,9115333,8723328,2213548,0,0.0,0.0
2022-12-29,UT,5,0,7,0,58,87,355,22,18.0,0.0,20.0,0.0,453.0,599.0,5407.0,Chamoli,0,0,0,,0,0,0,0,0.0,0.0,0.0,,0.0,0.0,18.0,391114,,,,15633,65,15227,,320892,318666,125427,0,2022-12-30 11:55:23.713480,11141000,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",449384,7751,441607,10173807.0,9115333,8723328,2213548,0,0.0,0.0
2022-12-29,UT,5,0,7,0,58,87,355,22,18.0,0.0,20.0,0.0,453.0,599.0,5407.0,Champawat,0,0,0,,0,1,4,0,0.0,0.0,0.0,,3.0,3.0,54.0,259315,,,,9676,55,9401,,220145,209134,48269,0,2022-12-30 11:55:23.713480,11141000,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",449384,7751,441607,10173807.0,9115333,8723328,2213548,0,0.0,0.0
2022-12-29,UT,5,0,7,0,58,87,355,22,18.0,0.0,20.0,0.0,453.0,599.0,5407.0,Dehradun,0,0,0,,18,22,110,0,0.0,0.0,0.0,,201.0,234.0,2776.0,1698560,,,,151861,3737,146899,,1833308,1707978,443909,0,2022-12-30 11:55:23.713480,11141000,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",449384,7751,441607,10173807.0,9115333,8723328,2213548,0,0.0,0.0
2022-12-29,UT,5,0,7,0,58,87,355,22,18.0,0.0,20.0,0.0,453.0,599.0,5407.0,Haridwar,0,0,0,,18,10,81,0,0.0,0.0,0.0,,81.0,57.0,438.0,1927029,,,,65716,1056,62975,,1752689,1641178,365299,0,2022-12-30 11:55:23.713480,11141000,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",449384,7751,441607,10173807.0,9115333,8723328,2213548,0,0.0,0.0
2022-12-29,UT,5,0,7,0,58,87,355,22,18.0,0.0,20.0,0.0,453.0,599.0,5407.0,Nainital,0,0,0,,7,2,21,0,0.0,0.0,0.0,,80.0,24.0,326.0,955128,,,,52916,980,51651,,892445,870362,209891,0,2022-12-30 11:55:23.713480,11141000,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",449384,7751,441607,10173807.0,9115333,8723328,2213548,0,0.0,0.0
2022-12-29,UT,5,0,7,0,58,87,355,22,18.0,0.0,20.0,0.0,453.0,599.0,5407.0,Pauri Garhwal,0,0,0,,2,0,33,0,0.0,0.0,0.0,,24.0,34.0,1023.0,686527,,,,23347,336,21258,,527534,505230,152942,0,2022-12-30 11:55:23.713480,11141000,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",449384,7751,441607,10173807.0,9115333,8723328,2213548,0,0.0,0.0
2022-12-29,UT,5,0,7,0,58,87,355,22,18.0,0.0,20.0,0.0,453.0,599.0,5407.0,Pithoragarh,0,0,0,,1,1,12,0,0.0,0.0,0.0,,16.0,23.0,116.0,485993,,,,13062,186,12601,,382272,367873,76570,0,2022-12-30 11:55:23.713480,11141000,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",449384,7751,441607,10173807.0,9115333,8723328,2213548,0,0.0,0.0
2022-12-29,UT,5,0,7,0,58,87,355,22,18.0,0.0,20.0,0.0,453.0,599.0,5407.0,Rudraprayag,0,0,0,,0,0,7,0,0.0,0.0,0.0,,8.0,9.0,124.0,236857,,,,11868,108,11458,,201957,185369,61032,0,2022-12-30 11:55:23.713480,11141000,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",449384,7751,441607,10173807.0,9115333,8723328,2213548,0,0.0,0.0
