Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,deltaVaccinated3ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,7DmaVaccinated3ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,7DmaVaccinated3ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,cumulativeOtherNumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeOtherNumberForState,7DmaOtherForState,7DmaOtherForDistrict
2023-02-04,BR,1,0,1,0,158,258,485,0,4.0,0.0,5.0,0.0,1712.0,2820.0,3186.0,Araria,0,0,0,,1,1,2,0,0.0,0.0,0.0,,25.0,27.0,55.0,2806200,,,,16648,140,16506,,1857913,1614201,271242,0,2023-02-05 13:55:22.630648,119520000,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",851416,12303,839109,91592143,73478233,67898368,15871733,0,0.0,0.0
2023-02-04,BR,1,0,1,0,158,258,485,0,4.0,0.0,5.0,0.0,1712.0,2820.0,3186.0,Arwal,0,0,0,,0,0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0,700843,,,,8421,110,8311,,464661,418489,86588,0,2023-02-05 13:55:22.630648,119520000,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",851416,12303,839109,91592143,73478233,67898368,15871733,0,0.0,0.0
2023-02-04,BR,1,0,1,0,158,258,485,0,4.0,0.0,5.0,0.0,1712.0,2820.0,3186.0,Aurangabad,0,0,0,,14,2,8,0,0.0,0.0,0.0,,107.0,41.0,49.0,2511243,,,,21480,79,21401,,1826941,1568587,305889,0,2023-02-05 13:55:22.630648,119520000,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",851416,12303,839109,91592143,73478233,67898368,15871733,0,0.0,0.0
2023-02-04,BR,1,0,1,0,158,258,485,0,4.0,0.0,5.0,0.0,1712.0,2820.0,3186.0,Banka,0,0,0,,0,0,0,0,0.0,0.0,0.0,,27.0,3.0,22.0,2029339,,,,9164,119,9045,,1373655,1338373,343107,0,2023-02-05 13:55:22.630648,119520000,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",851416,12303,839109,91592143,73478233,67898368,15871733,0,0.0,0.0
2023-02-04,BR,1,0,1,0,158,258,485,0,4.0,0.0,5.0,0.0,1712.0,2820.0,3186.0,Begusarai,0,0,0,,0,0,0,0,0.0,0.0,0.0,,24.0,10.0,0.0,2954367,,,,31685,564,31120,,2007980,1862758,460390,0,2023-02-05 13:55:22.630648,119520000,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",851416,12303,839109,91592143,73478233,67898368,15871733,0,0.0,0.0
2023-02-04,BR,1,0,1,0,158,258,485,0,4.0,0.0,5.0,0.0,1712.0,2820.0,3186.0,Bhagalpur,0,0,0,,20,23,10,0,0.0,0.0,0.0,,142.0,149.0,147.0,3032226,,,,30452,365,30085,,2056836,1784753,349882,0,2023-02-05 13:55:22.630648,119520000,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",851416,12303,839109,91592143,73478233,67898368,15871733,0,0.0,0.0
2023-02-04,BR,1,0,1,0,158,258,485,0,4.0,0.0,5.0,0.0,1712.0,2820.0,3186.0,Bhojpur,0,0,0,,2,0,5,0,0.0,0.0,0.0,,78.0,214.0,60.0,2720155,,,,12141,240,11901,,1788583,1483791,254313,0,2023-02-05 13:55:22.630648,119520000,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",851416,12303,839109,91592143,73478233,67898368,15871733,0,0.0,0.0
2023-02-04,BR,1,0,1,0,158,258,485,0,4.0,0.0,5.0,0.0,1712.0,2820.0,3186.0,Buxar,0,0,0,,1,5,13,0,0.0,0.0,0.0,,10.0,13.0,37.0,1707643,,,,10418,222,10196,,1197501,1116980,220440,0,2023-02-05 13:55:22.630648,119520000,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",851416,12303,839109,91592143,73478233,67898368,15871733,0,0.0,0.0
2023-02-04,BR,1,0,1,0,158,258,485,0,4.0,0.0,5.0,0.0,1712.0,2820.0,3186.0,Darbhanga,0,0,0,,0,0,0,0,0.0,0.0,0.0,,26.0,22.0,109.0,3921971,,,,13805,372,13430,,2946744,2944846,1016506,0,2023-02-05 13:55:22.630648,119520000,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",851416,12303,839109,91592143,73478233,67898368,15871733,0,0.0,0.0
2023-02-04,BR,1,0,1,0,158,258,485,0,4.0,0.0,5.0,0.0,1712.0,2820.0,3186.0,East Champaran,0,0,0,,42,134,218,0,0.0,0.0,0.0,,194.0,388.0,891.0,5082868,,,,21210,538,20671,,3880903,3848609,998489,0,2023-02-05 13:55:22.630648,119520000,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",851416,12303,839109,91592143,73478233,67898368,15871733,0,0.0,0.0
