Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,deltaVaccinated3ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,7DmaVaccinated3ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,7DmaVaccinated3ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,cumulativeOtherNumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeOtherNumberForState,7DmaOtherForState,7DmaOtherForDistrict
2023-02-24,DL,6,0,7,0,32,50,129,24,39.0,1.0,34.0,0.0,227.0,377.0,786.0,Central Delhi,,,,,1,5,0,,,,,,23.0,62.0,51.0,0,,,,,,,,1617610,1273586,282640,0,2023-02-25 13:55:24.545628,19814000,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",2007485,26523,1980947,39999533,18295588,15715077,3389796,0,0.0,0.0
2023-02-24,DL,6,0,7,0,32,50,129,24,39.0,1.0,34.0,0.0,227.0,377.0,786.0,East Delhi,,,,,0,0,0,,,,,,0.0,0.0,1.0,0,,,,,,,,1396255,1250729,250407,0,2023-02-25 13:55:24.545628,19814000,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",2007485,26523,1980947,39999533,18295588,15715077,3389796,0,0.0,0.0
2023-02-24,DL,6,0,7,0,32,50,129,24,39.0,1.0,34.0,0.0,227.0,377.0,786.0,New Delhi,,,,,0,0,0,,,,,,2.0,5.0,13.0,0,,,,,,,,1175663,1115866,347000,0,2023-02-25 13:55:24.545628,19814000,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",2007485,26523,1980947,39999533,18295588,15715077,3389796,0,0.0,0.0
2023-02-24,DL,6,0,7,0,32,50,129,24,39.0,1.0,34.0,0.0,227.0,377.0,786.0,North Delhi,,,,,0,1,8,,,,,,22.0,21.0,36.0,0,,,,,,,,1732352,1426164,188477,0,2023-02-25 13:55:24.545628,19814000,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",2007485,26523,1980947,39999533,18295588,15715077,3389796,0,0.0,0.0
2023-02-24,DL,6,0,7,0,32,50,129,24,39.0,1.0,34.0,0.0,227.0,377.0,786.0,North East Delhi,,,,,0,0,0,,,,,,2.0,2.0,4.0,0,,,,,,,,1508133,1258648,333662,0,2023-02-25 13:55:24.545628,19814000,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",2007485,26523,1980947,39999533,18295588,15715077,3389796,0,0.0,0.0
2023-02-24,DL,6,0,7,0,32,50,129,24,39.0,1.0,34.0,0.0,227.0,377.0,786.0,North West Delhi,,,,,6,7,2,,,,,,12.0,14.0,7.0,0,,,,,,,,2195636,1804242,317547,0,2023-02-25 13:55:24.545628,19814000,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",2007485,26523,1980947,39999533,18295588,15715077,3389796,0,0.0,0.0
2023-02-24,DL,6,0,7,0,32,50,129,24,39.0,1.0,34.0,0.0,227.0,377.0,786.0,Shahdara,,,,,5,5,3,,,,,,21.0,24.0,14.0,0,,,,,,,,1298006,1075117,205755,0,2023-02-25 13:55:24.545628,19814000,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",2007485,26523,1980947,39999533,18295588,15715077,3389796,0,0.0,0.0
2023-02-24,DL,6,0,7,0,32,50,129,24,39.0,1.0,34.0,0.0,227.0,377.0,786.0,South Delhi,,,,,10,22,92,,,,,,75.0,133.0,551.0,0,,,,,,,,1571762,1330479,383051,0,2023-02-25 13:55:24.545628,19814000,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",2007485,26523,1980947,39999533,18295588,15715077,3389796,0,0.0,0.0
2023-02-24,DL,6,0,7,0,32,50,129,24,39.0,1.0,34.0,0.0,227.0,377.0,786.0,South East Delhi,,,,,6,10,18,,,,,,30.0,72.0,74.0,0,,,,,,,,1748561,1525446,308911,0,2023-02-25 13:55:24.545628,19814000,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",2007485,26523,1980947,39999533,18295588,15715077,3389796,0,0.0,0.0
2023-02-24,DL,6,0,7,0,32,50,129,24,39.0,1.0,34.0,0.0,227.0,377.0,786.0,South West Delhi,,,,,1,0,3,,,,,,10.0,24.0,14.0,0,,,,,,,,2081568,1886228,336817,0,2023-02-25 13:55:24.545628,19814000,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",2007485,26523,1980947,39999533,18295588,15715077,3389796,0,0.0,0.0
