,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeOtherNumberForState,cumulativeOtherNumberForDistrict
0,2023-03-08,HR,Foreign Evacuees,,,,,,,,2023-03-09 11:55:32.026502,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",1056763,10714,1046011,19341035,0,0
1,2023-03-08,HR,Ambala,,,,42844,542,42295,,2023-03-09 11:55:32.026502,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",1056763,10714,1046011,19341035,0,0
2,2023-03-08,HR,Bhiwani,,,,27193,667,26523,,2023-03-09 11:55:32.026502,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",1056763,10714,1046011,19341035,0,0
3,2023-03-08,HR,Charkhi Dadri,,,,,,,,2023-03-09 11:55:32.026502,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",1056763,10714,1046011,19341035,0,0
4,2023-03-08,HR,Faridabad,,,,135706,741,134940,,2023-03-09 11:55:32.026502,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",1056763,10714,1046011,19341035,0,0
5,2023-03-08,HR,Fatehabad,,,,20299,500,19798,,2023-03-09 11:55:32.026502,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",1056763,10714,1046011,19341035,0,0
6,2023-03-08,HR,Gurugram,,,,300939,1030,299807,,2023-03-09 11:55:32.026502,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",1056763,10714,1046011,19341035,0,0
7,2023-03-08,HR,Hisar,,,,63877,1182,62690,,2023-03-09 11:55:32.026502,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",1056763,10714,1046011,19341035,0,0
8,2023-03-08,HR,Italians,,,,,,,,2023-03-09 11:55:32.026502,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",1056763,10714,1046011,19341035,0,0
9,2023-03-08,HR,Jhajjar,,,,24112,355,23748,,2023-03-09 11:55:32.026502,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",1056763,10714,1046011,19341035,0,0
10,2023-03-08,HR,Jind,,,,25418,544,24874,,2023-03-09 11:55:32.026502,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",1056763,10714,1046011,19341035,0,0
11,2023-03-08,HR,Kaithal,,,,15212,376,14833,,2023-03-09 11:55:32.026502,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",1056763,10714,1046011,19341035,0,0
12,2023-03-08,HR,Karnal,,,,49914,600,49311,,2023-03-09 11:55:32.026502,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",1056763,10714,1046011,19341035,0,0
13,2023-03-08,HR,Kurukshetra,,,,27831,408,27422,,2023-03-09 11:55:32.026502,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",1056763,10714,1046011,19341035,0,0
14,2023-03-08,HR,Mahendragarh,,,,25013,165,24845,,2023-03-09 11:55:32.026502,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",1056763,10714,1046011,19341035,0,0
15,2023-03-08,HR,Nuh,,,,6179,139,6039,,2023-03-09 11:55:32.026502,,,"As of 1st November 2022, this site will reflect the National and State level data as published by MoHFW. The district level data will not be updated beyond 31st October 2022.",1056763,10714,1046011,19341035,0,0
