,District,cumulativeConfirmedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeDeceasedNumberForDistrict,Date,State/UTCode,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,last_updated,tested_last_updated_state,cumulativeTestedNumberForState,cumulativeVaccinatedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeVaccinatedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,tested_source_state,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated3ForState,deltaVaccinated2ForState,deltaVaccinated1ForState,deltaVaccinatedForState,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,deltaVaccinatedForDistrict,deltaConfirmedForDistrict,deltaRecoveredForDistrict,deltaDeceasedForDistrict,7DmaTestedForState,delta21_14confirmedForState,statePopulation,StateName,districtPopulation
0,Andaman and Nicobar Islands,10751,10622,129,2023-03-21,TT,44696984,530808,44159617,2023-03-21 18:00:05.892654,2023-03-21 18:00:05.892927,920444854,2206487079,1027389110,951926986,227170983,991263,347616,353284,290363,https://www.icmr.gov.in/,646,2,435,97866,4389,2558,1054,8001,0,0,0,0,0,0,0,,,1332900000,Andaman and Nicobar Islands,397000
1,Andhra Pradesh,2339108,2324365,14733,2023-03-21,TT,44696984,530808,44159617,2023-03-21 18:00:05.892654,2023-03-21 18:00:05.892927,920444854,2206487079,1027389110,951926986,227170983,110956581,44704133,47578638,18673810,https://www.icmr.gov.in/,646,2,435,97866,4389,2558,1054,8001,8,8,7,23,0,0,0,,,1332900000,Andhra Pradesh,52221000
2,Arunachal Pradesh,66891,66595,296,2023-03-21,TT,44696984,530808,44159617,2023-03-21 18:00:05.892654,2023-03-21 18:00:05.892927,920444854,2206487079,1027389110,951926986,227170983,1924582,961348,821819,141415,https://www.icmr.gov.in/,646,2,435,97866,4389,2558,1054,8001,0,0,33,33,0,0,0,,,1332900000,Arunachal Pradesh,1504000
3,Assam,746101,738065,8035,2023-03-21,TT,44696984,530808,44159617,2023-03-21 18:00:05.892654,2023-03-21 18:00:05.892927,920444854,2206487079,1027389110,951926986,227170983,50333958,24812958,22149194,3371806,https://www.icmr.gov.in/,646,2,435,97866,4389,2558,1054,8001,13,88,20,121,0,0,0,,,1332900000,Assam,34293000
4,Bihar,851432,839124,12303,2023-03-21,TT,44696984,530808,44159617,2023-03-21 18:00:05.892654,2023-03-21 18:00:05.892927,920444854,2206487079,1027389110,951926986,227170983,157272725,73482710,67906857,15883158,https://www.icmr.gov.in/,646,2,435,97866,4389,2558,1054,8001,120,310,129,559,1,0,0,,,1332900000,Bihar,119520000
5,Chandigarh,99394,98191,1182,2023-03-21,TT,44696984,530808,44159617,2023-03-21 18:00:05.892654,2023-03-21 18:00:05.892927,920444854,2206487079,1027389110,951926986,227170983,2289114,1185543,989471,114100,https://www.icmr.gov.in/,646,2,435,97866,4389,2558,1054,8001,0,121,3,124,4,1,0,,,1332900000,Chandigarh,1179000
6,Chhattisgarh,1177812,1163658,14146,2023-03-21,TT,44696984,530808,44159617,2023-03-21 18:00:05.892654,2023-03-21 18:00:05.892927,920444854,2206487079,1027389110,951926986,227170983,49167521,21267659,20343657,7556205,https://www.icmr.gov.in/,646,2,435,97866,4389,2558,1054,8001,0,1,5,6,0,0,0,,,1332900000,Chhattisgarh,28724000
7,Dadra and Nagar Haveli and Daman and Diu,11591,11587,4,2023-03-21,TT,44696984,530808,44159617,2023-03-21 18:00:05.892654,2023-03-21 18:00:05.892927,920444854,2206487079,1027389110,951926986,227170983,1579716,782334,636941,160441,https://www.icmr.gov.in/,646,2,435,97866,4389,2558,1054,8001,0,1,3,4,0,0,0,,,1332900000,Dadra and Nagar Haveli and Daman and Diu,959000
8,Delhi,2008004,1981272,26523,2023-03-21,TT,44696984,530808,44159617,2023-03-21 18:00:05.892654,2023-03-21 18:00:05.892927,920444854,2206487079,1027389110,951926986,227170983,37403793,18296157,15716069,3391567,https://www.icmr.gov.in/,646,2,435,97866,4389,2558,1054,8001,33,49,45,127,34,34,0,,,1332900000,Delhi,19814000
9,Goa,259297,255175,4013,2023-03-21,TT,44696984,530808,44159617,2023-03-21 18:00:05.892654,2023-03-21 18:00:05.892927,920444854,2206487079,1027389110,951926986,227170983,2874372,1440035,1295719,138618,https://www.icmr.gov.in/,646,2,435,97866,4389,2558,1054,8001,6,4,11,21,17,11,0,,,1332900000,Goa,1540000
10,Gujarat,1278834,1266977,11047,2023-03-21,TT,44696984,530808,44159617,2023-03-21 18:00:05.892654,2023-03-21 18:00:05.892927,920444854,2206487079,1027389110,951926986,227170983,128095694,54397161,54031008,19667525,https://www.icmr.gov.in/,646,2,435,97866,4389,2558,1054,8001,52,68,604,724,118,48,0,,,1332900000,Gujarat,67936000
11,Haryana,1056889,1046085,10714,2023-03-21,TT,44696984,530808,44159617,2023-03-21 18:00:05.892654,2023-03-21 18:00:05.892927,920444854,2206487079,1027389110,951926986,227170983,45518280,23678918,19840849,1998513,https://www.icmr.gov.in/,646,2,435,97866,4389,2558,1054,8001,121,351,537,1009,21,10,0,,,1332900000,Haryana,28672000
12,Himachal Pradesh,313015,308632,4215,2023-03-21,TT,44696984,530808,44159617,2023-03-21 18:00:05.892654,2023-03-21 18:00:05.892927,920444854,2206487079,1027389110,951926986,227170983,15323731,6646510,6327733,2349488,https://www.icmr.gov.in/,646,2,435,97866,4389,2558,1054,8001,8,48,261,317,0,0,0,,,1332900000,Himachal Pradesh,7300000
13,Jammu and Kashmir,479582,474733,4785,2023-03-21,TT,44696984,530808,44159617,2023-03-21 18:00:05.892654,2023-03-21 18:00:05.892927,920444854,2206487079,1027389110,951926986,227170983,24782072,11372566,11768097,1641409,https://www.icmr.gov.in/,646,2,435,97866,4389,2558,1054,8001,1,0,3,4,1,6,0,,,1332900000,Jammu and Kashmir,13203000
14,Jharkhand,442595,437247,5332,2023-03-21,TT,44696984,530808,44159617,2023-03-21 18:00:05.892654,2023-03-21 18:00:05.892927,920444854,2206487079,1027389110,951926986,227170983,43864249,23968128,17855484,2040637,https://www.icmr.gov.in/,646,2,435,97866,4389,2558,1054,8001,114,285,173,572,5,0,0,,,1332900000,Jharkhand,37403000
15,Karnataka,4075524,4034590,40318,2023-03-21,TT,44696984,530808,44159617,2023-03-21 18:00:05.892654,2023-03-21 18:00:05.892927,920444854,2206487079,1027389110,951926986,227170983,122146131,55174030,55390914,11581187,https://www.icmr.gov.in/,646,2,435,97866,4389,2558,1054,8001,16,16,34,66,71,71,0,,,1332900000,Karnataka,65798000
16,Kerala,6832566,6759101,71596,2023-03-21,TT,44696984,530808,44159617,2023-03-21 18:00:05.892654,2023-03-21 18:00:05.892927,920444854,2206487079,1027389110,951926986,227170983,57505253,29150364,25270423,3084466,https://www.icmr.gov.in/,646,2,435,97866,4389,2558,1054,8001,28,78,73,179,144,70,1,,,1332900000,Kerala,35125000
17,Ladakh,29431,29194,231,2023-03-21,TT,44696984,530808,44159617,2023-03-21 18:00:05.892654,2023-03-21 18:00:05.892927,920444854,2206487079,1027389110,951926986,227170983,567120,238303,204102,124715,https://www.icmr.gov.in/,646,2,435,97866,4389,2558,1054,8001,0,0,0,0,2,0,0,,,1332900000,Ladakh,293000
18,Lakshadweep,11415,11363,52,2023-03-21,TT,44696984,530808,44159617,2023-03-21 18:00:05.892654,2023-03-21 18:00:05.892927,920444854,2206487079,1027389110,951926986,227170983,145279,61813,60523,22943,https://www.icmr.gov.in/,646,2,435,97866,4389,2558,1054,8001,0,0,0,0,0,0,0,,,1332900000,Lakshadweep,68000
19,Madhya Pradesh,1055022,1044213,10777,2023-03-21,TT,44696984,530808,44159617,2023-03-21 18:00:05.892654,2023-03-21 18:00:05.892927,920444854,2206487079,1027389110,951926986,227170983,133937149,60749254,59232011,13955884,https://www.icmr.gov.in/,646,2,435,97866,4389,2558,1054,8001,4,2,4,10,7,4,0,,,1332900000,Madhya Pradesh,82232000
20,Maharashtra,8139865,7990073,148428,2023-03-21,TT,44696984,530808,44159617,2023-03-21 18:00:05.892654,2023-03-21 18:00:05.892927,920444854,2206487079,1027389110,951926986,227170983,177947129,91669928,76623350,9653851,https://www.icmr.gov.in/,646,2,435,97866,4389,2558,1054,8001,128,238,382,748,128,72,0,,,1332900000,Maharashtra,122153000
