,Date,State/UTCode,District,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,last_updated,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeOtherNumberForState,cumulativeOtherNumberForDistrict
0,2023-05-12,WB,Alipurduar,,,,18947,110,18784,,2023-05-13 17:55:38.026334,,,Since there are no updates for 12th May from MoHFW the portal reflects data of 11th May 2023,2119019,21533,2097373,26679487,0,0
1,2023-05-12,WB,Bankura,,,,43926,286,43576,,2023-05-13 17:55:38.026334,,,Since there are no updates for 12th May from MoHFW the portal reflects data of 11th May 2023,2119019,21533,2097373,26679487,0,0
2,2023-05-12,WB,Birbhum,,,,57741,351,57326,,2023-05-13 17:55:38.026334,,,Since there are no updates for 12th May from MoHFW the portal reflects data of 11th May 2023,2119019,21533,2097373,26679487,0,0
3,2023-05-12,WB,Cooch Behar,,,,33972,106,33836,,2023-05-13 17:55:38.026334,,,Since there are no updates for 12th May from MoHFW the portal reflects data of 11th May 2023,2119019,21533,2097373,26679487,0,0
4,2023-05-12,WB,Dakshin Dinajpur,,,,23105,193,22876,,2023-05-13 17:55:38.026334,,,Since there are no updates for 12th May from MoHFW the portal reflects data of 11th May 2023,2119019,21533,2097373,26679487,0,0
5,2023-05-12,WB,Darjeeling,,,,69057,599,68391,,2023-05-13 17:55:38.026334,,,Since there are no updates for 12th May from MoHFW the portal reflects data of 11th May 2023,2119019,21533,2097373,26679487,0,0
6,2023-05-12,WB,Hooghly,,,,107974,1119,106785,,2023-05-13 17:55:38.026334,,,Since there are no updates for 12th May from MoHFW the portal reflects data of 11th May 2023,2119019,21533,2097373,26679487,0,0
7,2023-05-12,WB,Howrah,,,,125066,1640,123342,,2023-05-13 17:55:38.026334,,,Since there are no updates for 12th May from MoHFW the portal reflects data of 11th May 2023,2119019,21533,2097373,26679487,0,0
8,2023-05-12,WB,Jalpaiguri,,,,49622,648,48916,,2023-05-13 17:55:38.026334,,,Since there are no updates for 12th May from MoHFW the portal reflects data of 11th May 2023,2119019,21533,2097373,26679487,0,0
9,2023-05-12,WB,Jhargram,,,,15553,31,15506,,2023-05-13 17:55:38.026334,,,Since there are no updates for 12th May from MoHFW the portal reflects data of 11th May 2023,2119019,21533,2097373,26679487,0,0
10,2023-05-12,WB,Kalimpong,,,,8518,58,8449,,2023-05-13 17:55:38.026334,,,Since there are no updates for 12th May from MoHFW the portal reflects data of 11th May 2023,2119019,21533,2097373,26679487,0,0
11,2023-05-12,WB,Kolkata,,,,447186,5656,441244,,2023-05-13 17:55:38.026334,,,Since there are no updates for 12th May from MoHFW the portal reflects data of 11th May 2023,2119019,21533,2097373,26679487,0,0
12,2023-05-12,WB,Malda,,,,44458,199,44207,,2023-05-13 17:55:38.026334,,,Since there are no updates for 12th May from MoHFW the portal reflects data of 11th May 2023,2119019,21533,2097373,26679487,0,0
13,2023-05-12,WB,Murshidabad,,,,41643,356,41256,,2023-05-13 17:55:38.026334,,,Since there are no updates for 12th May from MoHFW the portal reflects data of 11th May 2023,2119019,21533,2097373,26679487,0,0
14,2023-05-12,WB,Nadia,,,,87662,944,86634,,2023-05-13 17:55:38.026334,,,Since there are no updates for 12th May from MoHFW the portal reflects data of 11th May 2023,2119019,21533,2097373,26679487,0,0
15,2023-05-12,WB,North 24 Parganas,,,,403113,5338,397514,,2023-05-13 17:55:38.026334,,,Since there are no updates for 12th May from MoHFW the portal reflects data of 11th May 2023,2119019,21533,2097373,26679487,0,0
16,2023-05-12,WB,Other State,,,,66,3,63,,2023-05-13 17:55:38.026334,,,Since there are no updates for 12th May from MoHFW the portal reflects data of 11th May 2023,2119019,21533,2097373,26679487,0,0
17,2023-05-12,WB,Paschim Bardhaman,,,,75649,432,75165,,2023-05-13 17:55:38.026334,,,Since there are no updates for 12th May from MoHFW the portal reflects data of 11th May 2023,2119019,21533,2097373,26679487,0,0
18,2023-05-12,WB,Paschim Medinipur,,,,62578,530,61992,,2023-05-13 17:55:38.026334,,,Since there are no updates for 12th May from MoHFW the portal reflects data of 11th May 2023,2119019,21533,2097373,26679487,0,0
19,2023-05-12,WB,Purba Bardhaman,,,,55455,238,55149,,2023-05-13 17:55:38.026334,,,Since there are no updates for 12th May from MoHFW the portal reflects data of 11th May 2023,2119019,21533,2097373,26679487,0,0
20,2023-05-12,WB,Purba Medinipur,,,,67857,441,67379,,2023-05-13 17:55:38.026334,,,Since there are no updates for 12th May from MoHFW the portal reflects data of 11th May 2023,2119019,21533,2097373,26679487,0,0
21,2023-05-12,WB,Purulia,,,,24234,123,24085,,2023-05-13 17:55:38.026334,,,Since there are no updates for 12th May from MoHFW the portal reflects data of 11th May 2023,2119019,21533,2097373,26679487,0,0
22,2023-05-12,WB,South 24 Parganas,,,,127347,1511,125716,,2023-05-13 17:55:38.026334,,,Since there are no updates for 12th May from MoHFW the portal reflects data of 11th May 2023,2119019,21533,2097373,26679487,0,0
23,2023-05-12,WB,Uttar Dinajpur,,,,25133,268,24838,,2023-05-13 17:55:38.026334,,,Since there are no updates for 12th May from MoHFW the portal reflects data of 11th May 2023,2119019,21533,2097373,26679487,0,0
24,2023-05-12,WB,Unknown,,,,103157,353,104344,,2023-05-13 17:55:38.026334,,,Since there are no updates for 12th May from MoHFW the portal reflects data of 11th May 2023,2119019,21533,2097373,26679487,0,0
