Date,State/UTCode,deltaConfirmedForState,deltaDeceasedForState,deltaRecoveredForState,deltaTestedForState,deltaVaccinated1ForState,deltaVaccinated2ForState,deltaVaccinated3ForState,delta21_14confirmedForState,7DmaConfirmedForState,7DmaDeceasedForState,7DmaRecoveredForState,7DmaTestedForState,7DmaVaccinated1ForState,7DmaVaccinated2ForState,7DmaVaccinated3ForState,District,deltaConfirmedForDistrict,deltaDeceasedForDistrict,deltaRecoveredForDistrict,deltaTestedForDistrict,deltaVaccinated1ForDistrict,deltaVaccinated2ForDistrict,deltaVaccinated3ForDistrict,delta21_14confirmedForDistrict,7DmaConfirmedForDistrict,7DmaDeceasedForDistrict,7DmaRecoveredForDistrict,7DmaTestedForDistrict,7DmaVaccinated1ForDistrict,7DmaVaccinated2ForDistrict,7DmaVaccinated3ForDistrict,districtPopulation,tested_last_updated_district,tested_source_district,notesForDistrict,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinated3NumberForDistrict,cumulativeOtherNumberForDistrict,last_updated,statePopulation,tested_last_updated_state,tested_source_state,notesForState,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinated3NumberForState,cumulativeOtherNumberForState,7DmaOtherForState,7DmaOtherForDistrict
2023-07-02,TT,0,0,0,0,27,27,45,663,326.0,5.0,501.0,326562.0,571.0,426.0,1459.0,Andaman and Nicobar Islands,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,397000,0,0,0,10766,129,10637,0,347616,353285,290363,0,2023-07-04 12:00:04.104634,1332900000,2023-07-02 00:00:00,https://www.icmr.gov.in/,0,44994325,531908,44460942,932600531,1027412599,951979134,227320579,0,0.0,0.0
2023-07-02,TT,0,0,0,0,27,27,45,663,326.0,5.0,501.0,326562.0,571.0,426.0,1459.0,Andhra Pradesh,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,22.0,8.0,36.0,52221000,0,0,0,2340672,14733,2325939,0,44704406,47578799,18674214,0,2023-07-04 12:00:04.104634,1332900000,2023-07-02 00:00:00,https://www.icmr.gov.in/,0,44994325,531908,44460942,932600531,1027412599,951979134,227320579,0,0.0,0.0
2023-07-02,TT,0,0,0,0,27,27,45,663,326.0,5.0,501.0,326562.0,571.0,426.0,1459.0,Arunachal Pradesh,0,0,0,0,0,0,0,2,4.0,0.0,3.0,0.0,0.0,0.0,0.0,1504000,0,0,0,67046,296,66748,0,961348,821819,141417,0,2023-07-04 12:00:04.104634,1332900000,2023-07-02 00:00:00,https://www.icmr.gov.in/,0,44994325,531908,44460942,932600531,1027412599,951979134,227320579,0,0.0,0.0
2023-07-02,TT,0,0,0,0,27,27,45,663,326.0,5.0,501.0,326562.0,571.0,426.0,1459.0,Assam,0,0,0,0,0,0,0,0,12.0,0.0,24.0,0.0,0.0,0.0,0.0,34293000,0,0,0,746150,8035,738108,0,24813013,22150254,3372511,0,2023-07-04 12:00:04.104634,1332900000,2023-07-02 00:00:00,https://www.icmr.gov.in/,0,44994325,531908,44460942,932600531,1027412599,951979134,227320579,0,0.0,0.0
2023-07-02,TT,0,0,0,0,27,27,45,663,326.0,5.0,501.0,326562.0,571.0,426.0,1459.0,Bihar,0,0,0,0,0,0,2,10,2.0,0.0,8.0,0.0,2.0,5.0,145.0,119520000,0,0,0,855260,12314,842942,0,73485555,67912267,15892206,0,2023-07-04 12:00:04.104634,1332900000,2023-07-02 00:00:00,https://www.icmr.gov.in/,0,44994325,531908,44460942,932600531,1027412599,951979134,227320579,0,0.0,0.0
2023-07-02,TT,0,0,0,0,27,27,45,663,326.0,5.0,501.0,326562.0,571.0,426.0,1459.0,Chandigarh,0,0,0,0,0,0,0,1,2.0,0.0,2.0,0.0,24.0,6.0,26.0,1179000,0,0,0,100690,1185,99504,0,1185706,991061,114624,0,2023-07-04 12:00:04.104634,1332900000,2023-07-02 00:00:00,https://www.icmr.gov.in/,0,44994325,531908,44460942,932600531,1027412599,951979134,227320579,0,0.0,0.0
2023-07-02,TT,0,0,0,0,27,27,45,663,326.0,5.0,501.0,326562.0,571.0,426.0,1459.0,Chhattisgarh,0,0,0,0,0,0,0,10,5.0,0.0,3.0,0.0,2.0,1.0,11.0,28724000,0,0,0,1187684,14190,1173489,0,21267795,20343760,7556384,0,2023-07-04 12:00:04.104634,1332900000,2023-07-02 00:00:00,https://www.icmr.gov.in/,0,44994325,531908,44460942,932600531,1027412599,951979134,227320579,0,0.0,0.0
2023-07-02,TT,0,0,0,0,27,27,45,663,326.0,5.0,501.0,326562.0,571.0,426.0,1459.0,Dadra and Nagar Haveli and Daman and Diu,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1.0,0.0,13.0,959000,0,0,0,11592,4,11588,0,782353,636962,160745,0,2023-07-04 12:00:04.104634,1332900000,2023-07-02 00:00:00,https://www.icmr.gov.in/,0,44994325,531908,44460942,932600531,1027412599,951979134,227320579,0,0.0,0.0
2023-07-02,TT,0,0,0,0,27,27,45,663,326.0,5.0,501.0,326562.0,571.0,426.0,1459.0,Delhi,0,0,0,0,4,2,3,17,9.0,0.0,16.0,0.0,36.0,36.0,27.0,19814000,0,0,0,2040775,26665,2014107,0,18297675,15717406,3393793,0,2023-07-04 12:00:04.104634,1332900000,2023-07-02 00:00:00,https://www.icmr.gov.in/,0,44994325,531908,44460942,932600531,1027412599,951979134,227320579,0,0.0,0.0
2023-07-02,TT,0,0,0,0,27,27,45,663,326.0,5.0,501.0,326562.0,571.0,426.0,1459.0,Goa,0,0,0,0,0,0,0,29,9.0,0.0,22.0,0.0,0.0,0.0,0.0,1540000,0,0,0,263306,4014,259287,0,1440045,1295735,138697,0,2023-07-04 12:00:04.104634,1332900000,2023-07-02 00:00:00,https://www.icmr.gov.in/,0,44994325,531908,44460942,932600531,1027412599,951979134,227320579,0,0.0,0.0
