Date,State/UTCode,District,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinatedNumberForDistrict,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForState
2021-10-01,MZ,Aizawl,60301,234,50113,,312974,217121,530095,94830,313,79781,1097323.0,697715,445923,1143638
2021-10-01,MZ,Champhai,3275,2,2377,,72885,45968,118853,94830,313,79781,1097323.0,697715,445923,1143638
2021-10-01,MZ,Hnahthial,554,1,430,,,,,94830,313,79781,1097323.0,697715,445923,1143638
2021-10-01,MZ,Khawzawl,601,0,543,,,,,94830,313,79781,1097323.0,697715,445923,1143638
2021-10-01,MZ,Kolasib,6980,24,6561,,49539,28013,77552,94830,313,79781,1097323.0,697715,445923,1143638
2021-10-01,MZ,Lawngtlai,5727,20,5080,,50542,19797,70339,94830,313,79781,1097323.0,697715,445923,1143638
2021-10-01,MZ,Lunglei,6950,18,6014,,92734,61612,154346,94830,313,79781,1097323.0,697715,445923,1143638
2021-10-01,MZ,Mamit,3639,4,3349,,43123,24145,67268,94830,313,79781,1097323.0,697715,445923,1143638
2021-10-01,MZ,Saiha,4082,4,3144,,34205,16506,50711,94830,313,79781,1097323.0,697715,445923,1143638
2021-10-01,MZ,Saitual,320,2,288,,,,,94830,313,79781,1097323.0,697715,445923,1143638
2021-10-01,MZ,Serchhip,2401,4,1882,,41713,32761,74474,94830,313,79781,1097323.0,697715,445923,1143638
