Date,State/UTCode,District,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinatedNumberForDistrict,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForState
2021-10-04,WB,Alipurduar,15461,101,15286,,742428,283896,1026324,1571841,18837,1545400,18289876.0,42243166,17122111,59365277
2021-10-04,WB,Bankura,35845,273,35356,,984923,363500,1348423,1571841,18837,1545400,18289876.0,42243166,17122111,59365277
2021-10-04,WB,Birbhum,40817,285,40444,,1122004,389947,1511951,1571841,18837,1545400,18289876.0,42243166,17122111,59365277
2021-10-04,WB,Cooch Behar,28947,96,28686,,0,0,0,1571841,18837,1545400,18289876.0,42243166,17122111,59365277
2021-10-04,WB,Dakshin Dinajpur,17505,169,17204,,835569,294703,1130272,1571841,18837,1545400,18289876.0,42243166,17122111,59365277
2021-10-04,WB,Darjeeling,56383,531,55474,,1248632,510917,1759549,1571841,18837,1545400,18289876.0,42243166,17122111,59365277
2021-10-04,WB,Hooghly,84588,971,83063,,2301594,1078213,3379807,1571841,18837,1545400,18289876.0,42243166,17122111,59365277
2021-10-04,WB,Howrah,97069,1514,95044,,2079668,964747,3044415,1571841,18837,1545400,18289876.0,42243166,17122111,59365277
2021-10-04,WB,Jalpaiguri,41554,565,40756,,873944,300382,1174326,1571841,18837,1545400,18289876.0,42243166,17122111,59365277
2021-10-04,WB,Jhargram,11993,27,11872,,554853,161640,716493,1571841,18837,1545400,18289876.0,42243166,17122111,59365277
2021-10-04,WB,Kalimpong,6945,53,6808,,178863,103944,282807,1571841,18837,1545400,18289876.0,42243166,17122111,59365277
2021-10-04,WB,Kolkata,317092,5077,310606,,4669716,2522792,7192508,1571841,18837,1545400,18289876.0,42243166,17122111,59365277
2021-10-04,WB,Malda,33194,186,32891,,1485254,463488,1948742,1571841,18837,1545400,18289876.0,42243166,17122111,59365277
2021-10-04,WB,Murshidabad,33840,326,33486,,2381619,798344,3179963,1571841,18837,1545400,18289876.0,42243166,17122111,59365277
2021-10-04,WB,Nadia,72172,817,70799,,1875243,700668,2575911,1571841,18837,1545400,18289876.0,42243166,17122111,59365277
2021-10-04,WB,North 24 Parganas,325768,4737,319790,,927739,387582,1315321,1571841,18837,1545400,18289876.0,42243166,17122111,59365277
2021-10-04,WB,Other State,66,3,63,,,,,1571841,18837,1545400,18289876.0,42243166,17122111,59365277
2021-10-04,WB,Paschim Bardhaman,57262,353,56722,,1480897,514049,1994946,1571841,18837,1545400,18289876.0,42243166,17122111,59365277
2021-10-04,WB,Paschim Medinipur,52928,505,52055,,1683979,707139,2391118,1571841,18837,1545400,18289876.0,42243166,17122111,59365277
2021-10-04,WB,Purba Bardhaman,41345,195,40898,,1729085,723770,2452855,1571841,18837,1545400,18289876.0,42243166,17122111,59365277
2021-10-04,WB,Purba Medinipur,62677,394,61967,,2675099,1121294,3796393,1571841,18837,1545400,18289876.0,42243166,17122111,59365277
2021-10-04,WB,Purulia,19363,113,19223,,1126279,385179,1511458,1571841,18837,1545400,18289876.0,42243166,17122111,59365277
2021-10-04,WB,South 24 Parganas,99317,1311,97459,,1396605,557912,1954517,1571841,18837,1545400,18289876.0,42243166,17122111,59365277
2021-10-04,WB,Uttar Dinajpur,19710,235,19448,,931750,327331,1259081,1571841,18837,1545400,18289876.0,42243166,17122111,59365277
