Date,State/UTCode,District,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinatedNumberForDistrict,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForState
2021-10-06,KA,Bagalkote,35175,333,34837,49851.0,1041903,377756,1419659,2979331,37854,2929629,48339815.0,39645064,17868742,57513806
2021-10-06,KA,Ballari,97714,1689,95898,402407.0,1572588,634120,2206708,2979331,37854,2929629,48339815.0,39645064,17868742,57513806
2021-10-06,KA,Belagavi,79802,933,78751,396565.0,2974919,1030784,4005703,2979331,37854,2929629,48339815.0,39645064,17868742,57513806
2021-10-06,KA,Bengaluru Rural,61896,887,60882,240277.0,645846,299728,945574,2979331,37854,2929629,48339815.0,39645064,17868742,57513806
2021-10-06,KA,Bengaluru Urban,1247664,16175,1223916,6883888.0,8958734,5009881,13968615,2979331,37854,2929629,48339815.0,39645064,17868742,57513806
2021-10-06,KA,Bidar,24325,398,23921,67689.0,867008,390894,1257902,2979331,37854,2929629,48339815.0,39645064,17868742,57513806
2021-10-06,KA,Chamarajanagara,32955,499,32407,5156.0,633259,240483,873742,2979331,37854,2929629,48339815.0,39645064,17868742,57513806
2021-10-06,KA,Chikkaballapura,43917,425,43474,15089.0,805465,396556,1202021,2979331,37854,2929629,48339815.0,39645064,17868742,57513806
2021-10-06,KA,Chikkamagaluru,50980,395,50201,5467.0,707135,300376,1007511,2979331,37854,2929629,48339815.0,39645064,17868742,57513806
2021-10-06,KA,Chitradurga,36609,205,36290,4393.0,892725,487188,1379913,2979331,37854,2929629,48339815.0,39645064,17868742,57513806
2021-10-06,KA,Dakshina Kannada,114707,1661,112295,131281.0,1502974,693157,2196131,2979331,37854,2929629,48339815.0,39645064,17868742,57513806
2021-10-06,KA,Davanagere,50953,603,50311,17483.0,927024,365184,1292208,2979331,37854,2929629,48339815.0,39645064,17868742,57513806
2021-10-06,KA,Dharwad,60918,1305,59568,137696.0,1132598,426194,1558792,2979331,37854,2929629,48339815.0,39645064,17868742,57513806
2021-10-06,KA,Gadag,26064,318,25742,8904.0,613959,267927,881886,2979331,37854,2929629,48339815.0,39645064,17868742,57513806
2021-10-06,KA,Hassan,111200,1249,109562,10800.0,1182054,457820,1639874,2979331,37854,2929629,48339815.0,39645064,17868742,57513806
2021-10-06,KA,Haveri,21940,642,21289,11714.0,953371,259252,1212623,2979331,37854,2929629,48339815.0,39645064,17868742,57513806
2021-10-06,KA,Kalaburagi,61903,819,61070,409596.0,1182678,470484,1653162,2979331,37854,2929629,48339815.0,39645064,17868742,57513806
2021-10-06,KA,Kodagu,36812,326,36181,143982.0,377924,177532,555456,2979331,37854,2929629,48339815.0,39645064,17868742,57513806
2021-10-06,KA,Kolar,46804,633,46126,91924.0,917768,487323,1405091,2979331,37854,2929629,48339815.0,39645064,17868742,57513806
2021-10-06,KA,Koppal,35192,521,34644,8708.0,745480,303459,1048939,2979331,37854,2929629,48339815.0,39645064,17868742,57513806
2021-10-06,KA,Mandya,73570,649,72766,14874.0,1145539,527257,1672796,2979331,37854,2929629,48339815.0,39645064,17868742,57513806
2021-10-06,KA,Mysuru,178298,2398,175388,107338.0,1973815,922317,2896132,2979331,37854,2929629,48339815.0,39645064,17868742,57513806
2021-10-06,KA,Other State,36,3,33,,,,,2979331,37854,2929629,48339815.0,39645064,17868742,57513806
2021-10-06,KA,Raichur,39961,330,39627,21011.0,903812,334450,1238262,2979331,37854,2929629,48339815.0,39645064,17868742,57513806
2021-10-06,KA,Ramanagara,24166,316,23827,103399.0,721140,372615,1093755,2979331,37854,2929629,48339815.0,39645064,17868742,57513806
2021-10-06,KA,Shivamogga,69262,1085,67981,48760.0,1058300,434014,1492314,2979331,37854,2929629,48339815.0,39645064,17868742,57513806
2021-10-06,KA,Tumakuru,120357,1114,118896,106564.0,1546244,644266,2190510,2979331,37854,2929629,48339815.0,39645064,17868742,57513806
2021-10-06,KA,Udupi,76430,482,75697,86092.0,908616,438324,1346940,2979331,37854,2929629,48339815.0,39645064,17868742,57513806
2021-10-06,KA,Uttara Kannada,55929,759,54974,13833.0,951294,403838,1355132,2979331,37854,2929629,48339815.0,39645064,17868742,57513806
2021-10-06,KA,Vijayapura,36251,495,35746,25108.0,1231255,433073,1664328,2979331,37854,2929629,48339815.0,39645064,17868742,57513806
2021-10-06,KA,Yadgir,27541,207,27329,221485.0,569637,282490,852127,2979331,37854,2929629,48339815.0,39645064,17868742,57513806
