Date,State/UTCode,District,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinatedNumberForDistrict,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForState
2021-10-09,RJ,Ajmer,37754,410,37342,261215.0,1723765,905884,2629649,954355,8954,945366,14510433.0,41387835,17258014,58645849
2021-10-09,RJ,Alwar,59694,307,59386,291879.0,2157763,926135,3083898,954355,8954,945366,14510433.0,41387835,17258014,58645849
2021-10-09,RJ,BSF Camp,85,0,85,,,,,954355,8954,945366,14510433.0,41387835,17258014,58645849
2021-10-09,RJ,Banswara,10005,104,9901,48781.0,965200,389483,1354683,954355,8954,945366,14510433.0,41387835,17258014,58645849
2021-10-09,RJ,Baran,11995,61,11934,46168.0,727948,235029,962977,954355,8954,945366,14510433.0,41387835,17258014,58645849
2021-10-09,RJ,Barmer,15562,185,15377,113868.0,1429270,563896,1993166,954355,8954,945366,14510433.0,41387835,17258014,58645849
2021-10-09,RJ,Bharatpur,19601,260,19339,201441.0,1265372,468517,1733889,954355,8954,945366,14510433.0,41387835,17258014,58645849
2021-10-09,RJ,Bhilwara,29781,156,29624,148764.0,1505153,633808,2138961,954355,8954,945366,14510433.0,41387835,17258014,58645849
2021-10-09,RJ,Bikaner,40330,545,39784,278302.0,1433067,647350,2080417,954355,8954,945366,14510433.0,41387835,17258014,58645849
2021-10-09,RJ,Bundi,7967,48,7919,58167.0,666123,283475,949598,954355,8954,945366,14510433.0,41387835,17258014,58645849
2021-10-09,RJ,Chittorgarh,19809,139,19670,116002.0,946866,370784,1317650,954355,8954,945366,14510433.0,41387835,17258014,58645849
2021-10-09,RJ,Churu,16720,107,16613,131700.0,1265283,463025,1728308,954355,8954,945366,14510433.0,41387835,17258014,58645849
2021-10-09,RJ,Dausa,13351,62,13289,61680.0,919151,306390,1225541,954355,8954,945366,14510433.0,41387835,17258014,58645849
2021-10-09,RJ,Dholpur,11008,48,10960,121308.0,644797,240970,885767,954355,8954,945366,14510433.0,41387835,17258014,58645849
2021-10-09,RJ,Dungarpur,18407,131,18276,121917.0,704331,271535,975866,954355,8954,945366,14510433.0,41387835,17258014,58645849
2021-10-09,RJ,Evacuees,61,0,61,,,,,954355,8954,945366,14510433.0,41387835,17258014,58645849
2021-10-09,RJ,Ganganagar,19353,150,19201,80706.0,1241979,457244,1699223,954355,8954,945366,14510433.0,41387835,17258014,58645849
2021-10-09,RJ,Hanumangarh,16052,111,15941,82542.0,1210705,495462,1706167,954355,8954,945366,14510433.0,41387835,17258014,58645849
2021-10-09,RJ,Italians,2,0,2,,,,,954355,8954,945366,14510433.0,41387835,17258014,58645849
2021-10-09,RJ,Jaipur,187772,1970,185785,968783.0,4488329,1999263,6487592,954355,8954,945366,14510433.0,41387835,17258014,58645849
2021-10-09,RJ,Jaisalmer,13639,66,13573,80082.0,406300,158986,565286,954355,8954,945366,14510433.0,41387835,17258014,58645849
2021-10-09,RJ,Jalore,10067,72,9995,184172.0,956717,320634,1277351,954355,8954,945366,14510433.0,41387835,17258014,58645849
2021-10-09,RJ,Jhalawar,13611,187,13421,97163.0,913946,308177,1222123,954355,8954,945366,14510433.0,41387835,17258014,58645849
2021-10-09,RJ,Jhunjhunu,14811,158,14651,123433.0,1420140,680057,2100197,954355,8954,945366,14510433.0,41387835,17258014,58645849
2021-10-09,RJ,Jodhpur,112408,1103,111302,600959.0,2230249,964199,3194448,954355,8954,945366,14510433.0,41387835,17258014,58645849
2021-10-09,RJ,Karauli,7156,70,7086,64481.0,762250,296646,1058896,954355,8954,945366,14510433.0,41387835,17258014,58645849
2021-10-09,RJ,Kota,57052,449,56603,355509.0,1258854,574977,1833831,954355,8954,945366,14510433.0,41387835,17258014,58645849
2021-10-09,RJ,Nagaur,17737,177,17560,229822.0,2051236,904028,2955264,954355,8954,945366,14510433.0,41387835,17258014,58645849
2021-10-09,RJ,Other State,189,39,150,,,,,954355,8954,945366,14510433.0,41387835,17258014,58645849
2021-10-09,RJ,Pali,27323,287,27035,179463.0,1178580,447797,1626377,954355,8954,945366,14510433.0,41387835,17258014,58645849
2021-10-09,RJ,Pratapgarh,7143,63,7080,52208.0,583673,277922,861595,954355,8954,945366,14510433.0,41387835,17258014,58645849
2021-10-09,RJ,Rajsamand,17044,169,16875,91975.0,679941,262740,942681,954355,8954,945366,14510433.0,41387835,17258014,58645849
2021-10-09,RJ,Sawai Madhopur,10616,61,10555,84683.0,726852,286714,1013566,954355,8954,945366,14510433.0,41387835,17258014,58645849
2021-10-09,RJ,Sikar,30618,335,30283,165042.0,1826259,773605,2599864,954355,8954,945366,14510433.0,41387835,17258014,58645849
2021-10-09,RJ,Sirohi,13732,79,13653,84616.0,571938,275326,847264,954355,8954,945366,14510433.0,41387835,17258014,58645849
2021-10-09,RJ,Tonk,9498,92,9406,74225.0,871651,360249,1231900,954355,8954,945366,14510433.0,41387835,17258014,58645849
2021-10-09,RJ,Udaipur,56402,753,55649,251522.0,1654147,707707,2361854,954355,8954,945366,14510433.0,41387835,17258014,58645849
