Date,State/UTCode,District,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinatedNumberForDistrict,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForState
2021-10-11,JK,Anantnag,16554,205,16326,,753509,311977,1065486,330586,4426,325111,15394415.0,9156268,4045135,13201403
2021-10-11,JK,Bandipora,9775,102,9649,,295515,118942,414457,330586,4426,325111,15394415.0,9156268,4045135,13201403
2021-10-11,JK,Baramulla,24404,282,24038,,738890,357812,1096702,330586,4426,325111,15394415.0,9156268,4045135,13201403
2021-10-11,JK,Budgam,23689,207,23388,,579641,262513,842154,330586,4426,325111,15394415.0,9156268,4045135,13201403
2021-10-11,JK,Doda,7805,133,7638,,309674,111937,421611,330586,4426,325111,15394415.0,9156268,4045135,13201403
2021-10-11,JK,Ganderbal,10375,79,10254,,223171,116671,339842,330586,4426,325111,15394415.0,9156268,4045135,13201403
2021-10-11,JK,Jammu,53241,1144,52034,,1148757,574738,1723495,330586,4426,325111,15394415.0,9156268,4045135,13201403
2021-10-11,JK,Kathua,9320,151,9156,,448802,199815,648617,330586,4426,325111,15394415.0,9156268,4045135,13201403
2021-10-11,JK,Kishtwar,4817,44,4770,,140908,67993,208901,330586,4426,325111,15394415.0,9156268,4045135,13201403
2021-10-11,JK,Kulgam,11479,117,11361,,393382,160264,553646,330586,4426,325111,15394415.0,9156268,4045135,13201403
2021-10-11,JK,Kupwara,14391,166,14198,,585336,255355,840691,330586,4426,325111,15394415.0,9156268,4045135,13201403
2021-10-11,JK,Pulwama,15494,194,15275,139552.0,425664,168871,594535,330586,4426,325111,15394415.0,9156268,4045135,13201403
2021-10-11,JK,Punch,6457,98,6259,,383751,143266,527017,330586,4426,325111,15394415.0,9156268,4045135,13201403
2021-10-11,JK,Rajouri,11260,237,10998,,489564,203573,693137,330586,4426,325111,15394415.0,9156268,4045135,13201403
2021-10-11,JK,Ramban,6037,67,5962,,217195,112027,329222,330586,4426,325111,15394415.0,9156268,4045135,13201403
2021-10-11,JK,Reasi,6601,43,6530,,231812,102290,334102,330586,4426,325111,15394415.0,9156268,4045135,13201403
2021-10-11,JK,Samba,7151,120,7029,,277372,108201,385573,330586,4426,325111,15394415.0,9156268,4045135,13201403
2021-10-11,JK,Shopiyan,5607,58,5548,,202447,84114,286561,330586,4426,325111,15394415.0,9156268,4045135,13201403
2021-10-11,JK,Srinagar,74721,842,73432,,925119,391447,1316566,330586,4426,325111,15394415.0,9156268,4045135,13201403
2021-10-11,JK,Udhampur,11408,137,11266,,385759,193329,579088,330586,4426,325111,15394415.0,9156268,4045135,13201403
