Date,State/UTCode,District,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinatedNumberForDistrict,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForState
2021-10-14,PB,Amritsar,47335,1595,45736,89227.0,1202819,403861,1606680,601968,16538,585199,14932493.0,15383157,5686082,21069239
2021-10-14,PB,Barnala,5945,244,5688,63447.0,303307,91472,394779,601968,16538,585199,14932493.0,15383157,5686082,21069239
2021-10-14,PB,Bathinda,41702,1041,40650,118489.0,598930,184000,782930,601968,16538,585199,14932493.0,15383157,5686082,21069239
2021-10-14,PB,Faridkot,13910,315,13587,23635.0,321668,117270,438938,601968,16538,585199,14932493.0,15383157,5686082,21069239
2021-10-14,PB,Fatehgarh Sahib,8872,332,8537,68436.0,348317,121996,470313,601968,16538,585199,14932493.0,15383157,5686082,21069239
2021-10-14,PB,Fazilka,20259,527,19715,63589.0,467109,117881,584990,601968,16538,585199,14932493.0,15383157,5686082,21069239
2021-10-14,PB,Ferozepur,14325,503,13819,74880.0,462275,116137,578412,601968,16538,585199,14932493.0,15383157,5686082,21069239
2021-10-14,PB,Gurdaspur,22373,800,21561,249039.0,826323,363036,1189359,601968,16538,585199,14932493.0,15383157,5686082,21069239
2021-10-14,PB,Hoshiarpur,30799,982,29802,221261.0,982815,526079,1508894,601968,16538,585199,14932493.0,15383157,5686082,21069239
2021-10-14,PB,Jalandhar,63349,1495,61834,443735.0,1394318,627997,2022315,601968,16538,585199,14932493.0,15383157,5686082,21069239
2021-10-14,PB,Kapurthala,17842,555,17280,38658.0,447157,170675,617832,601968,16538,585199,14932493.0,15383157,5686082,21069239
2021-10-14,PB,Ludhiana,87565,2104,85441,514691.0,2338771,854976,3193747,601968,16538,585199,14932493.0,15383157,5686082,21069239
2021-10-14,PB,Mansa,15602,378,15222,26878.0,356934,78876,435810,601968,16538,585199,14932493.0,15383157,5686082,21069239
2021-10-14,PB,Moga,8665,233,8428,77307.0,526751,162028,688779,601968,16538,585199,14932493.0,15383157,5686082,21069239
2021-10-14,PB,Pathankot,18782,419,18329,29112.0,420975,183874,604849,601968,16538,585199,14932493.0,15383157,5686082,21069239
2021-10-14,PB,Patiala,48901,1358,47535,273344.0,1028230,370719,1398949,601968,16538,585199,14932493.0,15383157,5686082,21069239
2021-10-14,PB,Rupnagar,12932,423,12504,97745.0,379172,168862,548034,601968,16538,585199,14932493.0,15383157,5686082,21069239
2021-10-14,PB,S.A.S. Nagar,68772,1068,67678,41532.0,859853,378975,1238828,601968,16538,585199,14932493.0,15383157,5686082,21069239
2021-10-14,PB,Sangrur,15755,875,14877,166332.0,697800,197704,895504,601968,16538,585199,14932493.0,15383157,5686082,21069239
2021-10-14,PB,Shahid Bhagat Singh Nagar,11466,388,11074,77715.0,385731,161866,547597,601968,16538,585199,14932493.0,15383157,5686082,21069239
2021-10-14,PB,Sri Muktsar Sahib,18780,523,18250,67979.0,462216,128807,591023,601968,16538,585199,14932493.0,15383157,5686082,21069239
2021-10-14,PB,Tarn Taran,8037,380,7652,111446.0,571686,158991,730677,601968,16538,585199,14932493.0,15383157,5686082,21069239
