Date,State/UTCode,District,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinatedNumberForDistrict,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForState
2021-10-15,BR,Araria,14975,116,14859,219221.0,1087449,281032,1368481,726021,9661,716314,48020452.0,47246690,14200363,61447053
2021-10-15,BR,Arwal,7381,74,7307,101624.0,337976,80465,418441,726021,9661,716314,48020452.0,47246690,14200363,61447053
2021-10-15,BR,Aurangabad,20011,75,19936,412007.0,1080576,301557,1382133,726021,9661,716314,48020452.0,47246690,14200363,61447053
2021-10-15,BR,Banka,7379,112,7267,364776.0,878102,271779,1149881,726021,9661,716314,48020452.0,47246690,14200363,61447053
2021-10-15,BR,Begusarai,27203,457,26740,213670.0,1365731,352590,1718321,726021,9661,716314,48020452.0,47246690,14200363,61447053
2021-10-15,BR,Bhagalpur,25839,309,25529,582113.0,1398383,497373,1895756,726021,9661,716314,48020452.0,47246690,14200363,61447053
2021-10-15,BR,Bhojpur,10210,159,10048,466438.0,1228194,282054,1510248,726021,9661,716314,48020452.0,47246690,14200363,61447053
2021-10-15,BR,Buxar,9248,182,9066,461428.0,865383,238886,1104269,726021,9661,716314,48020452.0,47246690,14200363,61447053
2021-10-15,BR,Darbhanga,10936,370,10566,448442.0,1795662,591446,2387108,726021,9661,716314,48020452.0,47246690,14200363,61447053
2021-10-15,BR,East Champaran,19015,430,18584,548132.0,2413405,813339,3226744,726021,9661,716314,48020452.0,47246690,14200363,61447053
2021-10-15,BR,Gaya,33951,280,33670,872359.0,1807513,562577,2370090,726021,9661,716314,48020452.0,47246690,14200363,61447053
2021-10-15,BR,Gopalganj,16684,94,16590,562654.0,1214964,353043,1568007,726021,9661,716314,48020452.0,47246690,14200363,61447053
2021-10-15,BR,Jamui,9417,106,9311,342005.0,733789,167029,900818,726021,9661,716314,48020452.0,47246690,14200363,61447053
2021-10-15,BR,Jehanabad,10783,109,10673,492255.0,477062,140247,617309,726021,9661,716314,48020452.0,47246690,14200363,61447053
2021-10-15,BR,Kaimur,4984,147,4837,442332.0,764221,180553,944774,726021,9661,716314,48020452.0,47246690,14200363,61447053
2021-10-15,BR,Katihar,18144,94,18049,556438.0,1345679,279190,1624869,726021,9661,716314,48020452.0,47246690,14200363,61447053
2021-10-15,BR,Khagaria,10064,88,9976,148340.0,730895,160916,891811,726021,9661,716314,48020452.0,47246690,14200363,61447053
2021-10-15,BR,Kishanganj,10121,66,10054,294321.0,708654,158716,867370,726021,9661,716314,48020452.0,47246690,14200363,61447053
2021-10-15,BR,Lakhisarai,7776,102,7674,332434.0,441372,104377,545749,726021,9661,716314,48020452.0,47246690,14200363,61447053
2021-10-15,BR,Madhepura,12546,111,12433,455482.0,905189,188074,1093263,726021,9661,716314,48020452.0,47246690,14200363,61447053
2021-10-15,BR,Madhubani,18362,339,18023,715168.0,1905284,536940,2442224,726021,9661,716314,48020452.0,47246690,14200363,61447053
2021-10-15,BR,Munger,15110,158,14951,325212.0,689975,200541,890516,726021,9661,716314,48020452.0,47246690,14200363,61447053
2021-10-15,BR,Muzaffarpur,31397,621,30776,722651.0,2167850,567515,2735365,726021,9661,716314,48020452.0,47246690,14200363,61447053
2021-10-15,BR,Nalanda,23432,468,22964,591346.0,1329055,514034,1843089,726021,9661,716314,48020452.0,47246690,14200363,61447053
2021-10-15,BR,Nawada,10352,178,10174,322514.0,969929,207193,1177122,726021,9661,716314,48020452.0,47246690,14200363,61447053
2021-10-15,BR,Patna,146976,2334,144620,676238.0,3324083,1997915,5321998,726021,9661,716314,48020452.0,47246690,14200363,61447053
2021-10-15,BR,Purnia,24427,180,24247,568756.0,1459595,587652,2047247,726021,9661,716314,48020452.0,47246690,14200363,61447053
2021-10-15,BR,Rohtas,13978,271,13707,521553.0,1408128,338559,1746687,726021,9661,716314,48020452.0,47246690,14200363,61447053
2021-10-15,BR,Saharsa,17616,134,17482,356327.0,832728,241337,1074065,726021,9661,716314,48020452.0,47246690,14200363,61447053
2021-10-15,BR,Samastipur,20018,155,19862,614569.0,1887516,435797,2323313,726021,9661,716314,48020452.0,47246690,14200363,61447053
2021-10-15,BR,Saran,23273,255,23018,761473.0,1785504,568780,2354284,726021,9661,716314,48020452.0,47246690,14200363,61447053
2021-10-15,BR,Sheikhpura,7693,75,7618,142348.0,276223,74594,350817,726021,9661,716314,48020452.0,47246690,14200363,61447053
2021-10-15,BR,Sheohar,4402,36,4366,199431.0,290472,90119,380591,726021,9661,716314,48020452.0,47246690,14200363,61447053
2021-10-15,BR,Sitamarhi,9185,127,9057,453227.0,1433136,311823,1744959,726021,9661,716314,48020452.0,47246690,14200363,61447053
2021-10-15,BR,Siwan,15195,170,15025,536438.0,1630596,535911,2166507,726021,9661,716314,48020452.0,47246690,14200363,61447053
2021-10-15,BR,Supaul,17222,129,17092,456511.0,995545,254165,1249710,726021,9661,716314,48020452.0,47246690,14200363,61447053
2021-10-15,BR,Vaishali,19826,192,19631,275884.0,1581432,372931,1954363,726021,9661,716314,48020452.0,47246690,14200363,61447053
2021-10-15,BR,West Champaran,20890,358,20532,551778.0,1699440,359314,2058754,726021,9661,716314,48020452.0,47246690,14200363,61447053
