Date,State/UTCode,District,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinatedNumberForDistrict,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForState
2021-10-15,TN,Airport Quarantine,2112,2,2106,,,,,2684641,35869,2633534,49153252.0,38820442,13840859,52661301
2021-10-15,TN,Ariyalur,16781,256,16453,18285.0,429936,112447,542383,2684641,35869,2633534,49153252.0,38820442,13840859,52661301
2021-10-15,TN,Chengalpattu,170302,2491,166699,51771.0,1247275,504950,1752225,2684641,35869,2633534,49153252.0,38820442,13840859,52661301
2021-10-15,TN,Chennai,552459,8519,542110,2667777.0,4685863,2534413,7220276,2684641,35869,2633534,49153252.0,38820442,13840859,52661301
2021-10-15,TN,Coimbatore,244699,2377,240735,102107.0,2604325,1003969,3608294,2684641,35869,2633534,49153252.0,38820442,13840859,52661301
2021-10-15,TN,Cuddalore,63770,864,62623,36434.0,1310422,421401,1731823,2684641,35869,2633534,49153252.0,38820442,13840859,52661301
2021-10-15,TN,Dharmapuri,28120,271,27504,163803.0,731625,212333,943958,2684641,35869,2633534,49153252.0,38820442,13840859,52661301
2021-10-15,TN,Dindigul,32960,642,32199,27800.0,1177005,357095,1534100,2684641,35869,2633534,49153252.0,38820442,13840859,52661301
2021-10-15,TN,Erode,103115,678,101516,66240.0,1316673,426063,1742736,2684641,35869,2633534,49153252.0,38820442,13840859,52661301
2021-10-15,TN,Kallakurichi,31186,209,30810,28314.0,639886,180361,820247,2684641,35869,2633534,49153252.0,38820442,13840859,52661301
2021-10-15,TN,Kancheepuram,74454,1254,72827,37505.0,621281,200527,821808,2684641,35869,2633534,49153252.0,38820442,13840859,52661301
2021-10-15,TN,Kanyakumari,62107,1044,60823,79600.0,1055040,334829,1389869,2684641,35869,2633534,49153252.0,38820442,13840859,52661301
2021-10-15,TN,Karur,23814,355,23290,17190.0,601974,199086,801060,2684641,35869,2633534,49153252.0,38820442,13840859,52661301
2021-10-15,TN,Krishnagiri,43275,347,42605,14284.0,990273,321257,1311530,2684641,35869,2633534,49153252.0,38820442,13840859,52661301
2021-10-15,TN,Madurai,74943,1169,73524,97279.0,1425329,480025,1905354,2684641,35869,2633534,49153252.0,38820442,13840859,52661301
2021-10-15,TN,Mayiladuthurai,23126,314,22613,,,,,2684641,35869,2633534,49153252.0,38820442,13840859,52661301
2021-10-15,TN,Nagapattinam,20806,335,20225,20984.0,778026,228830,1006856,2684641,35869,2633534,49153252.0,38820442,13840859,52661301
2021-10-15,TN,Namakkal,51462,492,50376,24758.0,946877,313087,1259964,2684641,35869,2633534,49153252.0,38820442,13840859,52661301
2021-10-15,TN,Nilgiris,33259,207,32677,45839.0,487373,269693,757066,2684641,35869,2633534,49153252.0,38820442,13840859,52661301
2021-10-15,TN,Perambalur,12012,242,11714,7981.0,312392,102840,415232,2684641,35869,2633534,49153252.0,38820442,13840859,52661301
2021-10-15,TN,Pudukkottai,30000,413,29397,20835.0,798537,231573,1030110,2684641,35869,2633534,49153252.0,38820442,13840859,52661301
2021-10-15,TN,Railway Quarantine,428,0,428,,,,,2684641,35869,2633534,49153252.0,38820442,13840859,52661301
2021-10-15,TN,Ramanathapuram,20485,356,20008,23389.0,635329,211906,847235,2684641,35869,2633534,49153252.0,38820442,13840859,52661301
2021-10-15,TN,Ranipet,43262,770,42327,20118.0,530611,141849,672460,2684641,35869,2633534,49153252.0,38820442,13840859,52661301
2021-10-15,TN,Salem,98934,1676,96690,79660.0,1838308,627503,2465811,2684641,35869,2633534,49153252.0,38820442,13840859,52661301
