Date,State/UTCode,District,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinatedNumberForDistrict,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForState
2021-10-20,UT,Almora,12181,196,11368,84443.0,377070,200521,577591,343773,7398,330071,7651916.0,7440710,3530372,10971082
2021-10-20,UT,Bageshwar,5763,60,5678,55626.0,182897,122399,305296,343773,7398,330071,7651916.0,7440710,3530372,10971082
2021-10-20,UT,Chamoli,12238,62,11967,90390.0,272673,174558,447231,343773,7398,330071,7651916.0,7440710,3530372,10971082
2021-10-20,UT,Champawat,7596,53,7358,95068.0,182159,111266,293425,343773,7398,330071,7651916.0,7440710,3530372,10971082
2021-10-20,UT,Dehradun,112308,3520,108097,401496.0,1456692,729692,2186384,343773,7398,330071,7651916.0,7440710,3530372,10971082
2021-10-20,UT,Haridwar,51483,1018,49081,369542.0,1450213,553695,2003908,343773,7398,330071,7651916.0,7440710,3530372,10971082
2021-10-20,UT,Nainital,39216,944,38114,204422.0,719408,375173,1094581,343773,7398,330071,7651916.0,7440710,3530372,10971082
2021-10-20,UT,Pauri Garhwal,17681,315,16658,138878.0,428470,209786,638256,343773,7398,330071,7651916.0,7440710,3530372,10971082
2021-10-20,UT,Pithoragarh,10255,181,9953,72686.0,317222,169068,486290,343773,7398,330071,7651916.0,7440710,3530372,10971082
2021-10-20,UT,Rudraprayag,8799,106,8532,52378.0,170287,104452,274739,343773,7398,330071,7651916.0,7440710,3530372,10971082
2021-10-20,UT,Tehri Garhwal,15834,108,14827,105111.0,378238,184180,562418,343773,7398,330071,7651916.0,7440710,3530372,10971082
2021-10-20,UT,Udham Singh Nagar,37875,761,36310,337292.0,1272325,448059,1720384,343773,7398,330071,7651916.0,7440710,3530372,10971082
2021-10-20,UT,Uttarkashi,12544,74,12128,120026.0,233056,147523,380579,343773,7398,330071,7651916.0,7440710,3530372,10971082
