Date,State/UTCode,District,cumulativeConfirmedNumberForDistrict,cumulativeDeceasedNumberForDistrict,cumulativeRecoveredNumberForDistrict,cumulativeTestedNumberForDistrict,cumulativeVaccinated1NumberForDistrict,cumulativeVaccinated2NumberForDistrict,cumulativeVaccinatedNumberForDistrict,cumulativeConfirmedNumberForState,cumulativeDeceasedNumberForState,cumulativeRecoveredNumberForState,cumulativeTestedNumberForState,cumulativeVaccinated1NumberForState,cumulativeVaccinated2NumberForState,cumulativeVaccinatedNumberForState
2021-10-27,CT,Balod,27276,396,26880,2749.0,534185,266614,800799,1005926,13575,992088,13630678.0,14657085,7043595,21700680
2021-10-27,CT,Baloda Bazar,43085,471,42609,3816.0,606482,204862,811344,1005926,13575,992088,13630678.0,14657085,7043595,21700680
2021-10-27,CT,Balrampur,20302,118,20182,21481.0,290319,102970,393289,1005926,13575,992088,13630678.0,14657085,7043595,21700680
2021-10-27,CT,Bametara,19962,236,19726,3113.0,400586,130254,530840,1005926,13575,992088,13630678.0,14657085,7043595,21700680
2021-10-27,CT,Bastar,21056,188,20843,4522.0,439325,174957,614282,1005926,13575,992088,13630678.0,14657085,7043595,21700680
2021-10-27,CT,Bijapur,8319,55,8262,1239.0,102688,43812,146500,1005926,13575,992088,13630678.0,14657085,7043595,21700680
2021-10-27,CT,Bilaspur,65672,1209,64442,9823.0,1020846,492961,1513807,1005926,13575,992088,13630678.0,14657085,7043595,21700680
2021-10-27,CT,Dakshin Bastar Dantewada,10838,25,10807,1168.0,156799,76916,233715,1005926,13575,992088,13630678.0,14657085,7043595,21700680
2021-10-27,CT,Dhamtari,27238,545,26688,1501.0,507434,221861,729295,1005926,13575,992088,13630678.0,14657085,7043595,21700680
2021-10-27,CT,Durg,96864,1798,95016,5020.0,1005306,514720,1520026,1005926,13575,992088,13630678.0,14657085,7043595,21700680
2021-10-27,CT,Gariaband,19700,194,19506,2096.0,288702,96008,384710,1005926,13575,992088,13630678.0,14657085,7043595,21700680
2021-10-27,CT,Gaurela Pendra Marwahi,12010,146,11864,273.0,187575,77693,265268,1005926,13575,992088,13630678.0,14657085,7043595,21700680
2021-10-27,CT,Janjgir Champa,57621,838,56762,4016.0,883643,308400,1192043,1005926,13575,992088,13630678.0,14657085,7043595,21700680
2021-10-27,CT,Jashpur,27088,212,26862,2542.0,430431,176446,606877,1005926,13575,992088,13630678.0,14657085,7043595,21700680
2021-10-27,CT,Kabeerdham,22770,267,22503,2829.0,391970,163447,555417,1005926,13575,992088,13630678.0,14657085,7043595,21700680
2021-10-27,CT,Kondagaon,13139,99,13036,1607.0,312554,95743,408297,1005926,13575,992088,13630678.0,14657085,7043595,21700680
2021-10-27,CT,Korba,54839,580,54222,10034.0,637234,275746,912980,1005926,13575,992088,13630678.0,14657085,7043595,21700680
2021-10-27,CT,Koriya,26975,176,26798,2689.0,364403,124926,489329,1005926,13575,992088,13630678.0,14657085,7043595,21700680
2021-10-27,CT,Mahasamund,31365,365,31000,2183.0,736276,386319,1122595,1005926,13575,992088,13630678.0,14657085,7043595,21700680
2021-10-27,CT,Mungeli,23920,167,23751,2922.0,274159,103490,377649,1005926,13575,992088,13630678.0,14657085,7043595,21700680
2021-10-27,CT,Narayanpur,4019,14,4004,804.0,51250,18217,69467,1005926,13575,992088,13630678.0,14657085,7043595,21700680
2021-10-27,CT,Other State,801,131,663,,,,,1005926,13575,992088,13630678.0,14657085,7043595,21700680
2021-10-27,CT,Raigarh,62583,978,61592,5084.0,1071332,912922,1984254,1005926,13575,992088,13630678.0,14657085,7043595,21700680
2021-10-27,CT,Raipur,158010,3139,154841,12704.0,1552987,895850,2448837,1005926,13575,992088,13630678.0,14657085,7043595,21700680
2021-10-27,CT,Rajnandgaon,56072,515,55555,124947.0,1020517,519616,1540133,1005926,13575,992088,13630678.0,14657085,7043595,21700680
2021-10-27,CT,Sukma,8066,20,8037,1723.0,133115,78882,211997,1005926,13575,992088,13630678.0,14657085,7043595,21700680
2021-10-27,CT,Surajpur,29029,224,28805,1830.0,410588,155887,566475,1005926,13575,992088,13630678.0,14657085,7043595,21700680
2021-10-27,CT,Surguja,33672,245,33426,103578.0,451049,260601,711650,1005926,13575,992088,13630678.0,14657085,7043595,21700680
2021-10-27,CT,Uttar Bastar Kanker,23635,224,23406,2051.0,395330,163475,558805,1005926,13575,992088,13630678.0,14657085,7043595,21700680
